"table_name","row_count"
"tblBosDepartureTestData","14"
"tblBosTemporaryEmpMessageHistory","225"
"tblBosTrainObjectData","0"
"tblSystemQueueReceive","0"
"tblSystemQueueTransmit","0"
"tblSystemPTCTrainsActive","0"
"tblSystemPTCDataSetsActive","0"
"tblTrainRunTimesActive","0"
"tblStoreRoutes","0"
"tblPlanningAutoRoutesActive","0"
"tblPlanningTacticalRoutesActive","0"
"tblSystemIncidentReportsActive","0"
"tblAuthoritiesActive","4"
"tblSystemBulletins","19"
"tblTrainRoutePointsData","0"
"tblTrainRoutePointsEventsData","0"
"tblTrainPlanData","0"
"tblTrainPlanDetailData","0"
"tblTrainsActiveProperties","0"
