"schema_name","table_name"
"dbo","MdmTrainObjectData"
"dbo","tblBosDepartureTestData"
"dbo","tblBosTemporaryEmpMessageHistory"
"dbo","tblBosTrainObjectData"
"dbo","tblCisMessageBoard"
"dbo","tblDispatcherLog"
"dbo","tblDispatcherLogHOS"
"dbo","tblLocoComplianceActive"
"dbo","tblLocoComplianceInActive"
"dbo","tblLocomotivePositionReport"
"dbo","tblMDMLocoStatus"
"dbo","tblMessageQueueSend"
"dbo","tblMessagesLocomotiveInformationReportActive"
"dbo","tblMessagesLocomotiveInformationReportInActive"
"dbo","tblSubdivisionEvents"
"dbo","tblSystemBOSTasks"
"dbo","tblSystemBulletinsBOSStatus"
"dbo","tblSystemPlatformScheduleEvents"
"dbo","tblSystemPTCDataSetsActive"
"dbo","tblSystemPTCDataSetsInActive"
"dbo","tblSystemPTCTrainsActive"
"dbo","tblSystemPTCTrainsInActive"
"dbo","tblTerritoryExclusiveBulletinControl"
"dbo","tblTrainClassification"
"dbo","tblTrainConsistActive"
"dbo","tblTrainConsistInActive"
"dbo","tblTrainEventActiveComments"
"dbo","tblTrainEventActiveDelays"
"dbo","tblTrainEventActiveModifications"
"dbo","tblTrainEventActiveMovements"
"dbo","tblTrainEventActiveOther"
"dbo","tblTrainEventActivePendingActions"
"dbo","tblTrainEventActiveRestrictions"
"dbo","tblTrainEventActiveWorkOrders"
"dbo","tblTrainEventInActiveComments"
"dbo","tblTrainEventInActiveDelays"
"dbo","tblTrainEventInActiveModifications"
"dbo","tblTrainEventInActiveMovements"
"dbo","tblTrainEventInActiveOther"
"dbo","tblTrainEventInActiveRestrictions"
"dbo","tblTrainEventInActiveWorkOrders"
"dbo","tblTrainLocomotiveConsistActive"
"dbo","tblTrainLocomotiveConsistInActive"
"dbo","tblTrainOsEventsActive"
"dbo","tblTrainOsEventsInActive"
"dbo","tblTrainPlanActive"
"dbo","tblTrainPlanData"
"dbo","tblTrainPlanDetailData"
"dbo","tblTrainPlanDetailsActive"
"dbo","tblTrainPlanDetailsInActive"
"dbo","tblTrainPlanInActive"
"dbo","tblTrainPlanLocomotivesData"
"dbo","tblTrainPlanScheduleInActive"
"dbo","tblTrainRoutePointConsistActive"
"dbo","tblTrainRoutePointConsistInActive"
"dbo","tblTrainRoutePointCrewActive"
"dbo","tblTrainRoutePointCrewInActive"
"dbo","tblTrainRoutePointEventsActive"
"dbo","tblTrainRoutePointEventsInActive"
"dbo","tblTrainRoutePointLocomotiveActive"
"dbo","tblTrainRoutePointLocomotiveInActive"
"dbo","tblTrainRoutePointsActive"
"dbo","tblTrainRoutePointsConsistData"
"dbo","tblTrainRoutePointsCrewData"
"dbo","tblTrainRoutePointsData"
"dbo","tblTrainRoutePointsEventsData"
"dbo","tblTrainRoutePointsInActive"
"dbo","tblTrainRunTimesActive"
"dbo","tblTrainRunTimesInActive"
"dbo","tblTrainsActive"
"dbo","tblTrainsActiveProperties"
"dbo","tblTrainsActiveSubTrainSheets"
"dbo","tblTrainsAutoSymbolsActive"
"dbo","tblTrainsAutoSymbolsInActive"
"dbo","tblTrainSchedulesActive"
"dbo","tblTrainSchedulesInActive"
"dbo","tblTrainSchedulesProjectedActive"
"dbo","tblTrainSchedulesProjectedInActive"
"dbo","tblTrainsCompositeCRC"
"dbo","tblTrainsInActive"
"dbo","tblTrainsInActiveSubTrainSheets"
"dbo","tblTrainsReadOnly"
"dbo","tblTroubleReportCrossingActive"
"dbo","tblTroubleReportCrossingInActive"
"dbo","tblWeatherEvents"
