"TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME"
"dbo","sysdiagrams","version"
"dbo","tblBosCiaSyncData","RouteAuthorities"
"dbo","tblBosTrainObjectData","EMPAddress"
"dbo","tblBosTrainObjectData","InterfaceVersion"
"dbo","tblBulletinCells","MileageRangeDefinitions"
"dbo","tblBulletinCells","EndSubdivisionMileage"
"dbo","tblCISPlatformNames","GTFSRouteID"
"dbo","tblCISPlatformNames","CISRouteID"
"dbo","tblCISPlatformNames","CISInboundTrackReference"
"dbo","tblCISPlatformNames","CISOutboundTrackReference"
"dbo","tblCISRouteAttributes","GTFSRouteName"
"dbo","tblCISRouteAttributes","CISRouteCode"
"dbo","tblCISTrackAttributes","TrackUID"
"dbo","tblCISTrackAttributes","LeftBoundIgnoreTrack"
"dbo","tblCISTrackAttributes","RightBoundIgnoreTrack"
"dbo","tblCISTrackAttributes","LeftBoundTrackSpeed"
"dbo","tblCISTrackAttributes","RightBoundTrackSpeed"
"dbo","tblCISTrackAttributes","LeftLimitMilepost"
"dbo","tblCISTrackAttributes","RightLimitMilepost"
"dbo","tblCISTrackAttributes","TrackName"
"dbo","tblCISTrackAttributes","TrackNameAlias"
"dbo","tblCISTrackAttributes","PTCMilepostModifier"
"dbo","tblCodeBitAssignments","Mnemonic"
"dbo","tblCodeBitAssignments","LongName"
"dbo","tblCodeBitAssignments","BitType"
"dbo","tblCodeBitAssignments","WaysideATCSAddress"
"dbo","tblCodeFunctionDefaults","MnemonicName"
"dbo","tblCodeFunctionDefaults","LongName"
"dbo","tblCodeLines","AddressATCS"
"dbo","tblCodeStations","CodeStationNumber"
"dbo","tblCodeStations","StationName"
"dbo","tblCodeStations","ControlAddress"
"dbo","tblCodeStations","IndicationAddress"
"dbo","tblCodeStations","NetworkPortalAddress"
"dbo","tblCodeStations","ManualDisableStation"
"dbo","tblCodeStations","WaysideATCSAddress"
"dbo","tblCodeStations","WaysideEMPAddress"
"dbo","tblCodeStations","StationFailed"
"dbo","tblColorManagerComponents","TrackType"
"dbo","tblCompAuthorityPoints","Milepost"
"dbo","tblCompAuthorityPoints","MilepostSuffix"
"dbo","tblCompAuthorityPoints","MilepostPrefix"
"dbo","tblCompAuthorityPoints","StationSign"
"dbo","tblCompAuthorityPoints","StationSignType"
"dbo","tblCompControlPoints","Milepost"
"dbo","tblCompControlPoints","MilepostSuffix"
"dbo","tblCompControlPoints","MilepostPrefix"
"dbo","tblCompControlPoints","DisableAutomaticSignalSlotting"
"dbo","tblCompControlPoints","ScadaTractionPowerControlPointMode"
"dbo","tblCompControlPoints","ScadaCommunicationControlPointMode"
"dbo","tblCompControlPoints","ScadaNonReportingModeControlled"
"dbo","tblCompControlPoints","ScadaAlarmReportingIndicationBit"
"dbo","tblCompControlPoints","ControllingWorkstation"
"dbo","tblCompControlPoints","ControllingWorkStationIPString"
"dbo","tblCompControlPoints","PTC_SiteAddress"
"dbo","tblCompControlPoints","DisableTrackFlooding"
"dbo","tblCompElectricalSwitches","LockBit"
"dbo","tblCompElectricalSwitches","SwitchBlkBit"
"dbo","tblCompElectricalSwitches","EnableTrackLineDisplayMode"
"dbo","tblCompFEDs","TrackGUID"
"dbo","tblCompFEDs","MilePost"
"dbo","tblCompFEDs","MilepostSuffix"
"dbo","tblCompFEDs","MilepostPrefix"
"dbo","tblCompFlipFlops","TrackLength"
"dbo","tblCompFlipFlops","TrackPermit"
"dbo","tblCompFlipFlops","TrackTime"
"dbo","tblCompMiscDevices","TrackGUID"
"dbo","tblCompMiscDevices","ScadaMode"
"dbo","tblCompMiscDevices","TrackInterlockMode"
"dbo","tblCompMiscDevices","ScadaSuppressTime"
"dbo","tblCompPlatformSigns","IPAddress"
"dbo","tblCompPlatformSigns","SignAddress"
"dbo","tblCompPlatformSigns","BroadCastAddress"
"dbo","tblCompPSGRPlatforms","MilePost"
"dbo","tblCompPSGRPlatforms","MilePostSuffix"
"dbo","tblCompPSGRPlatforms","MileageNext"
"dbo","tblCompPSGRPlatforms","TrackType"
"dbo","tblCompPSGRPlatforms","MilePostChangeEvent"
"dbo","tblCompPSGRPlatforms","MilepostPrefix"
"dbo","tblCompPSGRPlatforms","StationSign"
"dbo","tblCompPSGRPlatforms","StationSignType"
"dbo","tblCompPSGRPlatforms","EntryReportingLeftBoundTracks"
"dbo","tblCompPSGRPlatforms","EntryReportingRightBoundTracks"
"dbo","tblCompPSGRPlatforms","ExitReportingLeftBoundTracks"
"dbo","tblCompPSGRPlatforms","ExitReportingRightBoundTracks"
"dbo","tblCompPSGRPlatforms","DistanceToLeftStation"
"dbo","tblCompPSGRPlatforms","DistanceToRightStation"
"dbo","tblCompPSGRPlatforms","RunningTimeToLeftStation"
