"Id","LocomotiveId","Last2100","IcdInterfaceVersion"
"57","NCTC  2306","2026-03-24 오전 9:05:41","BOS_ICD_3_0"
"560","SCAX   909","2026-03-24 오전 8:01:51","BOS_ICD_3_0"
"567","SCAX   896","2026-03-24 오전 2:42:03","BOS_ICD_3_0"
"595","SCAX   904","2026-03-24 오전 8:16:37","BOS_ICD_3_0"
"620","SCAX   903","2026-03-24 오전 8:25:04","BOS_ICD_3_0"
"629","SCAX   934","2026-03-24 오전 8:18:10","BOS_ICD_3_0"
"648","SCAX   928","2026-03-24 오전 7:33:31","BOS_ICD_3_0"
"650","SCAX  2222","2026-03-24 오전 3:10:47","BOS_ICD_3_0"
"2521","SCAX   669","2026-03-24 오전 7:48:08","BOS_ICD_3_0"
"2537","SCAX   653","2026-03-24 오전 3:38:36","BOS_ICD_3_0"
"3450","SCAX   941","2026-03-24 오전 7:15:35","BOS_ICD_3_0"
"3613","SCAX   889","2026-03-24 오전 6:59:36","BOS_ICD_3_0"
"4190","SCAX   923","2026-03-24 오전 7:04:07","BOS_ICD_3_0"
"4203","SCAX  1111","2026-03-23 오후 5:33:50","BOS_ICD_3_0"
"5231","SCAX   695","2026-03-19 오후 11:10:25","BOS_ICD_3_0"
"5477","SCAX   929","2026-03-24 오전 8:40:09","BOS_ICD_3_0"
"6058","SCAX   905","2026-03-24 오전 8:05:44","BOS_ICD_3_0"
"6752","SCAX   661","2026-03-24 오전 3:03:28","BOS_ICD_3_0"
"6921","BNSF  6161","2026-03-23 오후 8:45:51","BOS_ICD_3_0"
"8255","SCAX   658","2026-03-24 오전 7:59:17","BOS_ICD_3_0"
