"Id","Key","Ttl"
"44227910","2080-nctc.l.nctc.2309:itc-1B-5A-E9-58","2026-03-24 오전 8:55:24"
"44227911","2080-nctc.l.nctc.2306:itc-1A-A2-48-6A","2026-03-24 오전 8:55:29"
"44227912","2080-scax.l.scax.661:itc-81-E5-F8-A7","2026-03-24 오전 8:55:30"
"44227913","2080-nctc.l.nctc.2308:itc-E0-76-10-89","2026-03-24 오전 8:55:34"
"44227914","2080-nctc.l.nctc.423:itc-56-AC-1A-B7","2026-03-24 오전 8:55:36"
"44227915","2080-nctc.l.nctc.5004:itc-65-EE-98-B8","2026-03-24 오전 8:55:38"
"44227916","2080-nctc.l.nctc.5006:itc-CA-FB-25-67","2026-03-24 오전 8:55:44"
"44227917","2080-nctc.l.nctc.5005:itc-D2-A1-E0-BD","2026-03-24 오전 8:55:45"
"44227918","2080-nctc.l.nctc.5001:itc-EE-0C-11-B8","2026-03-24 오전 8:55:46"
"44227919","2080-nctc.l.nctc.2303:itc-6A-C7-C5-6A","2026-03-24 오전 8:55:50"
"44227920","2080-bnsf.l.bnsf.6354:itc-B9-3F-BB-EC","2026-03-24 오전 8:56:00"
"44227921","2080-nctc.l.nctc.5008:itc-6C-B1-A4-89","2026-03-24 오전 8:56:05"
"44227922","2080-scax.l.scax.662:itc-AF-D6-8A-A9","2026-03-24 오전 8:56:17"
"44227924","2080-nctc.l.nctc.2309:itc-4E-64-0B-9D","2026-03-24 오전 8:56:24"
"44227925","2080-nctc.l.nctc.2306:itc-70-45-E6-A4","2026-03-24 오전 8:56:29"
"44227926","2080-scax.l.scax.661:itc-45-5D-65-F9","2026-03-24 오전 8:56:30"
"44227927","2080-bnsf.l.bnsf.6354:itc-D6-76-D6-AA","2026-03-24 오전 8:56:32"
"44227928","2080-nctc.l.nctc.2308:itc-3B-81-3A-85","2026-03-24 오전 8:56:34"
"44227929","2080-nctc.l.nctc.423:itc-DF-D5-5A-E9","2026-03-24 오전 8:56:36"
"44227930","2080-nctc.l.nctc.5004:itc-D4-AA-81-B9","2026-03-24 오전 8:56:42"
