"id","loco_id","train_symbol","head_end_latitude","head_end_longitude","last_updated","scac","current_ptc_authority_reference_number","head_end_milepost","head_end_milepost_prefix","head_end_milepost_suffix","head_end_track_name","head_end_scac","head_end_subdivision_id","rear_end_milepost","rear_end_milepost_prefix","rear_end_milepost_suffix","rear_end_track_name","rear_end_scac","rear_end_subdivision_id","speed","direction_of_travel","current_position_uncertainty","position_validity","reason_for_report","locomotive_state_summary","locomotive_state","locomotive_state_time","control_brake","time_elapsed","distance_elapsed","head_end_current_pos_x","head_end_current_pos_y","head_end_current_pos_z"
"1","NCTC  5003","","33.243656","-117.415558","2026-03-23 오후 10:41:46","NCTC","0","0.0000","","","","    ","0","0.0000","","","","    ","0","0","0","164","2","0","2","4","2026-03-23 오후 10:41:45","2","0","0","-245861649","-474000136","347658562"
"2","NCTC  2309","","33.242415","-117.414145","2026-03-24 오전 9:05:22","NCTC","0","0.0000","","","","    ","0","0.0000","","","","    ","0","0","0","164","2","0","2","4","2026-03-24 오전 9:05:22","1","60","10","-245853303","-474012640","347646863"
"3","NCTC  2302","","33.243050","-117.415300","2026-03-03 오후 5:08:31","NCTC","0","0.0000","","","","    ","0","0.0000","","","","    ","0","0","0","164","1","0","2","4","2026-03-03 오후 5:08:29","1","60","10","-245859826","-474001853","347650977"
"1003","NCTC  2307","","33.242599","-117.414331","2026-03-24 오전 9:04:09","NCTC","0","0.0000","","","","    ","0","0.0000","","","","    ","0","0","0","164","2","9","2","4","2026-03-24 오전 9:04:09","2","0","0","-245854303","-474010815","347648546"
"1004","CDTX  2110","","32.993318","-117.271650","2026-03-24 오전 7:23:52","NCTC","0","0.0000","","","","    ","0","0.0000","","","","    ","0","0","0","164","2","6","2","4","2026-03-24 오전 7:23:42","1","0","0","-245365252","-475964151","345332962"
"1005","AMTK   166","","34.025963","-118.226054","2022-06-07 오후 5:56:08","NCTC","0","0.0000","","","","    ","0","0.0000","","","","    ","0","0","0","164","2","10","2","2","2022-06-07 오후 5:56:05","1","0","0","-250270994","-466244215","354885877"
"1006","CDTX  2119","","32.716707","-117.170018","2026-03-24 오전 2:20:50","NCTC","0","0.0000","","","","    ","0","0.0000","","","","    ","0","0","0","18","0","6","2","4","2026-03-24 오전 2:20:40","1","0","0","-245279911","-477878021","342755104"
"1007","NCTC  3002","","33.243840","-117.415709","2025-01-13 오전 7:50:10","NCTC","0","0.0000","","","","    ","0","0.0000","","","","    ","0","0","0","164","2","9","2","4","2025-01-13 오전 7:49:44","1","0","0","-245862335","-473998397","347660206"
"1008","NCTC  3001","","33.243784","-117.415596","2023-11-24 오전 2:45:50","NCTC","0","0.0000","","","","    ","0","0.0000","","","","    ","0","0","0","164","2","9","2","4","2023-11-24 오전 2:45:47","2","0","0","-245861555","-473999185","347659687"
"1009","NCTC  5002","","33.245659","-117.416374","2026-03-21 오후 9:03:22","NCTC","0","0.0000","","","","    ","0","0.0000","","","","    ","0","0","0","164","2","0","2","4","2026-03-21 오후 9:03:20","1","0","0","-245862605","-473985471","347676882"
"1010","NCTC  2308","","33.243969","-117.415371","2026-03-24 오전 9:05:32","NCTC","0","0.0000","","","","    ","0","0.0000","","","","    ","0","0","0","164","2","0","2","4","2026-03-24 오전 9:05:32","1","60","10","-245859015","-473998846","347661176"
"1011","CDTX  2113","","32.716724","-117.170196","2026-03-23 오후 10:39:16","NCTC","0","0.0000","","","","    ","0","0.0000","","","","    ","0","0","0","18","0","6","2","4","2026-03-23 오후 10:39:12","1","0","0","-245281385","-477877244","342755306"
"1012","AMTK  6905","","34.024669","-118.225959","2026-03-21 오전 9:09:36","NCTC","0","0.0000","","","","    ","0","0.0000","","","","    ","0","0","0","164","2","0","2","4","2026-03-21 오전 9:09:35","2","0","0","-250273888","-466251462","354873784"
"1013","CDTX  2109","","32.716708","-117.170133","2026-03-23 오후 6:02:46","NCTC","0","0.0000","","","","    ","0","0.0000","","","","    ","0","0","0","18","0","6","2","4","2026-03-23 오후 6:02:38","1","0","0","-245280909","-477877603","342755159"
"1014","AMTK  6903","","34.054688","-118.234402","2026-03-24 오전 1:03:17","NCTC","0","0.0000","","","","    ","0","0.0000","","","","    ","0","0","0","17","2","6","2","4","2026-03-24 오전 1:03:09","1","0","0","-250254938","-466051342","355150460"
"1015","AMTK  6904","","34.056039","-118.233819","2026-03-23 오후 6:57:08","NCTC","0","0.0000","","","","    ","0","0.0000","","","","    ","0","0","0","17","2","6","2","4","2026-03-23 오후 6:56:42","1","0","0","-250246222","-466046500","355162883"
"1016","AMTK   132","","34.019707","-118.225827","2022-04-09 오전 3:10:35","NCTC","0","0.0000","","","","    ","0","0.0000","","","","    ","0","0","0","164","2","10","2","2","2022-04-09 오전 3:10:27","1","0","0","-250287200","-466278849","354827926"
"1017","NCTC  5004","","33.244851","-117.415984","2026-03-24 오전 9:05:44","NCTC","0","0.0000","","","","    ","0","0.0000","","","","    ","0","0","0","164","2","0","2","4","2026-03-24 오전 9:05:32","2","60","10","-245861644","-473991511","347669395"
"1018","NCTC  2301","","33.244955","-117.415977","2024-08-14 오후 11:27:35","NCTC","0","0.0000","","","","    ","0","0.0000","","","","    ","0","0","0","164","2","9","2","4","2024-08-14 오후 11:27:33","1","0","0","-245861174","-473990745","347670181"
"1019","NCTC  5005","","33.244839","-117.416032","2026-03-24 오전 9:05:43","NCTC","0","0.0000","","","","    ","0","0.0000","","","","    ","0","0","0","164","2","0","2","4","2026-03-24 오전 9:05:43","2","60","10","-245862044","-473991308","347669238"
