"EventDate","EventMessage","Subdivision","UID"
"2016-10-11 오후 6:02:00","1800, 66, 1SW, CLEAR ","ESCONDIDO","f7998fc6-6711-4cc3-92e6-00019eb80fc7"
"2016-08-21 오전 6:08:00","0600, 63, VAR, SCATTERED CLOUDS","SAN DIEGO","ccd898a8-4dd3-4a47-a564-0001e9593075"
"2022-09-28 오후 5:57:00","1800, 74, 7SW, MOSTLY CLOUDY","SAN DIEGO","8fd0c696-3032-4d90-ae9c-0002d2d55c80"
"2015-09-26 오후 6:07:00","1800, 81, 6E, SUNNY","ESCONDIDO","bfd2ee56-d8db-4c22-a14f-0007fd3ee875"
"2022-12-19 오전 12:25:00","0000, 41, 3NE, CLOUDY","SAN DIEGO","da763b3b-a0a8-4f9d-80a9-000aa97a765c"
"2016-05-12 오전 12:01:00","0000, 62, 4WSW, OVERCAST","SAN DIEGO","f69bbaf9-ada7-489d-8a95-000fd9bf7e7d"
"2014-01-11 오후 12:01:00","1200, 63.5, 4SW, CLEAR","SAN DIEGO","0b3f63ae-acb1-4e37-9760-000fe3fb90f5"
"2022-05-01 오전 6:04:00","0600, 52, 3SE, MOSTLY CLOUDY","ESCONDIDO","6e73946e-0be1-491e-b380-00106a5754d0"
"2012-11-04 오후 12:20:00","1200- 69, 6WNW, CLEAR","SAN DIEGO","1bec3eec-4484-4437-862e-00115ce1da33"
"2020-09-06 오후 12:09:00","1200, 110, 8E, SUNNY","ESCONDIDO","1b007197-72e8-41e1-8801-0011edd89800"
"2017-05-30 오전 6:07:00","0600, 58, 1W, OVERCAST","ESCONDIDO","299bfa5e-0841-401e-8750-00141bf668c3"
"2013-04-15 오후 12:10:00","1200- 55, 3WNW, LIGHT RAIN MIST","ESCONDIDO","aa47b50b-ea94-44cb-92e4-00156527fe4e"
"2019-03-05 오후 12:03:00","1200, 64, 5WSW, PARTY CLOUDY","SAN DIEGO","31e96583-a292-4bff-bb16-001d53f1e4be"
"2020-12-31 오전 6:06:00","0600, 44, 0, MOSTLY CLOUDY","SAN DIEGO","62882fe2-2a24-4b56-b1ff-00222df482e9"
"2021-08-01 오전 12:05:00","0001, 64, 2N, CLEAR","ESCONDIDO","fb3586cd-8a65-4534-91e4-00232f9df482"
"2019-04-24 오전 11:58:00","1200, 73, 3NE, FAIR","SAN DIEGO","0f60bc31-2e96-496d-97fa-00256f4e4489"
"2014-12-21 오전 12:06:00","0001, 50.5, CALM, MOSTLY CLOUDY","ESCONDIDO","976eb052-5c02-47e2-92fa-002b9242b730"
"2021-07-10 오후 6:11:00","1800, 76, 6NE, SUNNY","SAN DIEGO","dd13ba43-4e2e-4498-8254-002c45022758"
"2015-07-14 오전 6:02:00","0600, 67, 0, OVERCAST","SAN DIEGO","c19a3125-7538-482b-aef1-002e89c1fde4"
"2021-02-21 오후 12:55:00","1200, 73, 12NE, CLEAR","SAN DIEGO","c4c86564-ec9e-44f5-b9e8-003049e5cffb"
