"TrainSheetGUID","OsPoint","OsTime","TrackGUID","SubName","ReportData","RecordGUID","Direction","EventCreator"
"F0B139AC-9CBE-447C-9BF6-34D614E11491","SCRIPPS","2024-02-07 오후 11:19:56","100821","SAN DIEGO","HSDGBAR1 07|2/7/2024 23:19:56|11|98|5647|7386||BNSF  6235;BNSF  7211;BNSF  7760;BNSF  3706;FXE   4024;BNSF  4007;BNSF  5217;BNSF  6295;|SCRIPPS|100015||NONE|0|BNSF  5635|NONE|","000D4ED9-7980-4C7E-ACBB-30EF54EACE47",,"EVANS, SHALENE {SME}"
"D77B195E-C585-49E7-8FD1-C056E92C953E","ASH","2023-08-16 오후 8:05:16","100511","SAN DIEGO","C641|8/16/2023 20:05:16|3|0|267|412|0|NCTC  2301;NCTC  5005;|ASH|100033||NONE|0|NCTC  2301|NONE|","00486543-1A02-40FA-B6E5-DEEA7EC8F416",,"EVANS, SHALENE {SME}"
"68394EAE-8F00-476F-A064-5231D9FB41A1","TORREY","2023-11-02 오후 11:54:20","100180","SAN DIEGO","HBARSDG1 02|11/2/2023 23:54:20|37|9|3551|4166||BNSF   618;NS    9806;BNSF   983;BNSF  4171;|TORREY|100025||NONE|0|BNSF  7316|NONE|","016A24BB-C026-40E8-9A7C-415DCF475939",,"BRIDGES, ROSEMARY {RJB}"
"D9A854AF-E94F-41A3-8AFC-E35F76690015","MESA","2026-03-23 오후 10:43:10","100173","SAN DIEGO","RCAL0153 23|3/23/2026 22:43:10|4|0|530|358||BNSF   154;|MESA|100006||NONE|0|BNSF   171|NONE|","025C432A-D0E7-4D9A-9192-23A64899E6A4",,"ANDROVICH, ERINA {EAA}"
"77D8A7B5-ADA8-4298-9033-38E7C495927D","EAST BROOK","2025-03-11 오전 12:15:31","100878","SAN DIEGO","VSBDSDG4 10|3/11/2025 00:15:31|0|73|3743|7142||BNSF  7014;BNSF  6822;BNSF  4123;|EAST BROOK|100009||NONE|0|BNSF  3706|NONE|","0524B56A-F43D-4CDE-A594-F2505A70A9D7",,"CANADA, GLORIA {GC}"
"E6786EA2-0E2D-45EC-8E88-B13391C2D086","SHELL","2025-08-12 오후 11:03:25","100246","SAN DIEGO","RCAL0153 12|8/12/2025 23:03:25|5|0|709|453||BNSF  6566;|SHELL|100012||NONE|0|BNSF   142|NONE|","070DD7D8-55C4-4869-B371-1231F749847E",,"VUNCANNON, KRYSTAL {KV}"
"68394EAE-8F00-476F-A064-5231D9FB41A1","DEL MAR","2023-11-02 오후 11:49:15","100404","SAN DIEGO","HBARSDG1 02|11/2/2023 23:49:15|37|9|3551|4166||BNSF   618;NS    9806;BNSF   983;BNSF  4171;|DEL MAR|100024||NONE|0|BNSF  7316|NONE|","0C3E7DB9-826B-4C55-8894-325EDC34F493",,"BRIDGES, ROSEMARY {RJB}"
"68394EAE-8F00-476F-A064-5231D9FB41A1","MIRAMAR","2023-11-03 오전 12:08:38","100436","SAN DIEGO","HBARSDG1 02|11/3/2023 00:08:38|37|9|3551|4166||BNSF   618;NS    9806;BNSF   983;BNSF  4171;|MIRAMAR|100027||NONE|0|BNSF  7316|NONE|","0D0CED6B-EB0B-4E06-BC17-5AA51F947BC4",,"BRIDGES, ROSEMARY {RJB}"
"E6786EA2-0E2D-45EC-8E88-B13391C2D086","PACIFIC","2025-08-12 오후 11:05:14","100701","SAN DIEGO","RCAL0153 12|8/12/2025 23:05:14|5|0|709|453||BNSF  6566;|PACIFIC|100011||NONE|0|BNSF   142|NONE|","0E68C34E-30E5-4642-9E43-6B8FD61327B7",,"VUNCANNON, KRYSTAL {KV}"
"77D8A7B5-ADA8-4298-9033-38E7C495927D","STUART","2025-03-11 오전 12:10:44","100682","SAN DIEGO","VSBDSDG4 10|3/11/2025 00:10:44|0|73|3743|7142||BNSF  7014;BNSF  6822;BNSF  4123;|STUART|100005||NONE|0|BNSF  3706|NONE|","1503BDF9-FCE8-4498-93B9-A60218DFD397",,"CANADA, GLORIA {GC}"
