"database","schema","table","column","ordinal","data_type","is_nullable"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","id","1","int","NO"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","loco_id","2","char","NO"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","train_symbol","3","varchar","YES"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","head_end_latitude","4","decimal","NO"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","head_end_longitude","5","decimal","NO"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","last_updated","6","datetime","NO"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","scac","7","char","NO"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","current_ptc_authority_reference_number","8","bigint","NO"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","head_end_milepost","9","decimal","NO"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","head_end_milepost_prefix","10","varchar","YES"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","head_end_milepost_suffix","11","varchar","YES"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","head_end_track_name","12","varchar","YES"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","head_end_scac","13","char","NO"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","head_end_subdivision_id","14","int","NO"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","rear_end_milepost","15","decimal","NO"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","rear_end_milepost_prefix","16","varchar","YES"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","rear_end_milepost_suffix","17","varchar","YES"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","rear_end_track_name","18","varchar","YES"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","rear_end_scac","19","char","NO"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","rear_end_subdivision_id","20","int","NO"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","speed","21","int","NO"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","direction_of_travel","22","tinyint","NO"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","current_position_uncertainty","23","int","NO"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","position_validity","24","tinyint","NO"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","reason_for_report","25","tinyint","NO"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","locomotive_state_summary","26","tinyint","NO"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","locomotive_state","27","tinyint","NO"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","locomotive_state_time","28","datetime","YES"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","control_brake","29","tinyint","NO"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","time_elapsed","30","int","NO"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","distance_elapsed","31","int","NO"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","head_end_current_pos_x","32","int","NO"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","head_end_current_pos_y","33","int","NO"
"tmdsDatabaseDynamic","dbo","tblLocomotivePositionReport","head_end_current_pos_z","34","int","NO"
