"database","schema","table","column","ordinal","data_type","is_nullable"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","Symbol","1","nvarchar","NO"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","EngineID","2","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","InUsed","3","int","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","Subdivision","4","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","TerritoryAssignmentID","5","int","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","TrackGUID","6","int","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","OsEvents","7","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","SymbolComment","8","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","Direction","9","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","CallTime","10","smalldatetime","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","Units","11","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","UnitComment","12","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","DepTime","13","datetime","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","ArrTime","14","datetime","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","FinalTime","15","smalldatetime","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","OLoads","16","int","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","OEmts","17","int","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","OTons","18","int","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","OLength","19","int","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","DLoads","20","int","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","DEmts","21","int","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","DTons","22","int","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","DLength","23","int","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","MaxSpd","24","int","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","HorsePowerTrailing","25","int","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","TonsPerOperativeBrake","26","int","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","HazMat","27","bit","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","HighWide","28","bit","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","Origin","29","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","Dest","30","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","EOTD","31","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","HOTD","32","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","EngName","33","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","EngOnDuty","34","smalldatetime","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","EngTimeUp","35","smalldatetime","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","CondName","36","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","CondOnDuty","37","smalldatetime","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","CondTimeUp","38","smalldatetime","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","DelayInfo","39","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","TrackBull","40","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","BadOrderSetOuts","41","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","EngNameRel","42","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","EngOnDutyRel","43","smalldatetime","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","EngTimeUpRel","44","smalldatetime","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","CondNameRel","45","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","CondOnDutyRel","46","smalldatetime","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","CondTimeUpRel","47","smalldatetime","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","TrainSheetEvents","48","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","EngNameP","49","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","EngOnDutyP","50","smalldatetime","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","EngTimeUpP","51","smalldatetime","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","CondNameP","52","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","CondOnDutyP","53","smalldatetime","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","CondTimeUpP","54","smalldatetime","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","UnitsP","55","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","EngineIDP","56","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","Helper","57","bit","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","KeyTrain","58","bit","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","TrainGUID","59","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","TotalHP","60","int","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","ScheduleStatus","61","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","TrainLink","62","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","TrailingHorsePower","63","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","StackOrder","64","int","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","TrainType","65","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","SpecialNote","66","bit","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","PseudoName","67","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","SubType","68","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","CBTCEquipped","69","bit","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","TimeTableID","70","int","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","HomeRoadUID","71","int","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","CurrentGTBUID","72","int","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","GTBActive","73","bit","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","GTBTimeIssued","74","smalldatetime","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","GTBStationID","75","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","GTBStateID","76","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","PTCStatus","77","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","ActiveSubTrainSheet","78","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","CondName2","79","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","CondOnDuty2","80","smalldatetime","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","CondTimeUp2","81","smalldatetime","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","CondName3","82","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","CondOnDuty3","83","smalldatetime","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","CondTimeUp3","84","smalldatetime","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","CrewCurrent","85","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","CrewRelief","86","nvarchar","YES"
"tmdsDatabaseDynamic","dbo","tblTrainsActive","CrewPending","87","nvarchar","YES"
