"WordType","CDLNNumber","CPNumber","CSNumber","BPAssignment","Mnemonic","LongName","BitType","InvertedPosition","AlwaysOnState","UID","TrapEventNMS","TrapEventTypeNMS","AlarmLevel","AlarmDescription","AlarmEquipmentUID","WaysideATCSAddress","WaysideStatusIndex","RRUniqueIdentifierName","SoundFileName","AlertsInterval","NumberOfAlertsAnnunciations","OnTime","OffTime"
"C","5","100001","1","4","BLANK","BLANK CONTROL","None","False","False","FF90AD59-A581-4F9B-AB5A-EF7C481444BF",,,,,,,,,,,,,
"I","5","100001","1","2","TK","OS TRACK INDICATION","None","False","False","45BDF29E-4208-48A2-906D-F78FFBCE47B7",,,,,,,,,,,,,
"I","5","100001","1","6","WAAK","WAAK","None","False","False","001E2198-F82C-4E39-A543-D4B298810D05",,,,,,,,,,,,,
"I","5","100001","1","14","WBAK","WBAK","None","False","False","7CD54CB0-4258-449D-A7C6-80D0D7166F1D",,,,,,,,,,,,,
"I","5","100001","1","15","BLANK","BLANK INDICATION","None","False","False","A036F660-B6E0-4C55-A3AB-B115667864B8",,,,,,,,,,,,,
"I","5","100001","1","13","LOK","LIGHT OUT INDICATION","None","False","False","A44CF443-D968-44DF-8266-343E0F1C5859",,,,,,,,,,,,,
"I","5","100001","1","12","BLANK","BLANK INDICATION","None","False","False","EE3DEAE0-77CC-4C5A-8EB2-E2F5A0942AE6",,,,,,,,,,,,,
"I","5","100001","1","11","ERQK","ERQK","None","False","False","5DD89DEF-3CE3-4149-8AD6-5A7DBC7AB7B1",,,,,,,,,,,,,
"I","5","100001","1","10","TEK","SIGNAL INTIME INDICATION","None","False","False","E18F1AEE-6BDA-47F8-AFEB-94A4297C2881",,,,,,,,,,,,,
"I","5","100001","1","9","LCK","LOCAL CONTROL","None","False","False","BF20230D-33F8-4772-9B54-6080EEF28E4C",,,,,,,,,,,,,
"I","5","100001","1","8","POK","POWER OFF INDICATION","None","False","False","3DF098F1-ED65-4632-BD3B-088DDAA2AED9",,,,,,,,,,,,,
"I","5","100001","1","7","WGK","WESTBOUND SIGNAL INDICATION","None","False","False","C48AC2AF-E51E-48B2-9818-69CC3A6F9A92",,,,,,,,,,,,,
"I","5","100001","1","5","EGK","EASTBOUND SIGNAL INDICATION","None","False","False","B4A7C139-52EA-4CF7-A831-EB1B50C99B79",,,,,,,,,,,,,
"I","5","100001","1","4","EAK","EAK","None","False","False","C97D3651-CE5E-4869-BB79-4F991243A8FD",,,,,,,,,,,,,
"I","5","100001","1","3","1RWK","REVERSE SWITCH INDICATION","None","False","False","87A45C32-D947-49DA-94FE-E8294EB4E02B",,,,,,,,,,,,,
"C","5","100001","1","16","BLANK","BLANK CONTROL","NONE","False","False","8901F670-D315-4204-9EE8-9E86608EC988",,,,,,,,,,,,,
"C","5","100001","1","15","BLANK","BLANK CONTROL","NONE","False","False","4F984B58-4E34-4674-A5F0-5F461240849B",,,,,,,,,,,,,
"C","5","100001","1","14","BLANK","BLANK CONTROL","NONE","False","False","EC95914A-9D17-4DF3-859D-86132EA44D22",,,,,,,,,,,,,
"C","5","100001","1","13","BLANK","BLANK CONTROL","NONE","False","False","97B1C9B4-5B11-43C5-BD16-BCFD5AA4809D",,,,,,,,,,,,,
"C","5","100001","1","10","BLANK","BLANK CONTROL","NONE","False","False","055A0BD6-E9E6-4126-BBBE-726373573461",,,,,,,,,,,,,
"C","5","100001","1","8","BLANK","BLANK CONTROL","None","False","False","78E30982-2E29-429B-B17F-570365539362",,,,,,,,,,,,,
"C","5","100001","1","6","BLANK","BLANK","None","False","False","C4F490F8-E791-4844-B4CC-A71523D49046",,,,,,,,,,,,,
"C","5","100001","1","5","EGHS","EASTBOUND SIGNAL CONTROL","None","False","False","685382FD-B724-4F32-8E85-18B71FA92C09",,,,,,,,,,,,,
"C","5","100001","1","3","1RWS","REVERSE SWITCH CONTROL","None","False","False","5ED9A280-65CD-4D3B-BF98-8C39660758CC",,,,,,,,,,,,,
"I","5","100001","1","16","BLANK","BLANK INDICATION","None","False","False","738E4557-85AE-49BE-981C-FAB0B99879C2",,,,,,,,,,,,,
"I","5","100001","1","1","1NWK","NORMAL SWITCH INDICATION","None","False","False","718D0CB3-192A-4AC6-BBFD-D894B3B87F11",,,,,,,,,,,,,
"C","5","100001","1","12","BLANK","BLANK CONTROL","NONE","False","False","28337A49-D5BF-4608-8BBA-E7E6A8ACE902",,,,,,,,,,,,,
"C","5","100001","1","11","BLANK","BLANK CONTROL","NONE","False","False","20EDECB2-331A-4084-8F3E-2C171AA68404",,,,,,,,,,,,,
"C","5","100001","1","7","WGHS","WESTBOUND SIGNAL CONTROL","None","False","False","1B942159-845C-4AFD-A336-65AF173F53DF",,,,,,,,,,,,,
"C","5","100001","1","2","BLANK","BLANK CONTROL","None","False","False","1B7B6F29-D66D-41DC-957E-3233A5711792",,,,,,,,,,,,,
"C","5","100001","1","1","1NWS","NORMAL SWITCH CONTROL","None","False","False","26006234-0801-4CFE-9382-E33348BD50ED",,,,,,,,,,,,,
"C","5","100001","1","9","BLANK","BLANK CONTROL","NONE","False","False","12747571-9A9A-4BB1-AD6D-13132750B3D3",,,,,,,,,,,,,
