"WordType","CDLNNumber","CPNumber","CSNumber","BPAssignment","Mnemonic","LongName","BitType","InvertedPosition","AlwaysOnState","UID","TrapEventNMS","TrapEventTypeNMS","AlarmLevel","AlarmDescription","AlarmEquipmentUID","WaysideATCSAddress","WaysideStatusIndex","RRUniqueIdentifierName","SoundFileName","AlertsInterval","NumberOfAlertsAnnunciations","OnTime","OffTime"
"C","20","200016","1","34","BLANK","BLANK CONTROL","NONE","False","False","0019D4D5-25EE-45AD-A484-C2534326068B",,,,,,,,,,,,,
"I","5","100001","1","6","WAAK","WAAK","None","False","False","001E2198-F82C-4E39-A543-D4B298810D05",,,,,,,,,,,,,
"I","10","200003","1","35","BLANK","BLANK INDICATION","None","False","False","00285E89-6D42-4E91-9C31-93DD4A4FDD6F",,,,,,,,,,,,,
"I","7","200002","1","29","BLANK","BLANK INDICATION","None","False","False","00602D9A-8AD9-4C78-AE31-E1524E974DA1",,,,,,,,,,,,,
"I","19","200014","1","9","BLANK","BLANK INDICATION","None","False","False","006DA5F7-DF58-47CD-B0D5-1444BEA9A47A",,,,,,,,,,,,,
"I","26","200026","1","25","BLANK","BLANK INDICATION","NONE","False","False","008962D6-DE6E-43D5-B13C-3F516681A904",,,,,,,,,,,,,
"C","15","200010","1","22","BLANK","BLANK CONTROL","NONE","False","False","008F9304-FE09-47A8-A369-F4C97FB320DB",,,,,,,,,,,,,
"I","5","100003","1","15","BLANK","BLANK INDICATION","NONE","False","False","009A9189-0F9F-4590-BA9B-4D0DA9639A59",,,,,,,,,,,,,
"C","14","200009","1","31","BLANK","BLANK CONTROL","NONE","False","False","009DFB60-1230-41D0-95E7-B62F5D26E1D2",,,,,,,,,,,,,
"I","23","200020","1","31","BLANK","BLANK INDICATION","NONE","False","False","00EA3A62-50F8-447B-9A9B-CCFEB830629A",,,,,,,,,,,,,
"I","21","200015","1","4","P1EGNK","RELEASE TRAIN","None","False","False","00EA5008-7207-4F25-B579-E05E21E95FE8",,,,,,,,,,,,,
"I","5","100020","1","2","1TK","1 OS TRACK INDICATION","None","False","False","0103AA84-1347-4AA4-99BF-D7EFB4E26BFD",,,,,,,,,,,,,
"I","15","200010","1","10","1080DOK","ILLEGAL ENTRY INDICATION","None","False","False","010A23F7-790E-40BF-9636-8D7BB0FF9A86",,,,,,,,,,,,,
"I","5","100015","1","13","LOK","LIGHT OUT INDICATION","None","False","False","013061FE-4418-4A6B-A268-578E8743D989",,,,,,,,,,,,,
"I","21","200015","1","23","BLANK","BLANK INDICATION","None","False","False","0140A713-AFC1-470E-9758-4EC560FBAC8B",,,,,,,,,,,,,
"I","5","100023","1","11","BLANK","BLANK INDICATION","NONE","False","False","016FEF94-E062-4C59-AB75-C25F14C02D34",,,,,,,,,,,,,
"C","28","200028","1","12","BLANK","BLANK CONTROL","None","False","False","017A1718-7D64-4BA4-A9FE-954D4599C068",,,,,,,,,,,,,
"C","19","200014","1","14","BLANK","BLANK CONTROL","NONE","False","False","017BA2C8-2461-4B65-A4FB-F1EC936C5D0A",,,,,,,,,,,,,
"C","10","200003","1","6","BLANK","BLANK CONTROL","None","False","False","017FB129-ED41-4BB8-B68A-E1FA44F78E98",,,,,,,,,,,,,
"C","7","200002","1","4","3RWS","RAILMOVEMENT POSITION","None","False","False","018466B0-E1BE-4C46-BEBB-2FE13D8546ED",,,,,,,,,,,,,
"I","24","200019","1","39","BLANK","BLANK INDICATION","NONE","False","False","018841AA-6BB7-4F41-904B-370C582A0AFC",,,,,,,,,,,,,
"C","5","100015","1","14","BLANK","BLANK CONTROL","None","False","False","018CEC8F-ED95-4F22-847B-9C79E4761250",,,,,,,,,,,,,
"C","20","200016","1","41","BLANK","BLANK CONTROL","NONE","False","False","019B5243-FEC5-4AD9-A798-89F1EB0C0712",,,,,,,,,,,,,
"C","5","100015","1","7","WGHS","WESTBOUND SIGNAL CONTROL","None","False","False","019FFF82-447D-4048-8BF3-F9FE6C0678B6",,,,,,,,,,,,,
"I","5","100019","1","9","LCK","LOCAL CONTROL","None","False","False","01B4E585-E348-40E7-A2F6-701AA54873B5",,,,,,,,,,,,,
