"UID","ControlPoint","Name","Type","LX","LY","RX","RY","LeftLink","RightLink","LeftAltLink","RightAltLink","AltLinkOne","AltLinkTwo","Codeline","PIND","PCTL","SIND","SCTL","TIND","TCTL","AuthorityType","TerritoryAssignment","Subdivision","IndicateOnly","Fleeting","Stacking","Blocking","CallOn","InTimeType","InTimeBit","DrillSignal","DrillType","DrillControl","DrillStop","DrillIndOne","DrillIndTwo","SignalBlockInd","BlockIndBit","AutoClearCount","PreferredRoutes","CallOnBit","NoOpposingCheck","SignalSlotting","GraphicGroup","ScreenRegion","MatchMode","NoAlarmOnPending","MakeInVisible","ForceStopControl","SignalAspectIndications","FleetControlBit","Notes","HoldingSignal","SignalClearAheadCount","AllowAutomaticMode","AutomaticModeOn","IndicateOnlyWithControlSetEnabled","SignalControlled","CallOnAllowedWithoutOpposingTraffic","CallOnSendSignalClearBit","PTCUID","ToolTipName","JointControlAuthorizationEnabled","JointControlAuthorizationIndBit","JointControlAuthorizationCtlBit","NearSideSignalEnabled","NearSideSignalControlOn","NearSideSignalBitControl","NearSideSignaBitlIndication","Milepost","MilepostSuffix","MilepostPrefix","AdditionalReferenceUID","CallOnControlled","PublishStatusToPTC","DevicePTCUID","AutomaticSignal","DisableTrafficProjection","JointControlAuthorizationOfficeMode","JointControlAuthorizationOfficeModeRequested","JointControlAuthorizationOfficeModeConfirmed","EnableDynamicSignalRouteControlBit","DynamicSignalRouteControlBitList","EnablePulseStopControl","DynamicSignalRouteCallOnBitList","PTC_UID_KEY","PTC_DeviceName","PTC_ProperName","PTC_WIUStatusIndex","PTC_DeviceBlockID","PTC_Enable_PSS","SupressSignalStopWithOutOS","DisableEntryExitFunction","DisableStoreRouteFunction","RRUniqueIdentifierName","EnableAbsoluteBlockSignalRequest","AlarmTime","SuppressUnSolicitedSignalAlert","DISABLEBULLEXCEPTNCHK","BlueFlag","TrackPermit","FoulTime","TrackTime","TrackLock","AllowCallOnWithOutOccupancyInRoute","AllowCallOnWithPendingClearRequest"
"100121","100001","E-SIGNAL","R","85","185","345","200","100189","100117","0","0","0","0","5","5;1;100001;0005","5;1;100001;0005|0;1;100001;0005","0;1;100001;0005","0;1;100001;0005|0;1;100001;0005","0;1;100001;0005","0;1;100001;0005|0;1;100001;0005","CTC","100","2","False","True","True","True","False","INTIMEBIT","10;1;100001","False","NULL","0;0;0","0;0;0","0;0;0","0;0;0","False","0;0;0;0","0","NULL","0;0;0;0","False","True","1","4","False","False","False","True","||||||||||||||||||||","0;1;100001;0005","NONE","False","3","False",,"False",,"False","False","0","EA_B","False","0;0;0;0","0;0;0;0|0;0;0;0","False",,"0;0;0;0","0;0;0;0","209.1186","","",,,"False","","False","False","False",,,"False","","False","","96","E","EB MT","2","5000","False",,"False","False",,,"0",,,"False","False","False","False","False",,
"100122","100001","W-SIGNAL","L","185","165","445","180","100118","100125","0","0","0","0","5","7;1;100001;0005","7;1;100001;0005|0;1;100001;0005","0;1;100001;0005","0;1;100001;0005|0;1;100001;0005","0;1;100001;0005","0;1;100001;0005|0;1;100001;0005","CTC","100","2","False","True","True","True","False","INTIMEBIT","10;1;100001","False","NULL","0;0;0","0;0;0","0;0;0","0;0;0","False","0;0;0;0","0","NULL","0;0;0;0","False","True","1","4","False","False","False","True","||||||||||||||||||||","0;1;100001;0005","NONE","False","3","False",,"False",,"False","False","0","WA","False","0;0;0;0","0;0;0;0|0;0;0;0","False",,"0;0;0;0","0;0;0;0","209.219","","",,,"False","","False","False","False",,,"False","","False","","119","WA","WB MT2","12","7000","False",,"False","False",,,"0",,,"False","False","False","False","False",,
"100123","100001","W-SIGNAL","L","195","115","445","140","100120","100126","0","0","0","0","5","7;1;100001;0005","7;1;100001;0005|0;1;100001;0005","0;1;100001;0005","0;1;100001;0005|0;1;100001;0005","0;1;100001;0005","0;1;100001;0005|0;1;100001;0005","CTC","100","2","False","True","True","True","False","INTIMEBIT","10;1;100001","False","NULL","0;0;0","0;0;0","0;0;0","0;0;0","False","0;0;0;0","0","NULL","0;0;0;0","False","True","1","3","False","False","False","True","||||||||||||||||||||","0;1;100001;0005","NONE","False","3","False",,"False",,"False","False","0","WB","False","0;0;0;0","0;0;0;0|0;0;0;0","False",,"0;0;0;0","0;0;0;0","209.219","","",,,"False","","False","False","False",,,"False","","False","","145","WB","WB MT1","7","6000","False",,"False","False",,,"0",,,"False","False","False","False","False",,
"100142","100003","65-SIGNAL","R","765","135","890","575","100116","100138","0","0","0","0","5","5;1;100003;0005","5;1;100003;0005|0;1;100003;0005","0;1;100003;0005","0;1;100003;0005|0;1;100003;0005","0;1;100003;0005","0;1;100003;0005|0;1;100003;0005","CTC","100","2","False","True","True","True","False","INTIMEBIT","10;1;100003","False","NULL","0;0;0","0;0;0","0;0;0","0;0;0","False","0;0;0;0","0","NULL","0;0;0;0","False","True","1","3","False","False","False","True","0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0","0;1;100003;0005","NONE","False","3","False",,"False",,"False","False","0","EA_B","False","0;0;0;0","0;0;0;0|0;0;0;0","False",,"0;0;0;0","0;0;0;0","218.1299","","",,,"False","","False","False","False",,,"False","","False","","99","EA_B","EB MT","2","5002","False",,"False","False",,,"0",,,"False","False","False","False","False",,
"100143","100003","66-SIGNAL","L","880","165","990","555","100139","100886","0","0","0","0","5","7;1;100003;0005","7;1;100003;0005|0;1;100003;0005","0;1;100003;0005","0;1;100003;0005|0;1;100003;0005","0;1;100003;0005","0;1;100003;0005|0;1;100003;0005","CTC","100","2","False","True","True","True","False","INTIMEBIT","10;1;100003","False","NULL","0;0;0","0;0;0","0;0;0","0;0;0","False","0;0;0;0","0","NULL","0;0;0;0","False","True","1","4","False","False","False","True","0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0","0;1;100003;0005","NONE","False","3","False",,"False",,"False","False","0","WB","False","0;0;0;0","0;0;0;0|0;0;0;0","False",,"0;0;0;0","0;0;0;0","218.2336","","",,,"False","CP Pulgas|WB","False","False","False",,,"False","","False","","127","WB","WB MT2","12","11005","False",,"False","False",,,"0",,,"False","False","False","False","False",,
"100144","100003","66-SIGNAL","L","880","115","990","515","100141","100885","0","0","0","0","5","7;1;100003;0005","7;1;100003;0005|0;1;100003;0005","0;1;100003;0005","0;1;100003;0005|0;1;100003;0005","0;1;100003;0005","0;1;100003;0005|0;1;100003;0005","CTC","100","2","False","True","True","True","False","INTIMEBIT","10;1;100003","False","NULL","0;0;0","0;0;0","0;0;0","0;0;0","False","0;0;0;0","0","NULL","0;0;0;0","False","True","1","3","False","False","False","True","0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0","0;1;100003;0005","NONE","False","3","False",,"False",,"False","False","0","WA","False","0;0;0;0","0;0;0;0|0;0;0;0","False",,"0;0;0;0","0;0;0;0","218.2322","","",,,"False","CP Pulgas|WA","False","False","False",,,"False","","False","","3","WA","WA MT1","7","10004","False",,"False","False",,,"0",,,"False","False","False","False","False",,
"100148","100002","2E-SIGNAL","R","445","135","760","245","100339","100115","0","0","0","0","5","5;1;100002;0005","5;1;100002;0005|0;1;100002;0005","0;1;100002;0005","0;1;100002;0005|0;1;100002;0005","0;1;100002;0005","0;1;100002;0005|0;1;100002;0005","CTC","100","2","False","True","True","True","False","INTIMEBIT","11;1;100002","False","NULL","0;0;0","0;0;0","0;0;0","0;0;0","False","0;0;0;0","0","NULL","0;0;0;0","False","False","1","3","False","False","False","False","||||||||||||||||||||","0;1;100002;0005","NONE","False","0","False",,"False",,"False","False","0","2EA_B","False","0;0;0;0","0;0;0;0|0;0;0;0","False",,"0;0;0;0","0;0;0;0","216.267","","",,,"False","","False","False","False",,,"False","","False","","12","2EA_B","EB MT1","8","6001","False",,"False","False",,,"0",,,"False","False","False","False","False",,
"100151","100002","2W-SIGNAL","L","660","115","975","225","100146","100116","0","0","0","0","5","6;1;100002;0005","6;1;100002;0005|0;1;100002;0005","0;1;100002;0005","0;1;100002;0005|0;1;100002;0005","0;1;100002;0005","0;1;100002;0005|0;1;100002;0005","CTC","100","2","False","True","True","True","False","INTIMEBIT","11;1;100002","False","NULL","0;0;0","0;0;0","0;0;0","0;0;0","False","0;0;0;0","0","NULL","0;0;0;0","False","False","1","3","False","False","False","False","||||||||||||||||||||","0;1;100002;0005","NONE","False","0","False",,"False",,"False","False","0","2WA_B","False","0;0;0;0","0;0;0;0|0;0;0;0","False",,"0;0;0;0","0;0;0;0","216.5195","","",,,"False","","False","False","False",,,"False","","False","","24","2WA_B","WB MT","13","6003","False",,"False","False",,,"0",,,"False","False","False","False","False",,
"100164","100005","4W-SIGNAL","L","1275","165","1085","245","100160","100884","0","0","0","0","5","23;1;100005;0005","23;1;100005;0005|0;1;100005;0005","0;1;100005;0005","0;1;100005;0005|0;1;100005;0005","0;1;100005;0005","0;1;100005;0005|0;1;100005;0005","CTC","100","2","False","True","True","True","False","INTIMEBIT","12;1;100005","False","NULL","0;0;0","0;0;0","0;0;0","0;0;0","False","0;0;0;0","0","NULL","0;0;0;0","False","True","1","4","False","False","False","False","0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0","0;1;100005;0005","NONE","False","3","False",,"False",,"False","False","0","4WA","False","0;0;0;0","0;0;0;0|0;0;0;0","False",,"0;0;0;0","0;0;0;0","221.6284","","",,,"False","","False","False","False",,,"False","","False","","113","4WA","WB MT2","19","7007","False",,"False","False",,,"0",,,"False","False","False","False","False",,
"100165","100005","4W-SIGNAL","L","1275","205","1085","285","100162","100178","0","0","0","0","5","23;1;100005;0005","23;1;100005;0005|0;1;100005;0005","0;1;100005;0005","0;1;100005;0005|0;1;100005;0005","0;1;100005;0005","0;1;100005;0005|0;1;100005;0005","CTC","100","2","False","True","True","True","False","INTIMEBIT","12;1;100005","False","NULL","0;0;0","0;0;0","0;0;0","0;0;0","False","0;0;0;0","0","NULL","0;0;0;0","False","True","1","4","False","False","False","False","0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0","0;1;100005;0005","NONE","False","3","False",,"False",,"False","False","0","4WC","False","0;0;0;0","0;0;0;0|0;0;0;0","False",,"0;0;0;0","0;0;0;0","221.6289","","",,,"False","","False","False","False",,,"False","","False","","133","4WC","WB Slide","24","21000","False",,"False","False",,,"0",,,"False","False","False","False","False",,
"100167","100002","4E-SIGNAL","R","445","185","760","285","100338","100154","0","0","0","0","5","7;1;100002;0005","7;1;100002;0005|0;1;100002;0005","0;1;100002;0005","0;1;100002;0005|0;1;100002;0005","0;1;100002;0005","0;1;100002;0005|0;1;100002;0005","CTC","100","2","False","True","True","True","False","INTIMEBIT","12;1;100002","False","NULL","0;0;0","0;0;0","0;0;0","0;0;0","False","0;0;0;0","0","NULL","0;0;0;0","False","False","1","4","False","False","False","False","||||||||||||||||||||","0;1;100002;0005","NONE","False","0","False",,"False",,"False","False","0","4EA_B","False","0;0;0;0","0;0;0;0|0;0;0;0","False",,"0;0;0;0","0;0;0;0","216.2579","","",,,"False","","False","False","False",,,"False","","False","","14","4EA_B","EB MT2","18","7002","False",,"False","False",,,"0",,,"False","False","False","False","False",,
"100170","100002","4W-SIGNAL","L","660","165","975","265","100161","100172","0","0","0","0","5","8;1;100002;0005","8;1;100002;0005|0;1;100002;0005","0;1;100002;0005","0;1;100002;0005|0;1;100002;0005","0;1;100002;0005","0;1;100002;0005|0;1;100002;0005","CTC","100","2","False","True","True","True","False","INTIMEBIT","12;1;100002","False","NULL","0;0;0","0;0;0","0;0;0","0;0;0","False","0;0;0;0","0","NULL","0;0;0;0","False","False","1","4","False","False","False","False","||||||||||||||||||||","0;1;100002;0005","NONE","False","0","False",,"False",,"False","False","0","4WA_B","False","0;0;0;0","0;0;0;0|0;0;0;0","False",,"0;0;0;0","0;0;0;0","216.5195","","",,,"False","","False","False","False",,,"False","","False","","23","4WA_B","WB Spur","23","7004","False",,"False","False",,,"0",,,"False","False","False","False","False",,
"100171","100006","4E-SIGNAL","R","1405","225","1175","305","100722","100662","0","0","0","0","5","21;1;100006;0005","21;1;100006;0005|0;1;100006;0005","0;1;100006;0005","0;1;100006;0005|0;1;100006;0005","0;1;100006;0005","0;1;100006;0005|0;1;100006;0005","CTC","100","2","False","True","True","True","False","INTIMEBIT","12;1;100006","False","NULL","0;0;0","0;0;0","0;0;0","0;0;0","False","0;0;0;0","0","NULL","0;0;0;0","False","True","1","5","False","False","False","False","0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0","0;1;100006;0005","NONE","False","3","False",,"False",,"False","False","0","EB","False","0;0;0;0","0;0;0;0|0;0;0;0","False",,"0;0;0;0","0;0;0;0","222.4704","","",,,"False","","False","False","False",,,"False","","False","","54","EB ","EB East Lead","24","1002","False",,"False","False",,,"0",,,"False","False","False","False","False",,
"100184","100025","E-SIGNAL","R","1025","695","765","805","100411","100180","0","0","0","0","5","5;1;100025;0005","5;1;100025;0005|0;1;100025;0005","0;1;100025;0005","0;1;100025;0005|0;1;100025;0005","0;1;100025;0005","0;1;100025;0005|0;1;100025;0005","CTC","100","2","False","True","True","True","False","INTIMEBIT","11;1;100025","False","NULL","0;0;0","0;0;0","0;0;0","0;0;0","False","0;0;0;0","0","NULL","0;0;0;0","False","False","1","13","False","False","False","False","||||||||||||||||||||","0;1;100025;0005","NONE","False","0","False",,"False",,"False","False","0","EA_B","False","0;0;0;0","0;0;0;0|0;0;0;0","False",,"0;0;0;0","0;0;0;0","247.7724","","",,,"False","","False","False","False",,,"False","","False","","11","EA_B","EB MT","2","5019","False",,"False","False",,,"0",,,"False","False","False","False","False",,
"100185","100025","W-SIGNAL","L","1125","675","865","785","100181","100870","0","0","0","0","5","6;1;100025;0005","6;1;100025;0005|0;1;100025;0005","0;1;100025;0005","0;1;100025;0005|0;1;100025;0005","0;1;100025;0005","0;1;100025;0005|0;1;100025;0005","CTC","100","2","False","True","True","True","False","INTIMEBIT","11;1;100025","False","NULL","0;0;0","0;0;0","0;0;0","0;0;0","False","0;0;0;0","0","NULL","0;0;0;0","False","False","1","13","False","False","False","False","||||||||||||||||||||","0;1;100025;0005","NONE","False","0","False",,"False",,"False","False","0","WA","False","0;0;0;0","0;0;0;0|0;0;0;0","False",,"0;0;0;0","0;0;0;0","247.9024","","",,,"False","","False","False","False",,,"False","","False","","29","WA","WB MT2","7","7019","False",,"False","False",,,"0",,,"False","False","False","False","False",,
"100186","100025","W-SIGNAL","L","1125","635","865","745","100183","100869","0","0","0","0","5","6;1;100025;0005","6;1;100025;0005|0;1;100025;0005","0;1;100025;0005","0;1;100025;0005|0;1;100025;0005","0;1;100025;0005","0;1;100025;0005|0;1;100025;0005","CTC","100","2","False","True","True","True","False","INTIMEBIT","11;1;100025","False","NULL","0;0;0","0;0;0","0;0;0","0;0;0","False","0;0;0;0","0","NULL","0;0;0;0","False","False","1","12","False","False","False","False","||||||||||||||||||||","0;1;100025;0005","NONE","False","0","False",,"False",,"False","False","0","WC","False","0;0;0;0","0;0;0;0|0;0;0;0","False",,"0;0;0;0","0;0;0;0","247.9024","","",,,"False","","False","False","False",,,"False","","False","","10","WC","WB MT1","12","6021","False",,"False","False",,,"0",,,"False","False","False","False","False",,
"100214","100009","77-SIGNAL","R","1770","135","440","475","100879","100875","0","0","0","0","5","5;1;100009;0005","5;1;100009;0005|0;1;100009;0005","0;1;100009;0005","0;1;100009;0005|0;1;100009;0005","0;1;100009;0005","0;1;100009;0005|0;1;100009;0005","CTC","100","2","False","True","True","True","False","INTIMEBIT","10;1;100009","False","NULL","0;0;0","0;0;0","0;0;0","0;0;0","False","0;0;0;0","0","NULL","0;0;0;0","False","True","1","3","False","False","False","True","0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0","0;1;100009;0005","NONE","False","3","False",,"False",,"False","False","0","EBA_B","False","0;0;0;0","0;0;0;0|0;0;0;0","False",,"0;0;0;0","0;0;0;0","225.1763","","",,,"False","","False","False","False",,,"False","","False","","87","EBA_B","EB MT1","2","6010","False",,"False","False",,,"0",,,"False","False","False","False","False",,
"100221","100009","78-SIGNAL","L","1880","165","540","495","100878","100873","0","0","0","0","5","7;1;100009;0005","7;1;100009;0005|0;1;100009;0005","0;1;100009;0005","0;1;100009;0005|0;1;100009;0005","0;1;100009;0005","0;1;100009;0005|0;1;100009;0005","CTC","100","2","False","True","True","True","False","INTIMEBIT","10;1;100009","False","NULL","0;0;0","0;0;0","0;0;0","0;0;0","False","0;0;0;0","0","NULL","0;0;0;0","False","True","1","4","False","False","False","True","0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0","0;1;100009;0005","NONE","False","3","False",,"False",,"False","False","0","WA_B","False","0;0;0;0","0;0;0;0|0;0;0;0","False",,"0;0;0;0","0;0;0;0","225.2886","","",,,"False","","False","False","False",,,"False","","False","","50","WA_B","WB MT","12","5005","False",,"False","False",,,"0",,,"False","False","False","False","False",,
"100250","100012","4-SIGNAL","R","85","435","700","525","100873","100246","0","0","0","0","5","7;1;100012;0005","4;1;100012;0005|0;1;100012;0005","0;1;100012;0005","0;1;100012;0005|0;1;100012;0005","0;1;100012;0005","5;1;100012;0005|0;1;100012;0005","CTC","100","2","False","True","True","True","False","OPPOSING","5;1;100012","False","NULL","0;0;0","0;0;0","0;0;0","0;0;0","False","0;0;0;0","0","NULL","0;0;0;0","False","True","1","8","False","False","False","True","0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0","0;1;100012;0005","NONE","False","3","False",,"False",,"False","False","0","EA_B","False","0;0;0;0","0;0;0;0|0;0;0;0","False",,"0;0;0;0","0;0;0;0","225.9512","","",,,"False","","False","False","False",,,"False","","False","","51","EA_B","EB MT","2","5005","False",,"False","False",,,"0",,,"False","False","False","False","False",,
