"UID","ControlPoint","Name","Type","LX","LY","RX","RY","LeftLink","RightLink","LeftAltLink","RightAltLink","AltLinkOne","AltLinkTwo","Codeline","PIND","PCTL","SIND","SCTL","TIND","TCTL","LeftLimitRange","RightLimitRange","LeftLimitMPRange","RightLimitMPRange","AuthorityType","TrkName","LeftLimitName","RightLimitName","TerritoryAssignment","Subdivision","SlottingTK","TrackLength","DeviceBlocking","FieldBlocking","FoulTime","TrackPermit","TrackTime","Traffic","FBZ","FBK","TimeZone","TrackLock","TrackLockBit","TrackUID","OSReporting","GraphicGroup","ScreenRegion","LossOfShunt","FBZ2","FBK2","ReleaseTrainIDTrack","DisallowTNTOnSplit","BlueFlag","OCS","TrackSpeeds","PassRedSignalAlertOff","Notes","SlotFieldTraffic","PTCBlockID","RefuseOpposingAuthoritiesFromLeft","RefuseOpposingAuthoritiesFromRight","AllowOpposingAuthorityCreationToLeft","AllowOpposingAuthorityCreationToRight","HoldingSignalSlottingTrack","HoldingSignalOSLeftBoundReporting","HoldingSignalOSRightBoundReporting","OverrideLeftTrafficCheck","OverrideRightTrafficCheck","TrackBlockingReferences","MatchMode","MilePostSuffix","TurnOutTrack","AltLinkThree","AltLinkFour","HAZMATAlarming","FoulingTrackSPMS","RouteName","RouteBlocking","TrackIntegrityZone","TrackIntegrityZoneUID","TrackIntegrityZoneName","TIZMonitorModeTimeOut","AuthorityConfirmationRequired","AlternateTrackNames","AlternateTrackAbbreviation","AllowMainTrackEntrance","MainTrackEntrancePoints","AllowForceOperationsToTWC","EnableAbsolutePermissiveBlock","AbsolutePermissiveBlockPTCUID","LineSegmentGroupUID","DerailmentDetectorEnabled","DerailmentDetectorIndBit","DerailmentDetectorCtlBit","DerailmentDetectorInhibited","MilepostPrefix","AdditionalReferenceUID","EnablePositionReporting","TrackNameAlias","EnableNonControlledSiding","EnableControlledSiding","DisallowLeftSignalRequestOnOccupancy","DisallowRightSignalRequestOnOccupancy","TrackSpeedAverage","TrackSpeedMaximum","TrackElevationAverage","TrackElevationMaximum","TrackElevationAscending","TrackSpeedMaximumFreight","TrackSpeedMaximumPassengar","QIND","QCTL","PTCTrackType","JointControl","TMPSEnabled","TMPSCircuitName","TMPSLinkLeft","TMPSLinkRight","TMPSLinkAlt1","TMPSLinkAlt2","TMPSLinkAlt3","TMPSLinkAlt4","LatitudeLeft","LongitudeLeft","LatitudeRight","LongitudeRight","ForceIgnoreTrainDirectionChange","SuppressAuthorityRelease","TrackWarrantEnforcementEnabled","RailroadUniqueIdentifierName","DisallowBulletin","DisallowEntryExitSelection","LocationName1","LocationValue1","LocationName2","LocationValue2","ExcludeFromPTCSegments","DisallowTrainTypes","LeftDarkAreaFlag","LeftDarkShelfTrack","RightDarkAreaFlag","RightDarkShelfTrack","ManualInterlocking","EATCEnable"
"100115","100002","1TK","T","445","125","480","125","100148","100149","0","0","0","0","5","9;1;100002;0005","0;1;100002;0005","0;1;100002;0005","0;1;100002;0005","0;1;100002;0005","0;1;100002;0005","0","0","216.267","216.2774","CTC","MT1","WEST LIMITS CP DON","EAST LIMITS CP DON","100","2","True","0","True","False","True","False","True","True","0;0;0;0|","0;0;0;0","PACIFIC","False","0;0;0;0","0","True","1","3","10","0;0;0;0|","0;0;0;0","False","False","False","False","40|30|20|10","False","NONE","False","0","False","False","False","False","False","False","False","False","False","","False","","False","0","0","False","False","ROUTE NAME","False","False","0","","450","False","","","False","","False","False","0","","False","0;0;0;0","0;0;0;0",,"",,"False","MT1","False","False","False","False","0","0","0","0","False","0","0","0;0;0;0","0;1;100002;0005","NONE","False","False","","0","0","0","0","0","0","0","0","0","0","False","False","False","","False","False","","","","","False","","False",,"False",,"False","False"
"100116","100003","EAK","T+","660","125","765","125","100151","100142","0","0","0","0","5","4;1;100003;0005","0;1;100003;0005","14;1;100002;0005","0;1;100003;0005","0;1;100003;0005","0;1;100003;0005","0","0","216.5195","218.1299","CTC","MAIN","CP DON","CP PULGAS","100","2","False","0","True","False","True","False","True","True","0;0;0;0|","0;0;0;0","PACIFIC","False","0;0;0;0","0","False","1","3","0","0;0;0;0|","0;0;0;0","False","False","False","False","40|30|20|10","False","NONE","False","0","False","False","False","False","False","False","False","False","False","","False","","False","0","0","False","False","ROUTE NAME","False","False","0","","450","False","","","False","","False","False","0","","False","0;0;0;0","0;0;0;0",,"",,"False","MAIN","False","False","False","False","0","0","0","0","False","0","0","","0;1;100003;0005","NONE","False","False","","0","0","0","0","0","0","0","0","0","0","False","False","False","","False","False","","","","","False","","False",,"False",,"False","False"
"100117","100001","TK","T","85","175","120","175","100121","100124","0","0","0","0","5","2;1;100001;0005","0;1;100001;0005","0;1;100001;0005","0;1;100001;0005","0;1;100001;0005","0;1;100001;0005","0","0","209.1186","209.1286","CTC","MAIN","WEST LIMITS CP SONGS","EAST LIMITS CP SONGS","100","2","True","0","True","False","True","False","True","True","0;0;0;0|","0;0;0;0","PACIFIC","False","0;0;0;0","0","True","1","4","10","0;0;0;0|","0;0;0;0","False","False","False","False","40|30|20|10","False","NONE","False","0","False","False","False","False","False","False","False","False","False","","False","","False","0","0","False","False","ROUTE NAME","False","False","0","","450","False","","","False","","False","False","0","","False","0;0;0;0","0;0;0;0",,"",,"False","MAIN","False","False","False","False","0","0","0","0","False","0","0","","0;1;100001;0005","NONE","False","False","","0","0","0","0","0","0","0","0","0","0","False","False","False","","False","False","","","","","False","","False",,"False",,"False","False"
"100118","100001","TK","T","120","175","185","175","100124","100122","0","0","0","0","5","2;1;100001;0005","0;1;100001;0005","0;1;100001;0005","0;1;100001;0005","0;1;100002;0005","0;1;100001;0005","0","0","209.1286","209.219","CTC","MAIN","WEST LIMITS CP SONGS","EAST LIMITS CP SONGS","100","2","True","0","True","False","True","False","True","True","0;0;0;0|","0;0;0;0","PACIFIC","False","0;0;0;0","0","True","1","4","10","0;0;0;0|","0;0;0;0","False","False","False","False","40|30|20|10","False","NONE","False","0","False","False","False","False","False","False","False","False","False","","False","","False","0","0","False","False","ROUTE NAME","False","False","0","","450","False","","","False","","False","False","0","","False","0;0;0;0","0;0;0;0",,"",,"False","MAIN","False","False","False","False","0","0","0","0","False","0","0","","0;1;100001;0005","NONE","False","False","","0","0","0","0","0","0","0","0","0","0","False","False","False","","False","False","","","","","False","","False",,"False",,"False","False"
"100119","100001","TK","T","120","175","170","125","100124","100120","0","0","0","0","5","2;1;100001;0005","0;1;100001;0005","0;1;100001;0005","0;1;100001;0005","0;1;100001;0005","0;1;100001;0005","0","0","209.1286","209.2","CTC","MAIN","WEST LIMITS CP SONGS","EAST LIMITS CP SONGS","100","2","True","0","True","False","True","False","True","True","0;0;0;0|","0;0;0;0","PACIFIC","False","0;0;0;0","0","True","1","4","10","0;0;0;0|","0;0;0;0","False","False","False","False","40|30|20|10","False","NONE","False","0","False","False","False","False","False","False","False","False","False","","False","","True","0","0","False","False","ROUTE NAME","False","False","0","","450","False","","","False","","False","False","0","","False","0;0;0;0","0;0;0;0",,"",,"False","TO","False","False","False","False","0","0","0","0","False","0","0","","0;1;100001;0005","NONE","False","False","","0","0","0","0","0","0","0","0","0","0","False","False","False","","False","False","","","","","False","","False",,"False",,"False","False"
"100120","100001","TK","T","170","125","195","125","100119","100123","0","0","0","0","5","2;1;100001;0005","0;1;100001;0005","0;1;100001;0005","0;1;100001;0005","0;1;100003;0005","0;1;100001;0005","0","0","209.2","209.219","CTC","MAIN","WEST LIMITS CP SONGS","EAST LIMITS CP SONGS","100","2","True","0","True","False","True","False","True","True","0;0;0;0|","0;0;0;0","PACIFIC","False","0;0;0;0","0","True","1","3","10","0;0;0;0|","0;0;0;0","False","False","False","False","40|30|20|10","False","NONE","False","0","False","False","False","False","False","False","False","False","False","","False","","True","0","0","False","False","ROUTE NAME","False","False","0","","450","False","","","False","","False","False","0","","False","0;0;0;0","0;0;0;0",,"",,"False","TO","False","False","False","False","0","0","0","0","False","0","0","","0;1;100001;0005","NONE","False","False","","0","0","0","0","0","0","0","0","0","0","False","False","False","","False","False","","","","","False","","False",,"False",,"False","False"
"100125","100001","WAAK","T","185","175","315","175","100122","100338","0","0","0","0","5","6;1;100001;0005","0;1;100001;0005","0;1;100001;0005","0;1;100001;0005","0;1;100003;0005","0;1;100001;0005","0","0","209.219","213","CTC","MT2","CP SONGS","CP DON","100","2","False","0","True","False","True","False","True","True","0;0;0;0|","0;0;0;0","PACIFIC","False","0;0;0;0","0","False","1","4","0","0;0;0;0|","0;0;0;0","False","False","False","False","40|30|20|10","False","NONE","False","0","False","False","False","False","False","False","False","False","False","","False","","False","0","0","False","False","ROUTE NAME","False","False","0","","450","False","","","True","100238|","False","False","0","","False","0;0;0;0","0;0;0;0",,"",,"False","MT2","False","False","False","False","0","0","0","0","False","0","0","","0;1;100001;0005","NONE","False","False","","0","0","0","0","0","0","0","0","0","0","False","False","False","","False","False","","","","","False","","False",,"False",,"False","False"
"100126","100001","WBAK","T","195","125","315","125","100123","100339","0","0","0","0","5","14;1;100001;0005","0;1;100001;0005","0;1;100001;0005","0;1;100001;0005","0;1;100001;0005","0;1;100001;0005","0","0","209.219","213","CTC","MT1","CP SONGS","CP DON","100","2","False","0","True","False","True","False","True","True","0;0;0;0|","0;0;0;0","PACIFIC","False","0;0;0;0","0","False","1","3","0","0;0;0;0|","0;0;0;0","False","False","False","False","40|30|20|10","False","NONE","False","0","False","False","False","False","False","False","False","False","False","","False","","False","0","0","False","False","ROUTE NAME","False","False","0","","450","False","","","False","","False","False","0","","False","0;0;0;0","0;0;0;0",,"",,"False","MT1","False","False","False","False","0","0","0","0","False","0","0","","0;1;100001;0005","NONE","False","False","","0","0","0","0","0","0","0","0","0","0","False","False","False","","False","False","","","","","False","","False",,"False",,"False","False"
"100127","100002","1TK","T","480","125","505","150","100149","100157","0","0","0","0","5","9;1;100002;0005","0;1;100002;0005","0;1;100002;0005","0;1;100002;0005","0;1;100002;0005","0;1;100002;0005","0","0","216.2774","216.2999","CTC","MT1","WEST LIMITS CP DON","EAST LIMITS CP DON","100","2","True","0","True","False","True","False","True","True","0;0;0;0|","0;0;0;0","PACIFIC","False","0;0;0;0","0","True","1","3","10","0;0;0;0|","0;0;0;0","False","False","False","False","40|30|20|10","False","NONE","False","0","False","False","False","False","False","False","False","False","False","","False","","True","0","0","False","False","ROUTE NAME","False","False","0","","450","False","","","False","","False","False","0","","False","0;0;0;0","0;0;0;0",,"",,"False","XO","False","False","False","False","0","0","0","0","False","0","0","0;0;0;0","0;1;100002;0005","NONE","False","False","","0","0","0","0","0","0","0","0","0","0","False","False","False","","False","False","","","","","False","","False",,"False",,"False","False"
"100136","100002","1TK","T","480","125","625","125","100149","100150","0","0","0","0","5","9;1;100002;0005","0;1;100002;0005","0;1;100002;0005","0;1;100002;0005","0;1;100002;0005","0;1;100002;0005","0","0","216.2774","216.5097","CTC","MT1","WEST LIMITS CP DON","EAST LIMITS CP DON","100","2","True","0","True","False","True","False","True","True","0;0;0;0|","0;0;0;0","PACIFIC","False","0;0;0;0","0","True","1","3","10","0;0;0;0|","0;0;0;0","False","False","False","False","40|30|20|10","False","NONE","False","0","False","False","False","False","False","False","False","False","False","","False","","False","0","0","False","False","ROUTE NAME","False","False","0","","450","False","","","False","","False","False","0","","False","0;0;0;0","0;0;0;0",,"",,"False","MT1","False","False","False","False","0","0","0","0","False","0","0","0;0;0;0","0;1;100002;0005","NONE","False","False","","0","0","0","0","0","0","0","0","0","0","False","False","False","","False","False","","","","","False","","False",,"False",,"False","False"
