"SystemUID","RouteGUID","EntrySignal","ExitSignal","SwitchList","TerrUID","CPUID","Priority","IsEnabled"
"01450EB5FA","008@100","100170","100167","100169;3-SWITCH;FALSE|100168;1-SWITCH;FALSE","100","100002","1","True"
"028E1DACBD","237@200","200217","200223","200222;6-SWITCH;TRUE","200","200007","1","True"
"0344A68A83","225@200","200130","200152","200535;3-SWITCH;TRUE|200131;1-SWITCH;FALSE","200","200002","1","True"
"034AF1B379","123@100","100440","100441","100443;11-SWITCH;FALSE|100459;12-SWITCH;FALSE","100","100027","1","True"
"03757FAD3E","179@100","100754","100768","100902;1-SWITCH;TRUE|100901;1-SWITCH;TRUE|100767;3-SWITCH;FALSE","100","100017","2","True"
"03EB65FF63","081@100","100882","100913","100674;3-SWITCH;TRUE|100675;3-SWITCH;TRUE|100665;1-SWITCH;FALSE","100","100006","2","True"
"03F8CC72FA","172@100","100661","100165","100679;1-SWITCH;FALSE|100166;3-SWITCH;TRUE","100","100005","2","True"
"03FA54BBED","160@100","100340","100414","100341;1-SWITCH;TRUE|100412;1-SWITCH;TRUE|100413;3-SWITCH;FALSE","100","100007","2","True"
"045A50ACBD","054@100","100164","100689","100166;3-SWITCH;FALSE|100679;1-SWITCH;TRUE|100684;1-SWITCH;TRUE","100","100005","2","True"
"05B3CA17D3","019@100","100313","100306","100312;2-SWITCH;FALSE","100","100016","1","True"
"0612E32B79","207@200","200476","200413","","200","200026","1","True"
"06756AF23A","016@100","100288","100257","100779;1-SWITCH;FALSE|100773;5-SWITCH;FALSE|100732;7-SWITCH;FALSE|100275;3-SWITCH;FALSE","100","100013","1","True"
"07AC2C95DC","061@100","100288","100258","100779;1-SWITCH;FALSE|100773;5-SWITCH;FALSE|100732;7-SWITCH;FALSE|100275;3-SWITCH;TRUE|100286;3-SWITCH;TRUE","100","100013","3","True"
"081021EEC4","129@100","100625","100627","100623;1-SWITCH;FALSE","100","100035","1","True"
"08DA64FCFD","030@100","100544","100692","100533;20-SWITCH;TRUE|100519;9-SWITCH;FALSE|100518;8-SWITCH;FALSE","100","100033","1","True"
"096330B5CE","088@100","100277","100258","100756;5-SWITCH;FALSE|100735;7-SWITCH;TRUE|100732;7-SWITCH;TRUE|100275;3-SWITCH;TRUE|100286;3-SWITCH;TRUE","100","100013","3","True"
"0A967B9C16","226@200","200141","200144","200142;1-SWITCH;FALSE","200","200002","1","True"
"0AD3679CA4","211@200","200223","200172","200222;6-SWITCH;TRUE","200","200007","2","True"
"0AE0280573","203@200","200393","200391","200383;17-SWITCH;FALSE","200","200025","1","True"
"0C28A3B85B","223@200","200112","200119","200118;1-SWITCH;TRUE","200","200000","1","True"
"0C3A4271C0","187@100","100258","100264","100286;3-SWITCH;TRUE|100275;3-SWITCH;TRUE|100732;7-SWITCH;FALSE|100773;5-SWITCH;FALSE|100779;1-SWITCH;TRUE|100782;1-SWITCH;TRUE","100","100013","4","True"
"0CFBA268AA","025@100","100414","100409","100413;3-SWITCH;FALSE|100412;1-SWITCH;FALSE","100","100007","1","True"
"0EC9E7042A","200@100","100258","100264","100286;3-SWITCH;TRUE|100275;3-SWITCH;TRUE|100732;7-SWITCH;TRUE|100735;7-SWITCH;TRUE|100756;5-SWITCH;TRUE|100773;5-SWITCH;TRUE|100779;1-SWITCH;TRUE|100782;1-SWITCH;TRUE","100","100013","6","True"
"0EDC915C31","090@100","100300","100433","100295;3-SWITCH;TRUE|100285;3-SWITCH;TRUE|100282;1-SWITCH;TRUE|100276;1-SWITCH;TRUE","100","100004","3","True"
"0EE86AE395","252@200","200391","200393","200383;17-SWITCH;FALSE","200","200019","1","True"
