"UID","ControlPoint","Name","Type","LX","LY","RX","RY","LeftLink","RightLink","LeftAltLink","RightAltLink","AltLinkOne","AltLinkTwo","TerritoryAssignment","Subdivision","GraphicGroup","ScreenRegion","LocIndex","OrderIndex","MilePost","MilePostSuffix","MileageNext","SidingLen","TypeOp","TrackType","Spare01","Spare02","Spare03","Spare04","MilePostChangeEvent","Spare06","Notes","MilepostPrefix","AdditionalReferenceUID","DispatchablePoint","StationSign","StationSignType","ReportingUID","EntryReportingLeftBoundTracks","EntryReportingRightBoundTracks","ExitReportingLeftBoundTracks","ExitReportingRightBoundTracks","StandardPointLocationCode"
"100303","100004","CUDAHY","SSTN","630","790","845","790","0","0","0","0","0","0","100","2","1","15","250","250","262.25","","","","CTC","MT",,,,,"False",,"","",,,,,"","","","","",""
"100364","100008","CP BROADWAY","SSTN","1625","780","1580","780","0","0","0","0","0","0","100","2","0","15","300","300","267.70","","","","CTC","MT",,,,,"False",,"","",,,,,"","","","","",""
"100417","0","ROSE","SSTN","105","800","210","800","0","0","0","0","0","0","100","2","1","15","230","230","256.15","","","","CTC","MT",,,,,"False",,"","",,,,,"","","","","",""
"100550","100009","EAST BROOK","SSTN","1795","35","360","35","0","0","0","0","0","0","100","2","1","1","60","60","225.23","","","","CTC","MT",,,,,"False",,"","",,,,,"","","","","",""
"100551","100002","DON","SSTN","535","65","580","65","0","0","0","0","0","0","100","2","1","2","20","20","216.38","","","","CTC","MT",,,,,"False",,"","",,,,,"","","","","",""
"100552","100003","PULGAS","SSTN","810","35","810","35","0","0","0","0","0","0","100","2","1","1","30","30","218.09","","","","CTC","MT",,,,,"False",,"","",,,,,"","","","","",""
"100553","100005","STUART","SSTN","1140","35","1085","35","0","0","0","0","0","0","100","2","1","1","40","40","221.49","","","","CTC","MT",,,,,"False",,"","",,,,,"","","","","",""
"100554","100006","MESA","SSTN","1515","35","1215","35","0","0","0","0","0","0","100","2","1","1","50","50","222.55","","","","CTC","MT",,,,,"False",,"","",,,,,"","","","","",""
"100557","100001","SONGS","SSTN","125","65","225","65","0","0","0","0","0","0","100","2","1","2","10","10","209.16","","","","CTC","MT",,,,,"False",,"","",,,,,"","","","","",""
"100558","100012","SHELL","SSTN","115","315","560","315","0","0","0","0","0","0","100","2","1","6","70","70","225.98","","","","CTC","MT",,,,,"False",,"","",,,,,"","","","","",""
"100559","100013","ESCONDIDO JCT","SSTN","585","280","800","280","0","0","0","0","0","0","100","2","1","6","80","80","226.86","","","","CTC","MT",,,,,"False",,"","",,,,,"","","","","",""
"100560","100016","LONGBOARD","SSTN","930","285","1045","285","0","0","0","0","0","0","100","2","1","6","90","90","228.37","","","","CTC","MT",,,,,"False",,"","",,,,,"","","","","",""
"100561","100017","FARR","SSTN","1380","285","1235","285","0","0","0","0","0","0","100","2","1","6","110","110","231.61","","","","CTC","MT",,,,,"False",,"","",,,,,"","","","","",""
"100562","100018","PONTO","SSTN","1680","285","1495","285","0","0","0","0","0","0","100","2","1","6","120","120","234.44","","","","CTC","MT",,,,,"False",,"","",,,,,"","","","","",""
"100563","100019","SWAMI","SSTN","50","565","145","565","0","0","0","0","0","0","100","2","1","11","130","130","238.04","","","","CTC","MT",,,,,"False",,"","",,,,,"","","","","",""
"100564","100020","CARDIFF","SSTN","265","565","385","565","0","0","0","0","0","0","100","2","1","11","140","140","239.47","","","","CTC","MT",,,,,"False",,"","",,,,,"","","","","",""
"100566","100022","VALLEY","SSTN","535","565","715","565","0","0","0","0","0","0","100","2","1","11","160","160","242.18","","","","CTC","MT",,,,,"False",,"","",,,,,"","","","","",""
"100567","100023","CROSBY","SSTN","670","555","840","555","0","0","0","0","0","0","100","2","1","11","170","170","243.36","","","","CTC","MT",,,,,"False",,"","",,,,,"","","","","",""
"100568","100024","DEL MAR","SSTN","865","555","1085","555","0","0","0","0","0","0","100","2","1","11","180","180","243.92","","","","CTC","MT",,,,,"False",,"","",,,,,"","","","","",""
"100569","100025","TORREY","SSTN","1040","550","1280","550","0","0","0","0","0","0","100","2","1","11","190","190","247.83","","","","CTC","MT",,,,,"False",,"","",,,,,"","","","","",""
"100571","100027","MIRAMAR","SSTN","1735","530","170","530","0","0","0","0","0","0","100","2","1","10","220","220","252.97","","","","CTC","MT",,,,,"False",,"","",,,,,"","","","","",""
"100573","100029","MORENA","SSTN","415","805","540","805","0","0","0","0","0","0","100","2","1","15","240","240","260.64","","","","CTC","MT",,,,,"False",,"","",,,,,"","","","","",""
"100576","100033","ASH","SSTN","1205","805","1210","805","0","0","0","0","0","0","100","2","1","15","290","290","267.30","","","","CTC","MT",,,,,"False",,"","",,,,,"","","","","",""
"100709","100035","CONVAIR","SSTN","935","805","1175","805","0","0","0","0","0","0","100","2","1","15","280","280","265.19","","","","CTC","MT",,,,,"False",,"","",,,,,"","","","","",""
"100777","100000","CARL","SSTN","1095","285","1160","285","0","0","0","0","0","0","100","2","1","6","100","100","229.47","","","","TWC","MT",,,,,"False",,"","",,,,,"","","","","",""
