"WrkStnName","IpAddress","Type","TerritoryAssignments","ViewAssignments","WorkStationNumber","DefaultStartupViews","ZoneAssignments","DefaultStartupZones","UID","Description","TimeZone","DispatcherViewAssignments","DefaultStartupDispatcherViews","AuthorityNumberEvent","CurrentAuthorityNumber","AuthorityNumberRange","AuthorityNumberFactor","PublishScreenShotView","ConsoleAssignments","AllowInstantMessaging","AllowMovementPlanning","DefaultStartupDisplayViews","CurrentTTNumber","TTNumberRange","TTNumberFactor","EnableAsViewOnly","EnableAsSmartMobile","EnableAsAdminClient","OfficeUID","DailyMethodExecuteTime","EnabledAsRemoteCCROCSubscriber"
"LO3001290","127.0.0.1","SYSTEMUSER","NOTHING;","NOTHING;","3001290",,,"NONE","06834EB6-266B-45D8-B6FA-71052A315992",,"PACIFIC",,,,,,,"True",,"True",,,,,,"False","True","False",,,
"LO3001106","127.0.0.1","SYSTEMUSER","NOTHING;","NOTHING;","3001139","NONE","NONE","NONE","085B6D3B-5AE7-4DFB-A3E1-A67856470BF5","SMC User","PACIFIC","NOTHING;","NOTHING;",,,,,"True","0","True","False","0",,"0","0","False","True","False",,,
"LO3001084","127.0.0.1","SYSTEMUSER","NOTHING;","NOTHING;","3001145","NONE","NONE","NONE","0AF1CDA7-E4B0-45FC-A3CB-A4EEB6B5A8BB","SMC User","PACIFIC","NOTHING;","NOTHING;",,,,,"True","0","True","False","0",,"0","0","False","True","False",,,
"LO3001291","127.0.0.1","SYSTEMUSER","NOTHING;","NOTHING;","3001291",,,"NONE","0ECBF160-44B4-465B-A610-B050DCA792E1","SYSTEMUSER","PACIFIC",,,,,,,"True",,"True",,,,,,"False","True","False",,,
"LO3001413","127.0.0.1","SYSTEMUSER","NOTHING;","NOTHING;","3001415","NONE","NONE","NONE","0F27337E-4E4B-416D-8895-24BEF62BF5C4","SMC User","PACIFIC","NOTHING;","NOTHING;",,,,,"True","0","True","False","0",,"0","0","False","True","False",,,
"LO3001300","127.0.0.1","SYSTEMUSER","NOTHING;","NOTHING;","30013000",,,"NONE","12DE07D5-2812-4D4C-A6FC-81608A1EE63D",,"PACIFIC",,,,,,,"True",,"True",,,,,,"False","True","False",,,
"LO3001294","127.0.0.1","SYSTEMUSER","NOTHING;","NOTHING;","30013009",,,"NONE","12ED45BA-4F51-4295-9232-A7CC98976BD2","SMC User","PACIFIC",,,,,,,"True",,"True",,,,,,"True","True","False",,,
"LO3001076","127.0.0.1","SYSTEMUSER","NOTHING;","NOTHING;","3001122","NONE","NONE","NONE","130FCFAB-752C-489C-9C03-12903173A5D3","SMC User","PACIFIC","NOTHING;","NOTHING;",,,,,"True","0","True","False","0",,"0","0","False","True","False",,,
"LO3001109","127.0.0.1","SYSTEMUSER","NOTHING;","NOTHING;","3001127","NONE","NONE","NONE","14D093A8-0BE0-4D3A-9D69-4F57B08FC4F3","SMC User","PACIFIC","NOTHING;","NOTHING;",,,,,"True","0","True","False","0",,"0","0","False","True","False",,,
"LO3001099","127.0.0.1","SYSTEMUSER","NOTHING;","NOTHING;","30013005","NONE","NONE","NONE","1C7CE684-CB61-4A12-B531-B62C8BD60A72","SMC User","PACIFIC","NOTHING;","NOTHING;",,,,,"True","0","True","False","0",,"0","0","False","True","False",,,
"LO3001112","127.0.0.1","SYSTEMUSER","NOTHING;","NOTHING;","3001128","NONE","NONE","NONE","1F7CCDA6-12A8-4879-9F1D-3FCCFF3194CA","SMC User","PACIFIC","NOTHING;","NOTHING;",,,,,"True","0","True","False","0",,"0","0","False","True","False",,,
"NCTC-PC","127.0.0.1","SYSTEMUSER","NOTHING;","NOTHING;","539","NONE","NONE","NONE","21AFE57E-189B-4309-B5F0-CEB54EC44685","TRACK RDM","PACIFIC","NOTHING;","NOTHING;",,,,,"True","0","True","False","0",,"0","0","False","True","False",,,
"LO3001118","127.0.0.1","SYSTEMUSER","NOTHING;","NOTHING;","3001421",,,"NONE","2469A692-6997-45B4-A997-E180DD5E9C2F","SMC User","PACIFIC",,,,,,,"False",,"True","False",,,,,"False","True","False",,,
"LC2003116","010.1.0.177","VIEWONLY","NOTHING;","NOTHING;","2003116",,,"NONE","25573AEA-A737-4D3E-9644-5E07E97BC3A5","Alade, Deji","PACIFIC",,,,,,,"True",,"True","True",,,,,"True","True","True","1",,
"LO3001096","127.0.0.1","SYSTEMUSER","NOTHING;","NOTHING;","3001146","NONE","NONE","NONE","27B214B3-F52B-4DD2-AB39-3784CAB0FAC2","SMC User","PACIFIC","NOTHING;","NOTHING;",,,,,"True","0","True","False","0",,"0","0","False","True","False",,,
"NCTD-PTC-BOS","127.0.0.1","SYSTEMUSER","NOTHING;","NOTHING;","552",,,"NONE","2EFC06A5-EDB0-4D59-967C-855043AFABD3","MIRVIN TEST VM","PACIFIC",,,,,,,"True",,"True",,,,,,"True","True","True",,,
"LO3001287","127.0.0.1","SYSTEMUSER","NOTHING;","NOTHING;","3001287",,,"NONE","3001287",,"PACIFIC",,,,,,,"True",,"True",,,,,,"False","True","False",,,
"LO3001288","127.0.0.1","SYSTEMUSER","NOTHING;","NOTHING;","3001288",,,"NONE","301ABBE6-B60E-43A1-8077-520EC99AEFAB",,"PACIFIC",,,,,,,"True",,"True",,,,,,"False","True","False",,,
"NCTCMINTERSR-PC","127.0.0.1","SYSTEMUSER","NOTHING;","NOTHING;","537","NONE","NONE","NONE","32FB5104-E651-429A-9FB0-994ABD62C923","DINO MINTER SR SMC","PACIFIC","NOTHING;","NOTHING;",,,,,"True","0","True","False","0",,"0","0","False","True","False",,,
"LO3001092","127.0.0.1","SYSTEMUSER","NOTHING;","NOTHING;","3001119","NONE","NONE","NONE","38B3AC65-47E5-460B-966D-8721EF7029BA","SMC User","PACIFIC","NOTHING;","NOTHING;",,,,,"True","0","True","False","0",,"0","0","False","True","False",,,
"LO3001097","127.0.0.1","SYSTEMUSER","NOTHING;","NOTHING;","3001141","NONE","NONE","NONE","38F59CA6-6E1A-49FE-8DA0-4AA357E06E5A","SMC User","PACIFIC","NOTHING;","NOTHING;",,,,,"True","0","True","False","0",,"0","0","False","True","False",,,
"NCTD-WEIBR-PC","127.0.0.1","SYSTEMUSER","NOTHING;","NOTHING;","30013011","NONE","NONE","NONE","3D639291-48CF-4922-A023-3016659CADA7","SYSTEMUSER","PACIFIC","NOTHING;","NOTHING;",,,,,"True","0","True","False","0",,"0","0","False","True","False",,,
"NCTD-WAGBERG-PC","127.0.0.1","SYSTEMUSER","NOTHING;","NOTHING;","30013012","NONE","NONE","NONE","3F5F84DE-1278-4D82-B484-513B1149FE54","SYSTEMUSER","PACIFIC","NOTHING;","NOTHING;",,,,,"True","0","True","False","0",,"0","0","False","True","False",,,
"NCTCRAMIREZ-PC","127.0.0.1","SYSTEMUSER","NOTHING;","NOTHING;","534","NONE","NONE","NONE","43A415E6-A1A2-4755-B167-57F4B0F4DADC","NCTC RAMIREZ","PACIFIC","NOTHING;","NOTHING;",,,,,"True","0","True","False","0",,"0","0","False","True","False",,,
"LO3001115","127.0.0.1","SYSTEMUSER","NOTHING;","NOTHING;","3001129","NONE","NONE","NONE","4B0A3892-B3C5-463E-A76A-3AA45428001B","SMC User","PACIFIC","NOTHING;","NOTHING;",,,,,"True","0","True","False","0",,"0","0","False","True","False",,,
