"database","schema","table","column","ordinal","data_type","is_nullable"
"tmdsDatabaseStatic","dbo","tblCodeLines","CodelineNumber","1","int","NO"
"tmdsDatabaseStatic","dbo","tblCodeLines","NormalCodeserverName","2","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeLines","StandbyCodeserverName","3","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeLines","CodeLineLimits","4","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeLines","AddressATCS","5","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeLines","PacketSwitchPIP","6","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeLines","PacketSwitchSIP","7","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeLines","PacketSwitchPPort","8","int","YES"
"tmdsDatabaseStatic","dbo","tblCodeLines","PacketSwitchSPort","9","int","YES"
"tmdsDatabaseStatic","dbo","tblCodeLines","CodeLineName","10","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeLines","LegacyType","11","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeLines","PacketSwitchPName","12","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeLines","PacketSwitchSName","13","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeLines","SetupParameterString","14","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeLines","WNCPrimary","15","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeLines","WNCSecondary","16","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeLines","WNCProtocol","17","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeLines","LinkLayerType","18","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeLines","LinkLayerProtocol","19","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeLines","LinkLayerUID","20","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeLines","SessionProtocol","21","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeLines","UseSecondaryPacketSwitch","22","bit","YES"
"tmdsDatabaseStatic","dbo","tblCodeLines","UseTimeOutPauseBetweenRecallsOnStartup","23","bit","YES"
"tmdsDatabaseStatic","dbo","tblCodeLines","SuppressConnection","24","bit","YES"
"tmdsDatabaseStatic","dbo","tblCodeLines","StaleTimer","25","int","YES"
