"database","schema","table","column","ordinal","data_type","is_nullable"
"tmdsDatabaseStatic","dbo","tblCodeBitAssignments","WordType","1","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeBitAssignments","CDLNNumber","2","int","YES"
"tmdsDatabaseStatic","dbo","tblCodeBitAssignments","CPNumber","3","int","YES"
"tmdsDatabaseStatic","dbo","tblCodeBitAssignments","CSNumber","4","int","YES"
"tmdsDatabaseStatic","dbo","tblCodeBitAssignments","BPAssignment","5","int","YES"
"tmdsDatabaseStatic","dbo","tblCodeBitAssignments","Mnemonic","6","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeBitAssignments","LongName","7","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeBitAssignments","BitType","8","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeBitAssignments","InvertedPosition","9","bit","YES"
"tmdsDatabaseStatic","dbo","tblCodeBitAssignments","AlwaysOnState","10","bit","YES"
"tmdsDatabaseStatic","dbo","tblCodeBitAssignments","UID","11","nvarchar","NO"
"tmdsDatabaseStatic","dbo","tblCodeBitAssignments","TrapEventNMS","12","bit","YES"
"tmdsDatabaseStatic","dbo","tblCodeBitAssignments","TrapEventTypeNMS","13","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeBitAssignments","AlarmLevel","14","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeBitAssignments","AlarmDescription","15","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeBitAssignments","AlarmEquipmentUID","16","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeBitAssignments","WaysideATCSAddress","17","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeBitAssignments","WaysideStatusIndex","18","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeBitAssignments","RRUniqueIdentifierName","19","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeBitAssignments","SoundFileName","20","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeBitAssignments","AlertsInterval","21","int","YES"
"tmdsDatabaseStatic","dbo","tblCodeBitAssignments","NumberOfAlertsAnnunciations","22","int","YES"
"tmdsDatabaseStatic","dbo","tblCodeBitAssignments","OnTime","23","int","YES"
"tmdsDatabaseStatic","dbo","tblCodeBitAssignments","OffTime","24","int","YES"
