"database","schema","table","column","ordinal","data_type","is_nullable"
"tmdsDatabaseStatic","dbo","tblCodeStations","CodeLineNumber","1","int","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","ControlPointNumber","2","int","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","CodeStationNumber","3","int","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","LineOrder","4","int","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","StationName","5","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","ControlAddress","6","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","IndicationAddress","7","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","NumberOfControls","8","int","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","NumberOfIndications","9","int","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","SetupParameterString","10","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","NetworkPortalPrimary","11","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","NetworkPortalSecondary","12","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","NetworkPortalTertiary","13","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","NetworkPortalAddress","14","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","PrivateKey","15","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","NetworkPrimaryID","16","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","NetworkSecondaryID","17","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","SBDMode","18","bit","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","UID","19","nvarchar","NO"
"tmdsDatabaseStatic","dbo","tblCodeStations","LayerFourAckProcessingEnable","20","bit","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","ControlPointStatusProcessingEnabled","21","bit","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","ManualDisableStation","22","bit","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","EnableCRCCalculationPriorToMask","23","bit","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","WaysideATCSAddress","24","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","WaysideEMPAddress","25","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","WaysideConfigurationCRC","26","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","WaysideSecurityKey","27","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","WaysideBeaconFlag","28","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","WebPollIntervalSeconds","29","int","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","NMSEnabled","30","bit","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","WebPollTabName","31","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCodeStations","StationFailed","32","bit","YES"
