"database","schema","table","column","ordinal","data_type","is_nullable"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","UID","1","int","NO"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","ControlPoint","2","int","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","Name","3","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","Type","4","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","LX","5","smallint","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","LY","6","smallint","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","RX","7","smallint","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","RY","8","smallint","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","LeftLink","9","int","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","RightLink","10","int","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","LeftAltLink","11","int","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","RightAltLink","12","int","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","AltLinkOne","13","int","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","AltLinkTwo","14","int","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","Codeline","15","int","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","CPIND1","16","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","CPIND2","17","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","CPIND3","18","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","CPIND4","19","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","CPIND5","20","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","CPIND6","21","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","CPIND7","22","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","CPIND8","23","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","CPIND9","24","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","CPCTL1","25","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","CPIND10","26","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","CPCTL2","27","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","CPIND11","28","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","CPCTL3","29","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","CPIND12","30","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","CPCTL4","31","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","CPIND13","32","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","AuthorityType","33","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","TerritoryAssignment","34","int","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","Subdivision","35","int","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","UniqueID","36","int","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","TTUID","37","int","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","UniqueName","38","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","TimeZone","39","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","GraphicGroup","40","tinyint","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","ScreenRegion","41","tinyint","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","Spare01","42","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","Spare02","43","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","Spare03","44","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","Spare04","45","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","Spare05","46","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","Notes","47","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","SlotSMControlOnIndication","48","bit","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","AllowStatusPublishing","49","bit","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","EnableResendControlLogic","50","bit","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","ResendControlTime","51","tinyint","YES"
"tmdsDatabaseStatic","dbo","tblCompControlPoints","AllowAutomaticMode","52","bit","YES"
