"database","schema","table","column","ordinal","data_type","is_nullable"
"tmdsDatabaseStatic","dbo","tblCompSignals","UID","1","int","NO"
"tmdsDatabaseStatic","dbo","tblCompSignals","ControlPoint","2","int","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","Name","3","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","Type","4","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","LX","5","smallint","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","LY","6","smallint","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","RX","7","smallint","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","RY","8","smallint","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","LeftLink","9","int","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","RightLink","10","int","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","LeftAltLink","11","int","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","RightAltLink","12","int","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","AltLinkOne","13","int","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","AltLinkTwo","14","int","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","Codeline","15","int","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","PIND","16","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","PCTL","17","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","SIND","18","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","SCTL","19","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","TIND","20","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","TCTL","21","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","AuthorityType","22","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","TerritoryAssignment","23","int","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","Subdivision","24","int","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","IndicateOnly","25","bit","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","Fleeting","26","bit","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","Stacking","27","bit","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","Blocking","28","bit","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","CallOn","29","bit","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","InTimeType","30","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","InTimeBit","31","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","DrillSignal","32","bit","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","DrillType","33","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","DrillControl","34","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","DrillStop","35","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompSignals","DrillIndOne","36","nvarchar","YES"
