"database","schema","table","column","ordinal","data_type","is_nullable"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","WrkStnName","1","nvarchar","NO"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","IpAddress","2","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","Type","3","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","TerritoryAssignments","4","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","ViewAssignments","5","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","WorkStationNumber","6","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","DefaultStartupViews","7","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","ZoneAssignments","8","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","DefaultStartupZones","9","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","UID","10","nvarchar","NO"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","Description","11","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","TimeZone","12","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","DispatcherViewAssignments","13","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","DefaultStartupDispatcherViews","14","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","AuthorityNumberEvent","15","smalldatetime","YES"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","CurrentAuthorityNumber","16","int","YES"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","AuthorityNumberRange","17","int","YES"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","AuthorityNumberFactor","18","int","YES"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","PublishScreenShotView","19","bit","YES"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","ConsoleAssignments","20","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","AllowInstantMessaging","21","bit","YES"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","AllowMovementPlanning","22","bit","YES"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","DefaultStartupDisplayViews","23","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","CurrentTTNumber","24","int","YES"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","TTNumberRange","25","int","YES"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","TTNumberFactor","26","int","YES"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","EnableAsViewOnly","27","bit","YES"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","EnableAsSmartMobile","28","bit","YES"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","EnableAsAdminClient","29","bit","YES"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","OfficeUID","30","int","YES"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","DailyMethodExecuteTime","31","smalldatetime","YES"
"tmdsDatabaseStatic","dbo","tblSystemWorkStations","EnabledAsRemoteCCROCSubscriber","32","bit","YES"
