document_family,document_title,release,source_file,line_number,section,message_id,message_name,message_version,page,direction,source_line
data_distribution,I-ETMS On-Board Segment Data Distribution Messages ICD,1.1,exports\manuals\icd_training\I-ETMS_On-Board_Data_Distribution_Messages_ICD_v1.1.txt,35,3.1,03000,Locomotive Data,2,5,onboard_broadcast,3.1 Locomotive Data (03000) - Version 2 ......................................................................................... 5
data_distribution,I-ETMS On-Board Segment Data Distribution Messages ICD,1.1,exports\manuals\icd_training\I-ETMS_On-Board_Data_Distribution_Messages_ICD_v1.1.txt,36,3.2,03001,GPS GGA,1,9,onboard_broadcast,3.2 GPS GGA (03001) - Version 1.................................................................................................... 9
data_distribution,I-ETMS On-Board Segment Data Distribution Messages ICD,1.1,exports\manuals\icd_training\I-ETMS_On-Board_Data_Distribution_Messages_ICD_v1.1.txt,37,3.3,03002,Distributed Power Data,1,10,onboard_broadcast,3.3 Distributed Power Data (03002) - Version 1 ............................................................................. 10
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,61,1.6.1,0600,Energy Management Status,3,43,energy_management_to_ptc,1.6.1 Energy Management Status (0600) - Version 3 .................................................................................................................................................... 43
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,62,1.6.2,0601,Energy Management Access Screen,3,45,energy_management_to_ptc,1.6.2 Energy Management Access Screen (0601) - Version 3 ....................................................................................................................................... 45
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,63,1.6.3,0604,OPK Encryption Key Reply,1,48,energy_management_to_ptc,1.6.3 OPK Encryption Key Reply (0604) - Version 1 .................................................................................................................................................... 48
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,64,1.6.4,0605,Operational Private Key Request,2,49,energy_management_to_ptc,1.6.4 Operational Private Key Request (0605) - Version 2 ........................................................................................................................................... 49
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,65,1.6.5,0606,Railroad Office Address Request,2,50,energy_management_to_ptc,1.6.5 Railroad Office Address Request (0606) - Version 2 ........................................................................................................................................... 50
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,66,1.6.6,0612,Track Request,3,51,energy_management_to_ptc,1.6.6 Track Request (0612) - Version 3 ......................................................................................................................................................................... 51
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,70,1.6.7,0614,Track Database Data Request,3,52,energy_management_to_ptc,1.6.7 Track Database Data Request (0614) - Version 3 ............................................................................................................................................... 52
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,71,1.6.8,0620,Summary Train Consist Request,2,53,energy_management_to_ptc,1.6.8 Summary Train Consist Request (0620) - Version 2 ............................................................................................................................................. 53
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,72,1.6.9,0621,Locomotive Run Status Request,2,54,energy_management_to_ptc,1.6.9 Locomotive Run Status Request (0621) - Version 2 .............................................................................................................................................. 54
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,73,1.6.10,0623,Train and Crew Data Request,2,55,energy_management_to_ptc,1.6.10 Train and Crew Data Request (0623) - Version 2 ................................................................................................................................................ 55
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,74,1.6.11,0624,Train and Crew Data Acknowledge,2,56,energy_management_to_ptc,1.6.11 Train and Crew Data Acknowledge (0624) - Version 2 ....................................................................................................................................... 56
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,75,1.6.12,0625,In-Train Forces,1,57,energy_management_to_ptc,1.6.12 In-Train Forces (0625) - Version 1 ...................................................................................................................................................................... 57
