document_family,document_title,release,source_file,heading_line_number,section,detail_code,message_id,toc_message_name,toc_message_version,toc_page,detail_message_name,detail_message_version,direction,description,related_message_ids,functional_content_excerpt,has_functional_content,version_conflict_with_catalog,source_heading_line
data_distribution,I-ETMS On-Board Segment Data Distribution Messages ICD,1.1,exports\manuals\icd_training\I-ETMS_On-Board_Data_Distribution_Messages_ICD_v1.1.txt,200,3.1,Locomotive,03000,Locomotive Data,2,5,Data,2,onboard_broadcast,,,,False,False,3.1 Locomotive Data (03000) - Version 2
data_distribution,I-ETMS On-Board Segment Data Distribution Messages ICD,1.1,exports\manuals\icd_training\I-ETMS_On-Board_Data_Distribution_Messages_ICD_v1.1.txt,504,3.2,GPS,03001,GPS GGA,1,9,GGA,1,onboard_broadcast,,,,False,False,3.2 GPS GGA (03001) - Version 1
data_distribution,I-ETMS On-Board Segment Data Distribution Messages ICD,1.1,exports\manuals\icd_training\I-ETMS_On-Board_Data_Distribution_Messages_ICD_v1.1.txt,555,3.3,Distributed,03002,Distributed Power Data,1,10,Power Data,1,onboard_broadcast,,,,False,False,3.3 Distributed Power Data (03002) - Version 1
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,1339,1.6.1,L2I174,0600,Energy Management Status,3,43,Energy Management Status,3,energy_management_to_ptc,,0500,,False,False,1.6.1 L2I174 Energy Management Status (0600) - Version 3
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,1394,1.6.2,L2I175,0601,Energy Management Access Screen,3,45,Energy Management Access Screen,3,energy_management_to_ptc,,0501,,False,False,1.6.2 L2I175 Energy Management Access Screen (0601) - Version 3
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,1487,1.6.3,L2I398,0604,OPK Encryption Key Reply,1,48,OPK Encryption Key Reply,1,energy_management_to_ptc,,0504,,False,False,1.6.3 L2I398 OPK Encryption Key Reply (0604) - Version 1
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,1514,1.6.4,L2I346,0605,Operational Private Key Request,2,49,Operational Private Key Request,2,energy_management_to_ptc,,0505,,False,False,1.6.4 L2I346 Operational Private Key Request (0605) - Version 2
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,1530,1.6.5,L2I344,0606,Railroad Office Address Request,2,50,Railroad Office Address Request,2,energy_management_to_ptc,,0506,,False,False,1.6.5 L2I344 Railroad Office Address Request (0606) - Version 2
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,1545,1.6.6,L2I178,0612,Track Request,3,51,Track Request,3,energy_management_to_ptc,,0510,,False,False,1.6.6 L2I178 Track Request (0612) - Version 3
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,1565,1.6.7,L2I347,0614,Track Database Data Request,3,52,Track Database Data Request,3,energy_management_to_ptc,,0514,,False,False,1.6.7 L2I347 Track Database Data Request (0614) - Version 3
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,1593,1.6.8,L2I348,0620,Summary Train Consist Request,2,53,Summary Train Consist Request,2,energy_management_to_ptc,,0520,,False,False,1.6.8 L2I348 Summary Train Consist Request (0620) - Version 2
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,1609,1.6.9,L2I181,0621,Locomotive Run Status Request,2,54,Locomotive Run Status Request,2,energy_management_to_ptc,,0521,,False,False,1.6.9 L2I181 Locomotive Run Status Request (0621) - Version 2
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,1625,1.6.10,L2I182,0623,Train and Crew Data Request,2,55,Train and Crew Data Request,2,energy_management_to_ptc,,0523,,False,False,1.6.10 L2I182 Train and Crew Data Request (0623) - Version 2
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,1641,1.6.11,L2I183,0624,Train and Crew Data Acknowledge,2,56,Train and Crew Data Acknowledge,2,energy_management_to_ptc,,0523,,False,False,1.6.11 L2I183 Train and Crew Data Acknowledge (0624) - Version 2
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,1661,1.6.12,L2I184,0625,In-Train Forces,1,57,In-Train Forces,1,energy_management_to_ptc,,,,False,False,1.6.12 L2I184 In-Train Forces (0625) - Version 1
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,1687,1.6.13,L2I185,0627,Speed Prediction,3,58,Speed Prediction,3,energy_management_to_ptc,,,,False,False,1.6.13 L2I185 Speed Prediction (0627) - Version 3
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,1722,1.6.14,L2I186,0628,In-Train Brake Cylinder Pressures,1,59,In-Train Brake Cylinder Pressures,1,energy_management_to_ptc,,,,False,False,1.6.14 L2I186 In-Train Brake Cylinder Pressures (0628) - Version 1
