message_id,direction,status,release_2_11_1_name,release_2_11_1_version,release_2_11_1_page,release_3_1_name,release_3_1_version,release_3_1_page,version_delta
01000,office_to_locomotive,version_changed,Verify Employee Info Response,2,12,Verify Employee Info Response,3,14,1
01001,office_to_locomotive,version_changed,Train ID List,1,13,Train ID List,2,16,1
01003,office_to_locomotive,version_changed,Request Selected Train ID,1,14,Request Selected Train ID,2,17,1
01004,office_to_locomotive,version_changed,Confirmation of Selected Train ID,2,15,Confirmation of Selected Train ID,3,18,1
01005,office_to_locomotive,version_changed,Configuration Version List,3,16,Configuration Version List,4,19,1
01007,office_to_locomotive,version_changed,Train Subdivision/District List,3,17,Train Subdivision/District List,4,20,1
01010,office_to_locomotive,version_changed,Command/Confirm Locomotive System State,1,19,Command/Confirm Locomotive System State,3,22,2
01011,office_to_locomotive,version_changed,Confirmation of Departure Test Report,2,20,Confirmation of Departure Test Report,3,23,1
01012,office_to_locomotive,added_by_3.1,,,,Ancillary Subdivision/District Version,1,24,
01020,office_to_locomotive,version_changed,Confirmation of Poll Registration,2,21,Confirmation of Poll Registration,4,25,2
01021,office_to_locomotive,version_changed,Office Segment Poll,3,22,Office Segment Poll,5,26,2
01022,office_to_locomotive,version_changed,Current Dataset List,2,24,Current Dataset List,4,28,2
01030,office_to_locomotive,version_changed,Train Consist,4,25,Train Consist,6,29,2
01033,office_to_locomotive,version_changed,Confirmation of Onboard Train Consist,2,27,Confirmation of Onboard Train Consist,3,32,1
01040,office_to_locomotive,version_changed,Request Crew Acknowledgement of Bulletin,2,28,Request Crew Acknowledgement of Bulletin,3,33,1
01041,office_to_locomotive,version_changed,Bulletin Dataset,4,29,Bulletin Dataset,6,34,2
01043,office_to_locomotive,version_changed,Bulletin Cancellation,2,34,Bulletin Cancellation,4,39,2
01050,office_to_locomotive,version_changed,Confirmation of Crew Authority Request,2,36,Confirmation of Crew Authority Request,3,41,1
01051,office_to_locomotive,version_changed,Movement Authority Dataset,4,37,Movement Authority Dataset,6,42,2
01053,office_to_locomotive,version_changed,Movement Authority Void,2,43,Movement Authority Void,3,48,1
