restriction_uid,restriction_type,restriction_subtype,status,restriction_date,activated_time,creator,subdivision_name,subdivision_from_name,subdivision_to_name,direction,track_name,track_name_count,milepost_begin,milepost_end,train_speed_freight,train_speed_passenger,train_speed_expedite,train_specific,train_symbol,track_blocked,track_out_of_service,on_train,is_ptc,ptc_status,system_wide_bulletin,non_blocking_bulletin,component_uid_count,ptc_track_segment_count,bulletin_read_data,ptc_bulletin_text,information,comments
300,SPEED RESTRICTION,FORM A,OK,2025-10-25 오전 4:01:17,2025-10-25 오전 4:01:00,"BRIDGES, ROSEMARY (RJB)",SAN DIEGO,SAN DIEGO,SAN DIEGO,NONE,Mt1,1,259.9,260.1,30,75,75,False,,False,False,True,True,NONE,False,False,1,1,Bulletin <300>|<San Diego> Sub|Between MP < 259.9 > And MP < 260.1 >|<75> MPH Psgr Trains|<30> MPH Freight Trains|<Mt1> ||<Eastbound Flags Are Displayed On The Left Hand Side. >|,Track Bulletin No 300|San Diego Sub|Between MP 259.9 And MP 260.1 |75 MPH Psgr Trains|30 MPH Freight Trains|Mt1|Eastbound Flags Are Displayed On The Left Hand Side. |,EASTBOUND FLAGS ARE DISPLAYED ON THE LEFT HAND SIDE.,
301,SPEED RESTRICTION,FORM A,OK,2025-10-25 오전 4:03:09,2025-10-25 오전 4:03:00,"BRIDGES, ROSEMARY (RJB)",SAN DIEGO,SAN DIEGO,SAN DIEGO,NONE,All Tracks,1,265.0,266.0,35,35,35,False,,False,False,True,True,NONE,False,False,12,3,Bulletin <301>|<San Diego> Sub|Between MP < 265.0 > And MP < 266.0 >|<35> MPH|<All Tracks>||<Short Flag At Mp 267.00 >|,Track Bulletin No 301|San Diego Sub|Between MP 265.0 And MP 266.0 |35 MPH|All Tracks|Short Flag At Mp 267.00 |,SHORT FLAG AT MP 267.00,
457,WORKZONE,FORM B,NC,2026-03-23 오후 3:52:11,2026-03-23 오후 3:52:00,"EVANS, SHALENE (SME)",ESCONDIDO,,,,All Tracks,1,110.0,111.4,0,0,0,False,,False,False,True,False,NONE,False,False,11,0,Bulletin <457>|<Escondido> Sub|<On March 24 >|<From 0700 Until 1530>|Between MP < 110.0> And MP < 111.4>|<All Tracks>|<Foreman S Cassell>|,Track Bulletin No 457|Escondido Sub|On March 24 |From 0700 Until 1530|Between MP 110.0 And MP 111.4|All Tracks|Foreman S Cassell|,,
458,WORKZONE,FORM B,NC,2026-03-23 오후 4:24:45,2026-03-23 오후 4:25:00,"FLORES, MARIANNA (MLF)",SAN DIEGO,,,,All Tracks,1,233.7,235.4,0,0,0,False,,False,False,True,True,NONE,False,False,7,4,Bulletin <458>|<San Diego> Sub|<On March 24 >|<From 0630 Until 1700>|Between MP < 233.7> And MP < 235.4>|<All Tracks>|<Foreman J. Vincent>|,Track Bulletin No 458|San Diego Sub|On March 24 |From 0630 Until 1700|Between MP 233.7 And MP 235.4|All Tracks|Foreman J. Vincent|,,
459,WORKZONE,FORM B,NC,2026-03-23 오후 4:26:49,2026-03-23 오후 4:27:00,"FLORES, MARIANNA (MLF)",SAN DIEGO,,,,Main,1,243.9,245.8,0,0,0,False,,False,False,True,True,NONE,False,False,4,2,Bulletin <459>|<San Diego> Sub|<On March 24 >|<From 0630 Until 1600>|Between MP < 243.9> And MP < 245.8>|<Main> Track|<Foreman G. Gwin>|,Track Bulletin No 459|San Diego Sub|On March 24 |From 0630 Until 1600|Between MP 243.9 And MP 245.8|Main Track|Foreman G. Gwin|,,
526,MISC,FORM F,OK,2024-07-19 오전 12:39:42,2024-07-19 오전 12:40:00,"BRIDGES, ROSEMARY (RJB)",SAN DIEGO,,,,All Tracks,1,0,0,0,0,0,False,,False,False,True,True,NONE,False,False,0,1,Bulletin <526>|<San Diego> Sub|AT MP 244.3 WESTBOUND WHISTLE BOARD SIGN WAS |REMOVED DUE TO CONSTRUCTION. |,Track Bulletin No 526|San Diego Sub|AT MP 244.3 WESTBOUND WHISTLE BOARD SIGN WAS |REMOVED DUE TO CONSTRUCTION. |,AT MP 244.3 WESTBOUND WHISTLE BOARD SIGN WAS REMOVED DUE TO CONSTRUCTION.,
533,MISC,FORM F,OK,2026-01-29 오후 6:22:54,2026-01-29 오후 6:23:00,"WOLF, ELIZABETH (EMW)",SAN DIEGO,,,,All Tracks,1,0,0,0,0,0,False,,False,False,True,True,NONE,False,False,0,1,"Bulletin <533>|<San Diego> Sub|MP 216.28 CP DON SWITCH NUMBER 1X IS TAGGED OUT OF |SERVICE WITH POINT CLAMP LINED FOR MAIN TRACK |MOVEMENT PER MOS. | |MP 231.34 SDGE SWITCH IS TAGGED OUT OF SERVICE, |SPIKED AND LINED FOR MAIN TRACK TWO MOVEMENT. | |MP 251.1 TO MP 251.3 BARRIER ON RIGHT OF WAY FOR |ROAD CLOSURE, ON ACCOUNT OF EROSION. | |MP 265.6 WASHINGTON STREET WYE EAST LEG IS TAGGED |OUT OF SERVICE, SPIKED AND LINED FOR MAIN TRACK |TWO MOVEMENT. |","Track Bulletin No 533|San Diego Sub|MP 216.28 CP DON SWITCH NUMBER 1X IS TAGGED OUT OF |SERVICE WITH POINT CLAMP LINED FOR MAIN TRACK |MOVEMENT PER MOS. | |MP 231.34 SDGE SWITCH IS TAGGED OUT OF SERVICE, |SPIKED AND LINED FOR MAIN TRACK TWO MOVEMENT. | |MP 251.1 TO MP 251.3 BARRIER ON RIGHT OF WAY FOR |ROAD CLOSURE, ON ACCOUNT OF EROSION. | |MP 265.6 WASHINGTON STREET WYE EAST LEG IS TAGGED |OUT OF SERVICE, SPIKED AND LINED FOR MAIN TRACK |TWO MOVEMENT. |","MP 216.28 CP DON SWITCH NUMBER 1X IS TAGGED OUT OF SERVICE WITH POINT CLAMP LINED FOR MAIN TRACK MOVEMENT PER MOS. MP 231.34 SDGE SWITCH IS TAGGED OUT OF SERVICE, SPIKED AND LINED FOR MAIN TRACK TWO MOVEMENT. MP 251.1 TO MP 251.3 BARRIER ON RIGHT OF WAY FOR ROAD CLOSURE, ON ACCOUNT OF EROSION. MP 265.6 WASHINGTON STREET WYE EAST LEG IS TAGGED OUT OF SERVICE, SPIKED AND LINED FOR MAIN TRACK TWO MOVEMENT.",
535,MISC,FORM F,OK,2026-02-01 오전 1:05:01,2026-02-01 오전 1:05:00,"BRIDGES, ROSEMARY (RJB)",SAN DIEGO,,,,All Tracks,1,0,0,0,0,0,False,,False,False,True,True,NONE,False,False,0,1,"Bulletin <535>|<San Diego> Sub|NORTH COUNTY TRANSIT - SAN DIEGO RAILROAD (NCTD) |IS CURRENTLY OPERATING UNDER THE GENERAL CODE OF |OPERATING RULES (GCOR), NINTH EDITION, OCTOBER 8, |2025, AT 0001. | |BEGINNING SUNDAY, FEBRUARY 01, 2026, AT 0001 |HOURS, GENERAL ORDER #8S IS IN EFFECT. |","Track Bulletin No 535|San Diego Sub|NORTH COUNTY TRANSIT - SAN DIEGO RAILROAD (NCTD) |IS CURRENTLY OPERATING UNDER THE GENERAL CODE OF |OPERATING RULES (GCOR), NINTH EDITION, OCTOBER 8, |2025, AT 0001. | |BEGINNING SUNDAY, FEBRUARY 01, 2026, AT 0001 |HOURS, GENERAL ORDER #8S IS IN EFFECT. |","NORTH COUNTY TRANSIT - SAN DIEGO RAILROAD (NCTD) IS CURRENTLY OPERATING UNDER THE GENERAL CODE OF OPERATING RULES (GCOR), NINTH EDITION, OCTOBER 8, 2025, AT 0001. BEGINNING SUNDAY, FEBRUARY 01, 2026, AT 0001 HOURS, GENERAL ORDER #8S IS IN EFFECT.",
536,MISC,FORM F,OK,2026-02-01 오전 2:42:46,2026-02-01 오전 2:43:00,"ANDROVICH, ERINA (EAA)",ESCONDIDO,,,,All Tracks,1,0,0,0,0,0,False,,False,False,True,True,NONE,False,False,0,1,"Bulletin <536>|<Escondido> Sub|NORTH COUNTY TRANSIT - SAN DIEGO RAILROAD (NCTD) |IS CURRENTLY OPERATING UNDER THE GENERAL CODE OF |OPERATING RULES (GCOR). NINTH EDITION, OCTOBER 8, |2025, AT 0001. | |BEGINNING SUNDAY, FEBRUARY 01, 2026, AT 0001 |HOURS, GENERAL ORDER #8S IS IN EFFECT. |","Track Bulletin No 536|Escondido Sub|NORTH COUNTY TRANSIT - SAN DIEGO RAILROAD (NCTD) |IS CURRENTLY OPERATING UNDER THE GENERAL CODE OF |OPERATING RULES (GCOR). NINTH EDITION, OCTOBER 8, |2025, AT 0001. | |BEGINNING SUNDAY, FEBRUARY 01, 2026, AT 0001 |HOURS, GENERAL ORDER #8S IS IN EFFECT. |","NORTH COUNTY TRANSIT - SAN DIEGO RAILROAD (NCTD) IS CURRENTLY OPERATING UNDER THE GENERAL CODE OF OPERATING RULES (GCOR). NINTH EDITION, OCTOBER 8, 2025, AT 0001. BEGINNING SUNDAY, FEBRUARY 01, 2026, AT 0001 HOURS, GENERAL ORDER #8S IS IN EFFECT.",
545,MISC,FORM F,OK,2026-02-23 오후 6:55:10,2026-02-23 오후 6:55:00,"FLORES, MARIANNA (MLF)",SAN DIEGO,,,,All Tracks,1,0,0,0,0,0,False,,False,False,True,True,NONE,False,False,0,1,Bulletin <545>|<San Diego> Sub|THE DETECTOR AT THE FOLLOWING LOCATION IS OUT |OF SERVICE: | |MP 252.8 ON MAIN TRACK. PER MOS WOODILL. |,Track Bulletin No 545|San Diego Sub|THE DETECTOR AT THE FOLLOWING LOCATION IS OUT |OF SERVICE: | |MP 252.8 ON MAIN TRACK. PER MOS WOODILL. |,THE DETECTOR AT THE FOLLOWING LOCATION IS OUT OF SERVICE: MP 252.8 ON MAIN TRACK. PER MOS WOODILL.,
