code_line_number,code_line_name,code_line_limits,legacy_type,session_protocol,normal_codeserver_name,standby_codeserver_name,packet_switch_primary_name,packet_switch_secondary_name,packet_switch_primary_ip,packet_switch_secondary_ip,station_count,control_point_count,subdivision_names,control_assignment_count,indication_assignment_count
1,CDLN-1,OCEAN TO SCHOOL,GENESYS,GENESYS,TEST,TEST,NONE,NONE,127.0.0.1,127.0.0.1,0,0,,0,0
2,CDLN-2,MELROSE TO PALOMAR,GENESYS,GENESYS,TEST,TEST,NONE,NONE,127.0.0.1,127.0.0.1,0,0,,0,0
3,CDLN-3,LOOP WEST TO AVO,GENESYS,GENESYS,TEST,TEST,NONE,NONE,127.0.0.1,127.0.0.1,0,0,,0,0
5,CDLN-5,CODE LINE LIMITS,ATCS,0,CODE-02A,CODE-02B,WCC 3713,WCC 3714,172.20.20.218,172.20.20.219,27,27,SAN DIEGO,468,591
6,CDLN-6,CP OCEAN,GENESYS,GENESYS,CODE-01A,CODE-01B,CP OCEAN,CP OCEAN,127.0.0.1,127.0.0.1,1,1,ESCONDIDO,48,48
7,CDLN-7,CP RAILROAD,GENESYS,GENESYS,CODE-01A,CODE-01B,NONE,NONE,127.0.0.1,127.0.0.1,1,1,ESCONDIDO,48,48
8,CDLN-8,CP WYE,GENESYS,GENESYS,CODE-01A,CODE-01B,NONE,NONE,127.0.0.1,127.0.0.1,1,1,ESCONDIDO,48,48
9,CDLN-9,CROUCH STATION,GENESYS,GENESYS,CODE-01A,CODE-01B,NONE,NONE,127.0.0.1,127.0.0.1,1,1,ESCONDIDO,48,48
10,CDLN-10,CP TRUE,GENESYS,GENESYS,CODE-01A,CODE-01B,NONE,NONE,127.0.0.1,127.0.0.1,1,1,ESCONDIDO,48,48
11,CDLN-11,EL CAMINO STATION,GENESYS,GENESYS,CODE-01A,CODE-01B,NONE,NONE,127.0.0.1,127.0.0.1,1,1,ESCONDIDO,48,48
12,CDLN-12,RANCHO STATION,GENESYS,GENESYS,CODE-01A,CODE-01B,NONE,NONE,127.0.0.1,127.0.0.1,1,1,ESCONDIDO,48,48
13,CDLN-13,CP SCHOOL,GENESYS,GENESYS,CODE-01A,CODE-01B,NONE,NONE,127.0.0.1,127.0.0.1,1,1,ESCONDIDO,48,48
14,CDLN-14,MELROSE STATION,GENESYS,GENESYS,CODE-01A,CODE-01B,NONE,NONE,127.0.0.1,127.0.0.1,1,1,ESCONDIDO,48,48
15,CDLN-15,CP ANGEL,GENESYS,GENESYS,CODE-01A,CODE-01B,NONE,NONE,127.0.0.1,127.0.0.1,1,1,ESCONDIDO,48,48
16,CDLN-16,VISTA STATION,GENESYS,GENESYS,CODE-01A,CODE-01B,NONE,NONE,127.0.0.1,127.0.0.1,1,1,ESCONDIDO,48,48
17,CDLN-17,ESCONDIDO AVE,GENESYS,GENESYS,CODE-01A,CODE-01B,NONE,NONE,127.0.0.1,127.0.0.1,1,1,ESCONDIDO,48,48
18,CDLN-18,CP AVENUE,GENESYS,GENESYS,CODE-01A,CODE-01B,NONE,NONE,127.0.0.1,127.0.0.1,1,1,ESCONDIDO,24,48
19,CDLN-19,BUENA CREEK,GENESYS,GENESYS,CODE-01A,CODE-01B,NONE,NONE,127.0.0.1,127.0.0.1,1,1,ESCONDIDO,24,48
20,CDLN-20,CP MISSY,GENESYS,GENESYS,CODE-01A,CODE-01B,NONE,NONE,127.0.0.1,127.0.0.1,1,1,ESCONDIDO,48,48
21,CDLN-21,PALOMAR STATION,GENESYS,GENESYS,CODE-01A,CODE-01B,NONE,NONE,127.0.0.1,127.0.0.1,1,1,ESCONDIDO,48,48
22,CDLN-22,CP LOOP WEST,GENESYS,GENESYS,CODE-01A,CODE-01B,NONE,NONE,127.0.0.1,127.0.0.1,1,1,ESCONDIDO,48,48
23,CDLN-23,CP SHELLY,GENESYS,GENESYS,CODE-01A,CODE-01B,NONE,NONE,127.0.0.1,127.0.0.1,1,1,ESCONDIDO,48,48
24,CDLN-24,CP LOOP EAST,GENESYS,GENESYS,CODE-01A,CODE-01B,NONE,NONE,127.0.0.1,127.0.0.1,1,1,ESCONDIDO,48,48
25,CDLN-25,NORDAHL STATION,GENESYS,GENESYS,CODE-01A,CODE-01B,NONE,NONE,127.0.0.1,127.0.0.1,1,1,ESCONDIDO,48,48
26,CDLN-26,CP HOLDOUT,GENESYS,GENESYS,CODE-01A,CODE-01B,NONE,NONE,127.0.0.1,127.0.0.1,1,1,ESCONDIDO,48,48
27,CDLN-27,CP YARD,GENESYS,GENESYS,CODE-01A,CODE-01B,NONE,NONE,127.0.0.1,127.0.0.1,1,1,ESCONDIDO,48,48
28,CDLN-28,AVO,GENESYS,GENESYS,CODE-01A,CODE-01B,NONE,NONE,127.0.0.1,127.0.0.1,1,1,ESCONDIDO,24,24
