code_line_number,code_line_name,code_line_limits,legacy_type,session_protocol,normal_codeserver_name,standby_codeserver_name,packet_switch_primary_name,packet_switch_secondary_name,packet_switch_primary_ip,packet_switch_secondary_ip,code_station_number,control_point_number,station_name,control_point_name,ptc_site_name,subdivision_uid,subdivision_name,territory_assignment,control_address,indication_address,wayside_atcs_address,wayside_emp_address,number_of_controls,number_of_indications,control_assignment_count,indication_assignment_count,control_mnemonic_samples,control_long_name_samples,indication_mnemonic_samples,indication_long_name_samples
5,CDLN-5,CODE LINE LIMITS,ATCS,0,CODE-02A,CODE-02B,WCC 3713,WCC 3714,172.20.20.218,172.20.20.219,1,100000,CP CARL,CARL,CP Carl,2,SAN DIEGO,100,73405050580202,73405050580202,,,8,16,8,16,1NWS|BLANK|1RWS|BLANK|EGHS|BLANK|WGHS|BLANK,1 NORMAL SWITCH CONTROL|BLANK CONTROL|1 REVERSE SWITCH CONTROL|BLANK CONTROL|EASTBOUND SIGNAL CONTROL|BLANK CONTROL|WESTBOUND SIGNAL CONTROL|BLANK CONTROL,1NWK|1TK|1RWK|EAK|EGK|WAAK|WGK|POK|LCK|TEK|DOK|BLANK|LOK|WCAK|BLANK|BLANK,1 NORMAL SWITCH INDICATION|1 OS TRACK INDICATION|1 REVERSE SWITCH INDICATION|EAK|EASTBOUND SIGNAL INDICATION|WAAK|WESTBOUND SIGNAL INDICATION|POWER OFF INDICATION|LOCAL CONTROL INDICATION|SIGNAL INTIME INDICATION|ILLEGAL ENTRY INDICATION|BLANK INDICATION|LIGHT OUT INDICATION|WCAK|BLANK INDICATION|BLANK INDICATION
5,CDLN-5,CODE LINE LIMITS,ATCS,0,CODE-02A,CODE-02B,WCC 3713,WCC 3714,172.20.20.218,172.20.20.219,1,100001,CP SONGS,SONGS,CP Songs,2,SAN DIEGO,100,73405050200202,73405050200202,,,16,16,16,16,1NWS|BLANK|1RWS|BLANK|EGHS|BLANK|WGHS|BLANK|BLANK|BLANK|BLANK|BLANK|BLANK|BLANK|BLANK|BLANK,NORMAL SWITCH CONTROL|BLANK CONTROL|REVERSE SWITCH CONTROL|BLANK CONTROL|EASTBOUND SIGNAL CONTROL|BLANK|WESTBOUND SIGNAL CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL,1NWK|TK|1RWK|EAK|EGK|WAAK|WGK|POK|LCK|TEK|ERQK|BLANK|LOK|WBAK|BLANK|BLANK,NORMAL SWITCH INDICATION|OS TRACK INDICATION|REVERSE SWITCH INDICATION|EAK|EASTBOUND SIGNAL INDICATION|WAAK|WESTBOUND SIGNAL INDICATION|POWER OFF INDICATION|LOCAL CONTROL|SIGNAL INTIME INDICATION|ERQK|BLANK INDICATION|LIGHT OUT INDICATION|WBAK|BLANK INDICATION|BLANK INDICATION
5,CDLN-5,CODE LINE LIMITS,ATCS,0,CODE-02A,CODE-02B,WCC 3713,WCC 3714,172.20.20.218,172.20.20.219,1,100002,CP DON,DON,CP Don,2,SAN DIEGO,100,73405050250202,73405050250202,,,24,24,24,24,1NWS|1RWS|3NWS|3RWS|2EGHS|2WGHS|4EGHS|4WGHS|BLANK|BLANK|BLANK|BLANK|BLANK|BLANK|BLANK|BLANK,1 NORMAL SWITCH CONTROL|1 REVERSE SWITCH CONTROL|3 NORMAL SWITCH CONTROL|3 REVERSE SWITCH CONTROL|2 EASTBOUND SIGNAL CONTROL|2 WESTBOUND SIGNAL CONTROL|4 EASTBOUND SIGNAL CONTROL|4 WESTBOUND SIGNAL CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL,1NWK|1RWK|3NWK|3RWK|2EGK|2WGK|4EGK|4WGK|1TK|3TK|2TEK|4TEK|2EAK|2WAK|4EAK|4WAK,1 NORMAL SWITCH INDICATION|1 REVERSE SWITHC INDICATION|3 NORMAL SWITCH INDICATION|3 REVERSE SWITCH INDICATION|2 EASTBOUND SIGNAL INDICATION|2 WESTBOUND SIGNAL INDICATION|4 EASTBOUND SIGNAL INDICATION|4 WESTBOUND SIGNAL INDICATION|1 OS TRACK INDICATION|3 OS TRACK INDICATION|2 SIGNAL INTIME INDICATION|4 SIGNAL INTIME INDICATION|2EAK|2WAK|4EAK|4WAK
5,CDLN-5,CODE LINE LIMITS,ATCS,0,CODE-02A,CODE-02B,WCC 3713,WCC 3714,172.20.20.218,172.20.20.219,1,100003,CP PULGAS,PULGAS,CP Pulgas,2,SAN DIEGO,100,73405050270202,73405050270202,,,16,16,16,16,NWS|BLANK|RWS|BLANK|EGHS|BLANK|WGHS|BLANK|BLANK|BLANK|BLANK|BLANK|BLANK|BLANK|BLANK|BLANK,NORMAL SWITCH CONTROL|BLANK CONTROL|REVERSE SWITCH CONTROL|BLANK CONTROL|EASTBOUND SIGNAL CONTROL|BLANK CONTROL|WESTBOUND SIGNAL CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL,NWK|TK|RWK|EAK|EGK|WAAK|WGK|POK|LCK|TEK|DOK|BLANK|LOK|WBAK|BLANK|BLANK,NORMAL SWITCH INDICATION|OS TRACK INDICATION|REVERSE SWITCH INDICATION|EAK|EASTBOUND SIGNAL INDICATION|WAAK|WESTBOUND SIGNAL INDICATION|POWER OFF INDICATION|LOCAL CONTROL INDICAITON|IN-TIME INDICAITON|DOOR OPEN INDICATION|BLANK INDICATION|LIGHT OUT INDICATION|WBAK|BLANK INDICATION|BLANK INDICATION
5,CDLN-5,CODE LINE LIMITS,ATCS,0,CODE-02A,CODE-02B,WCC 3713,WCC 3714,172.20.20.218,172.20.20.219,1,100004,CP CUDAHY,CUDAHY,CP Cudahy,2,SAN DIEGO,100,73405050870202,73405050870202,,,24,24,24,24,1NWS|1RWS|3NWS|3RWS|2EGHS|2WGHS|4EGHS|4WGHS|BLANK|BLANK|BLANK|BLANK|BLANK|BLANK|BLANK|BLANK,1 NORMAL SWITCH CONTROL|1 REVERSE SWITCH CONTROL|3 NORMAL SWITCH CONTROL|3 REVERSE SWITCH CONTROL|2 EASTBOUND SIGNAL CONTROL|2 WESTBOUND SIGNAL CONTROL|4 EASTBOUND SIGNAL CONTROL|4 WESTBOUND SIGNAL CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL,1NWK|1RWK|3NWK|3RWK|2EGK|2WGK|4EGK|4WGK|1TK|3TK|2TEK|4TEK|2EAK|2WAK|4EAK|4WAK,1 NORMAL SWITCH INDICATION|1 REVERSE SWITCH INDICATION|3 NORMAL SWITCH INDICATION|3 REVERSE SWITCH INDICATION|2 EASTBOUND SIGNAL INDICATION|2 WESTBOUND SIGNAL INDICATION|4 EASTBOUND SIGNAL INDICATION|4 WESTBOUND SIGNAL INDICATION|1 OS TRACK INDICATION|3 OS TRACK INDICATION|2 SIGNAL INTIME INDICATION|4 SIGNAL INTIME INDICATION|2EAK|2WAK|4EAK|4WAK
5,CDLN-5,CODE LINE LIMITS,ATCS,0,CODE-02A,CODE-02B,WCC 3713,WCC 3714,172.20.20.218,172.20.20.219,1,100005,CP STUART,STUART,CP Stuart,2,SAN DIEGO,100,73405050350202,73405050350202,,,24,24,24,24,NWS|BLANK|RWS|BLANK|2EHS|BLANK|2WHS|BLANK|BLANK|BLANK|BLANK|BLANK|BLANK|BLANK|BLANK|BLANK,NORMAL SWITCH CONTROL|BLANK CONTROL|REVERSE SWITCH CONTROL|BLANK|2 EASTBOUND SIGNAL CONTROL|BLANK CONTROL|2 WESTBOUND SIGNAL CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK|BLANK CONTROL|BLANK|BLANK CONTROL,NWK|1TK|1RWK|2EAAK|2EHK|2WAAK|2WHK|POK|LCK|2TEK|DOK|4TEK|LOK|BLANK|BLANK|BLANK,NORMAL SWITCH INDICATION|1 OS TRACK INDICATION|1 REVERSE SWITCH INDICATION|2EAAK|2 EASTBOUND SIGNAL INDICATION|2WAAK|2 WESTBOUND SIGNAL INDICATION|POWER OFF INDICATION|LOCAL CONTROL INDICATION|2 SIGNAL INTIME INDICATION|ILLEGAL ENTRY INDICATION|4 SIGNAL INTIME INDICATION|LIGHT OUT INDICATION|BLANK INDICATION|BLANK INDICATION|BLANK INDICATION
5,CDLN-5,CODE LINE LIMITS,ATCS,0,CODE-02A,CODE-02B,WCC 3713,WCC 3714,172.20.20.218,172.20.20.219,1,100006,CP MESA,MESA,CP Mesa,2,SAN DIEGO,100,73405050360202,73405050360202,,,24,24,24,24,NWS|BLANK|1RWS|BLANK|2EGHS|BLANK|2WGHS|BLANK|BLANK|BLANK|BLANK|BLANK|BLANK|BLANK|BLANK|BLANK,NORMAL SWITCH CONTROL|BLANK CONTROL|REVERSE SWITCH CONTROL|BLANK CONTROL|2 EASTBOUND SIGNAL CONTROL|BLANK CONTROL|2 WESTBOUND SIGNAL CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL,1NWK|TK|1RWK|2EAK|2EGK|2WAK|2WGK|POK|LCK|2TEK|BLANK|TEK|LOK|BLANK|BLANK|BLANK,1 NORMAL SWITCH INDICATION|OS TRACK INDICATION|1 REVERSE SWITCH INDICATION|2EAK|2 EASTBOUND SIGNAL INDICATION|2WAK|2 WESTBOUND SIGNAL INDICATION|POWER OFF INDICATION|LOCAL CONTROL INDICATION|2 SIGNAL INTIME INDICATION|BLANK INDICATION|SIGNAL INTIME INDICATION|LIGHT OUT INDICATION|BLANK INDICATION|BLANK INDICATION|BLANK INDICATION
5,CDLN-5,CODE LINE LIMITS,ATCS,0,CODE-02A,CODE-02B,WCC 3713,WCC 3714,172.20.20.218,172.20.20.219,1,100007,CP ROSE,ROSE,CP Rose,2,SAN DIEGO,100,73405050830202,73405050830202,,,24,24,24,24,1NWS|BLANK|1RWS|BLANK|2EGHS|BLANK|2WGHS|BLANK|BLANK|BLANK|BLANK|BLANK|BLANK|BLANK|BLANK|BLANK,1 NORMAL SWITCH CONTROL|BLANK CONTROL|1 REVERSE SWITCH CONTROL|BLANK CONTROL|2 EASTBOUND SIGNAL CONTROL|BLANK CONTROL|2 WESTBOUND SIGNAL CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL|BLANK CONTROL,1NWK|1TK|1RWK|2EAK|2EGK|2WAK|2WGK|POK|LCK|2TEK|DOK|4TEK|LOK|BLANK|BLANK|BLANK,1 NORMAL SWITCH INDICATION|1 OS TRACK INDICATION|1 REVERSE SWITCH INDICATION|2EAK TRACK INDICATION|2E SIGNAL CLEAR INDICATION|2WAK TRACK INDICATION|2W SIGNAL CLEAR INDICATION|POWER OFF INDICATION|LOCAL CONTROL INDICATION|2E 2W SIGNAL INTIME INDICATION|DOOR OPEN INDICATION|4E 4W SIGNAL INTIME INDICATION|LIGHT OUT INDICATION|BLANK INDICATION|BLANK INDICATION|BLANK INDICATION
5,CDLN-5,CODE LINE LIMITS,ATCS,0,CODE-02A,CODE-02B,WCC 3713,WCC 3714,172.20.20.218,172.20.20.219,1,100008,CP BROADWAY,BROADWAY,CP Broadway,2,SAN DIEGO,100,73405050950202,73405050950202,,,16,24,16,24,1NWS|BLANK|1RWS|BLANK|EGHS|BLANK|WGHS|WCOGHS|3NWS|BLANK|3RWS|BLANK|5NWS|BLANK|5RWS|BLANK,1 NORMAL SWITCH CONTROL|BLANK|1 REVERSE SWITCH CONTROL|BLANK|EASTBOUND SIGNAL CONTROL|BLANK|WESTBOUND SIGNAL CONTROL|WEST CALL-ON CONTROL|3 NORMAL SWITCH CONTROL|BLANK|3 REVERSE SWITCH CONTROL|BLANK|5 NORMAL SWITCH CONTROL|BLANK|5 REVERSE SWITCH CONTROL|BLANK,1NWK|1TK|1RWK|WAK|EGK|TEK|WGK|POK|3NWK|EAAK|3RWK|EBAK|5NWK|ECAK|5RWK|EDAK,1 NORMAL SWITCH INDICATION|1 OS TRACK INDICATION|1 REVERSE SWITCH INDICATION|WA TRACK INDICATION|EASTBOUND SIGNAL INDICATION|E-W SIGNALS IN TIME|WESTBOUND SIGNAL INDICATION|POWER OFF|3 NORMAL SWITCH INDICATION|EA TRACK INDICATION|3 REVERSE SWITCH INDICATION|EB TRACK INDICATION|5 NORMAL SWITCH INDICATION|EC TRACK INDICATION|5 REVERSE SWITCH INDICATION|ED TRACK INDICATION
5,CDLN-5,CODE LINE LIMITS,ATCS,0,CODE-02A,CODE-02B,WCC 3713,WCC 3714,172.20.20.218,172.20.20.219,1,100009,CP EAST BROOK,EAST BROOK,CP East Brook,2,SAN DIEGO,100,73405050480202,73405050480202,,,8,16,8,16,NWS|BLANK|RWS|BLANK|EHS|BLANK|WHS|BLANK,NORMAL SWITCH CONTROL|BLANK CONTROL|REVERSE SWITCH CONTROL|BLANK CONTROL|EASTBOUND SIGNAL CONTROL|BLANK CONTROL|WESTBOUND SIGNAL CONTROL|BLANK CONTROL,NWK|TK|RWK|WAK|EHK|EAAK|WHK|POK|BLANK|TEK|LCK|BLANK|BLANK|EBAK|BLANK|BLANK,NORMAL SWITCH INDICATION|OS TRACK INDICATION|REVERSE SWITCH INDICATION|WAK|EASTBOUND SIGNAL INDICATION|EAAK|WESTBOUND SIGNAL INDICATION|POWER OFF INDICATION|BLANK INDICATION|SIGNAL INTIME INDICATION|LOCAL CONTROL|BLANK INDICATION|BLANK INDICATION|EBAK|BLANK INDICATION|BLANK INDICATION
