component_family,component_uid,parent_control_point_uid,component_name,component_secondary_name,component_detail_name,component_codeline,reference_column,reference_kind,raw_reference_value,raw_reference_part,part_index,reference_format,code_line_number,code_station_number,control_point_number,bit_position,token_1,token_2,token_3,token_4,expected_word_type,resolved_code_line_number,resolved_code_station_number,resolved_control_point_number,resolved_bp_assignment,resolved_word_type,resolved_mnemonic,resolved_long_name,resolved_bit_type,resolved_assignment_uid,match_status,resolution_method,is_default_zero_reference
control_point,100000,100000,CARL,NULL,CP Carl,5,CPCTL1,control,0;1;100000,0;1;100000,1,code_line_station_control_point,0,1,100000,,0,1,100000,,C,,,,,,,,,,unresolved,,False
control_point,100000,100000,CARL,NULL,CP Carl,5,CPCTL10,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100000,100000,CARL,NULL,CP Carl,5,CPCTL11,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100000,100000,CARL,NULL,CP Carl,5,CPCTL12,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100000,100000,CARL,NULL,CP Carl,5,CPCTL13,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100000,100000,CARL,NULL,CP Carl,5,CPCTL2,control,0;1;100000,0;1;100000,1,code_line_station_control_point,0,1,100000,,0,1,100000,,C,,,,,,,,,,unresolved,,False
control_point,100000,100000,CARL,NULL,CP Carl,5,CPCTL3,control,0;1;100000,0;1;100000,1,code_line_station_control_point,0,1,100000,,0,1,100000,,C,,,,,,,,,,unresolved,,False
control_point,100000,100000,CARL,NULL,CP Carl,5,CPCTL4,control,0;1;100000,0;1;100000,1,code_line_station_control_point,0,1,100000,,0,1,100000,,C,,,,,,,,,,unresolved,,False
control_point,100000,100000,CARL,NULL,CP Carl,5,CPCTL5,control,0;1;100000,0;1;100000,1,code_line_station_control_point,0,1,100000,,0,1,100000,,C,,,,,,,,,,unresolved,,False
control_point,100000,100000,CARL,NULL,CP Carl,5,CPCTL6,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
