component_family,component_uid,parent_control_point_uid,component_name,component_secondary_name,component_detail_name,component_codeline,reference_column,reference_kind,raw_reference_value,raw_reference_part,part_index,reference_format,code_line_number,code_station_number,control_point_number,expected_word_type,code_line_name,code_line_limits,station_name,control_address,indication_address,candidate_assignment_count,candidate_bits,candidate_mnemonics,candidate_long_names,candidate_examples,scope_status
control_point,100000,100000,CARL,NULL,CP Carl,5,CPCTL1,control,0;1;100000,0;1;100000,1,code_line_station_control_point,0,1,100000,C,,,,,,0,,,,,no_scope_candidates
control_point,100000,100000,CARL,NULL,CP Carl,5,CPCTL2,control,0;1;100000,0;1;100000,1,code_line_station_control_point,0,1,100000,C,,,,,,0,,,,,no_scope_candidates
control_point,100000,100000,CARL,NULL,CP Carl,5,CPCTL3,control,0;1;100000,0;1;100000,1,code_line_station_control_point,0,1,100000,C,,,,,,0,,,,,no_scope_candidates
control_point,100000,100000,CARL,NULL,CP Carl,5,CPCTL4,control,0;1;100000,0;1;100000,1,code_line_station_control_point,0,1,100000,C,,,,,,0,,,,,no_scope_candidates
control_point,100000,100000,CARL,NULL,CP Carl,5,CPCTL5,control,0;1;100000,0;1;100000,1,code_line_station_control_point,0,1,100000,C,,,,,,0,,,,,no_scope_candidates
control_point,100000,100000,CARL,NULL,CP Carl,5,CPIND1,indication,9;1;100000,9;1;100000,1,code_line_station_control_point,9,1,100000,I,,,,,,0,,,,,no_scope_candidates
control_point,100000,100000,CARL,NULL,CP Carl,5,CPIND10,indication,0;1;100000,0;1;100000,1,code_line_station_control_point,0,1,100000,I,,,,,,0,,,,,no_scope_candidates
control_point,100000,100000,CARL,NULL,CP Carl,5,CPIND2,indication,8;1;100000,8;1;100000,1,code_line_station_control_point,8,1,100000,I,,,,,,0,,,,,no_scope_candidates
control_point,100000,100000,CARL,NULL,CP Carl,5,CPIND3,indication,13;1;100000,13;1;100000,1,code_line_station_control_point,13,1,100000,I,,,,,,0,,,,,no_scope_candidates
control_point,100000,100000,CARL,NULL,CP Carl,5,CPIND4,indication,11;1;100000,11;1;100000,1,code_line_station_control_point,11,1,100000,I,,,,,,0,,,,,no_scope_candidates
control_point,100000,100000,CARL,NULL,CP Carl,5,CPIND5,indication,0;1;100000,0;1;100000,1,code_line_station_control_point,0,1,100000,I,,,,,,0,,,,,no_scope_candidates
control_point,100000,100000,CARL,NULL,CP Carl,5,CPIND6,indication,0;1;100000,0;1;100000,1,code_line_station_control_point,0,1,100000,I,,,,,,0,,,,,no_scope_candidates
control_point,100000,100000,CARL,NULL,CP Carl,5,CPIND7,indication,0;1;100000,0;1;100000,1,code_line_station_control_point,0,1,100000,I,,,,,,0,,,,,no_scope_candidates
control_point,100000,100000,CARL,NULL,CP Carl,5,CPIND8,indication,0;1;100000,0;1;100000,1,code_line_station_control_point,0,1,100000,I,,,,,,0,,,,,no_scope_candidates
control_point,100000,100000,CARL,NULL,CP Carl,5,CPIND9,indication,0;1;100000,0;1;100000,1,code_line_station_control_point,0,1,100000,I,,,,,,0,,,,,no_scope_candidates
control_point,100000,100000,CARL,NULL,CP Carl,5,ScadaAlarmReportingIndicationBit,indication,0;1;100000,0;1;100000,1,code_line_station_control_point,0,1,100000,I,,,,,,0,,,,,no_scope_candidates
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPCTL1,control,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,C,,,,,,0,,,,,no_scope_candidates
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPCTL2,control,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,C,,,,,,0,,,,,no_scope_candidates
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPCTL3,control,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,C,,,,,,0,,,,,no_scope_candidates
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPCTL4,control,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,C,,,,,,0,,,,,no_scope_candidates
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPCTL5,control,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,C,,,,,,0,,,,,no_scope_candidates
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND1,indication,9;1;100001,9;1;100001,1,code_line_station_control_point,9,1,100001,I,,,,,,0,,,,,no_scope_candidates
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND10,indication,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,I,,,,,,0,,,,,no_scope_candidates
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND2,indication,8;1;100001,8;1;100001,1,code_line_station_control_point,8,1,100001,I,,,,,,0,,,,,no_scope_candidates
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND3,indication,13;1;100001,13;1;100001,1,code_line_station_control_point,13,1,100001,I,,,,,,0,,,,,no_scope_candidates
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND4,indication,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,I,,,,,,0,,,,,no_scope_candidates
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND5,indication,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,I,,,,,,0,,,,,no_scope_candidates
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND6,indication,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,I,,,,,,0,,,,,no_scope_candidates
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND7,indication,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,I,,,,,,0,,,,,no_scope_candidates
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND8,indication,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,I,,,,,,0,,,,,no_scope_candidates
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND9,indication,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,I,,,,,,0,,,,,no_scope_candidates
control_point,100001,100001,SONGS,NULL,CP Songs,5,ScadaAlarmReportingIndicationBit,indication,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,I,,,,,,0,,,,,no_scope_candidates
control_point,100002,100002,DON,NULL,CP Don,5,CPCTL1,control,0;1;100002,0;1;100002,1,code_line_station_control_point,0,1,100002,C,,,,,,0,,,,,no_scope_candidates
control_point,100002,100002,DON,NULL,CP Don,5,CPCTL2,control,0;1;100002,0;1;100002,1,code_line_station_control_point,0,1,100002,C,,,,,,0,,,,,no_scope_candidates
control_point,100002,100002,DON,NULL,CP Don,5,CPCTL3,control,0;1;100002,0;1;100002,1,code_line_station_control_point,0,1,100002,C,,,,,,0,,,,,no_scope_candidates
