component_family,reference_column,resolved_mnemonic,resolved_long_name,row_count,distinct_component_count,distinct_parent_control_point_count,sample_component_paths
control_point,CPIND1,LCK,LOCAL CONTROL INDICATION,14,14,14,CARL:CARL|DON:DON|STUART:STUART|MESA:MESA|ROSE:ROSE|SORRENTO:SORRENTO|PACIFIC:PACIFIC|ESCONDIDO JCT:ESCONDIDO JCT|SCRIPPS:SCRIPPS|FARR:FARR|TORREY:TORREY|MIRAMAR:MIRAMAR
control_point,CPIND1,LCK,LOCAL CONTROL,4,4,4,SONGS:SONGS|CUDAHY:CUDAHY|BROADWAY:BROADWAY|SWAMI:SWAMI
control_point,CPIND1,1001MOK,MANUAL OPERATE INDICATION,1,1,1,RAILROAD:RAILROAD
control_point,CPIND1,1003MOK,MANUAL OPERATE INDICATION,1,1,1,WYE:WYE
control_point,CPIND1,1016MOK,MANUAL OPERATE INDICATION,1,1,1,CROUCH:CROUCH
control_point,CPIND1,1026MOK,MANUAL OPERATE INDICATION,1,1,1,TRUE:TRUE
control_point,CPIND1,1029MOK,1029MOK,1,1,1,EL CAMINO:EL CAMINO
control_point,CPIND1,1041MOK,MANUAL OPERATE INDICATION,1,1,1,RANCHO:RANCHO
control_point,CPIND1,1059MOK,MANUAL OPERATE INDICATION,1,1,1,SCHOOL:SCHOOL
control_point,CPIND1,1075MOK,1075MOK LOCAL CONTROL,1,1,1,MELROSE:MELROSE
control_point,CPIND1,1080MOK,MANUAL OPERATE INDICATION,1,1,1,ANGEL:ANGEL
control_point,CPIND1,1101MOK,MANUAL OPERATE INDICATION,1,1,1,CIVIC CTR VISTA:CIVIC CTR VISTA
control_point,CPIND1,1114MOK,MANUAL OPERATE INDICATION,1,1,1,AVENUE:AVENUE
control_point,CPIND1,1124MOK,MANUAL OPERATE INDICATION,1,1,1,BUENA CREEK:BUENA CREEK
control_point,CPIND1,1145MOK,MANUAL OPERATE INDICATION,1,1,1,MISSY:MISSY
control_point,CPIND1,1151MOK,MANUAL OPERATE INDICATION,1,1,1,PALOMAR:PALOMAR
control_point,CPIND1,1165MOK,MANUAL OPERATE INDICATION,1,1,1,LOOP WEST:LOOP WEST
control_point,CPIND1,1177MOK,MANUAL OPERATE INDICATION,1,1,1,SHELLY:SHELLY
control_point,CPIND1,1184MOK,MANUAL OPERATE INDICATION,1,1,1,LOOP EAST:LOOP EAST
control_point,CPIND1,1192MOK,MANUAL OPERATE INDICATION,1,1,1,NORDAHL:NORDAHL
control_point,CPIND1,1211MOK,MANUAL OPERATE INDICATION,1,1,1,YARD:YARD
control_point,CPIND1,995MOK,MANUAL OPERATE INDICATION,1,1,1,OCEAN:OCEAN
control_point,CPIND1,LCK,LOCAL CONTROL INDICAITON,1,1,1,PULGAS:PULGAS
control_point,CPIND1,RWRQR,RWRQR,1,1,1,PONTO:PONTO
control_point,CPIND2,POK,POWER OFF INDICATION,22,22,22,CARL:CARL|SONGS:SONGS|DON:DON|PULGAS:PULGAS|CUDAHY:CUDAHY|STUART:STUART|MESA:MESA|ROSE:ROSE|SORRENTO:SORRENTO|PACIFIC:PACIFIC|SHELL:SHELL|ESCONDIDO JCT:ESCONDIDO JCT
control_point,CPIND2,1001POK,POWER OFF INDICATION,1,1,1,RAILROAD:RAILROAD
control_point,CPIND2,1003POK,POWER OFF INDICATION,1,1,1,WYE:WYE
control_point,CPIND2,1016POK,POWER OFF INDICATION,1,1,1,CROUCH:CROUCH
control_point,CPIND2,1026POK,POWER OFF INDICATION,1,1,1,TRUE:TRUE
control_point,CPIND2,1029POK,1029POK,1,1,1,EL CAMINO:EL CAMINO
control_point,CPIND2,1041POK,POWER OFF INDICATION,1,1,1,RANCHO:RANCHO
control_point,CPIND2,1059POK,POWER OFF INDICATION,1,1,1,SCHOOL:SCHOOL
control_point,CPIND2,1075POK,1075POK POWER OFF,1,1,1,MELROSE:MELROSE
control_point,CPIND2,1080POK,POWER OFF INDICATION,1,1,1,ANGEL:ANGEL
control_point,CPIND2,1091POK,POWER OFF INDICATION,1,1,1,VISTA:VISTA
control_point,CPIND2,1101POK,POWER OFF INDICATION,1,1,1,CIVIC CTR VISTA:CIVIC CTR VISTA
control_point,CPIND2,1114POK,POWER OFF INDICATION,1,1,1,AVENUE:AVENUE
control_point,CPIND2,1124POK,POWER OFF INDICATION,1,1,1,BUENA CREEK:BUENA CREEK
control_point,CPIND2,1145POK,POWER OFF INDICATION,1,1,1,MISSY:MISSY
control_point,CPIND2,1151POK,POWER OFF INDICATION,1,1,1,PALOMAR:PALOMAR
control_point,CPIND2,1165POK,POWER OFF INDICATION,1,1,1,LOOP WEST:LOOP WEST
control_point,CPIND2,1177POK,POWER OFF INDICATION,1,1,1,SHELLY:SHELLY
control_point,CPIND2,1184POK,POWER OFF INDICATION,1,1,1,LOOP EAST:LOOP EAST
control_point,CPIND2,1192POK,POWER OFF INDICATION,1,1,1,NORDAHL:NORDAHL
control_point,CPIND2,1211POK,POWER OFF INDICATION,1,1,1,YARD:YARD
control_point,CPIND2,995POK,POWER OFF INDICATION,1,1,1,OCEAN:OCEAN
control_point,CPIND2,POK,POWER OFF,1,1,1,BROADWAY:BROADWAY
control_point,CPIND2,POK,POWER OFF INDICAITON,1,1,1,MIRAMAR:MIRAMAR
control_point,CPIND3,LOK,LIGHT OUT INDICATION,18,18,18,CARL:CARL|SONGS:SONGS|DON:DON|PULGAS:PULGAS|CUDAHY:CUDAHY|STUART:STUART|MESA:MESA|ROSE:ROSE|BROADWAY:BROADWAY|SORRENTO:SORRENTO|PACIFIC:PACIFIC|SCRIPPS:SCRIPPS
control_point,CPIND3,1001LOK,LIGHT OUT INDICATION,1,1,1,RAILROAD:RAILROAD
control_point,CPIND3,1003LOK,LIGHT OUT INDICATION,1,1,1,WYE:WYE
control_point,CPIND3,1016LOK,LIGHT OUT INDICATION,1,1,1,CROUCH:CROUCH
control_point,CPIND3,1026LOK,LIGHT OUT INDICATION,1,1,1,TRUE:TRUE
control_point,CPIND3,1029LOK,1029LOK,1,1,1,EL CAMINO:EL CAMINO
control_point,CPIND3,1041LOK,LIGHT OUT INDICATION,1,1,1,RANCHO:RANCHO
control_point,CPIND3,1059LOK,LIGHT OUT INDICATION,1,1,1,SCHOOL:SCHOOL
control_point,CPIND3,1075LOK,1075LOK LIGHT OUT,1,1,1,MELROSE:MELROSE
control_point,CPIND3,1080LOK,LIGHT OUT INDICATION,1,1,1,ANGEL:ANGEL
control_point,CPIND3,1101LOK,LIGHT OUT INDICATION,1,1,1,CIVIC CTR VISTA:CIVIC CTR VISTA
control_point,CPIND3,1114LOK,LIGHT OUT INDICATION,1,1,1,AVENUE:AVENUE
control_point,CPIND3,1124LOK,LIGHT OUT INDICATION,1,1,1,BUENA CREEK:BUENA CREEK
control_point,CPIND3,1145LOK,LIGHT OUT INDICATION,1,1,1,MISSY:MISSY
control_point,CPIND3,1151LOK,LIGHT OUT INDICATION,1,1,1,PALOMAR:PALOMAR
