component_family,assignment_owner_type,reference_column,reference_kind,match_status,row_count,distinct_component_count,distinct_parent_control_point_count,subdivision_names,resolved_examples,raw_reference_examples
control_point,direct_control_point_slot,CPCTL1,control,default_zero,2,2,2,SAN DIEGO,,0;0;0;0
control_point,direct_control_point_slot,CPCTL1,control,unresolved,48,48,48,ESCONDIDO|SAN DIEGO,,0;1;100000|0;1;100001|0;1;100002|0;1;100003|0;1;100004|0;1;100005|0;1;100006|0;1;100007|0;1;100008|0;1;100010|0;1;100011|0;1;100012
control_point,direct_control_point_slot,CPCTL10,control,default_zero,48,48,48,ESCONDIDO|SAN DIEGO,,0;0;0;0
control_point,direct_control_point_slot,CPCTL11,control,default_zero,49,49,49,ESCONDIDO|SAN DIEGO,,0;0;0;0
control_point,direct_control_point_slot,CPCTL12,control,default_zero,49,49,49,ESCONDIDO|SAN DIEGO,,0;0;0;0
control_point,direct_control_point_slot,CPCTL13,control,default_zero,49,49,49,ESCONDIDO|SAN DIEGO,,0;0;0;0
control_point,direct_control_point_slot,CPCTL2,control,default_zero,2,2,2,SAN DIEGO,,0;0;0;0
control_point,direct_control_point_slot,CPCTL2,control,unresolved,48,48,48,ESCONDIDO|SAN DIEGO,,0;1;100000|0;1;100001|0;1;100002|0;1;100003|0;1;100004|0;1;100005|0;1;100006|0;1;100007|0;1;100008|0;1;100010|0;1;100011|0;1;100012
control_point,direct_control_point_slot,CPCTL3,control,default_zero,2,2,2,SAN DIEGO,,0;0;0;0
control_point,direct_control_point_slot,CPCTL3,control,unresolved,48,48,48,ESCONDIDO|SAN DIEGO,,0;1;100000|0;1;100001|0;1;100002|0;1;100003|0;1;100004|0;1;100005|0;1;100006|0;1;100007|0;1;100008|0;1;100010|0;1;100011|0;1;100012
control_point,direct_control_point_slot,CPCTL4,control,default_zero,2,2,2,SAN DIEGO,,0;0;0;0
control_point,direct_control_point_slot,CPCTL4,control,unresolved,48,48,48,ESCONDIDO|SAN DIEGO,,0;1;100000|0;1;100001|0;1;100002|0;1;100003|0;1;100004|0;1;100005|0;1;100006|0;1;100007|0;1;100008|0;1;100010|0;1;100011|0;1;100012
