component_family,assignment_owner_type,component_uid,component_name,component_secondary_name,component_detail_name,parent_control_point_uid,parent_control_point_name,ptc_site_name,subdivision_uid,subdivision_name,territory_assignment,station_name,component_codeline,station_code_line_number,station_code_line_name,station_code_station_number,reference_column,reference_kind,slot_number,raw_reference_value,raw_reference_part,reference_format,match_status,resolution_method,resolved_code_line_number,resolved_code_station_number,resolved_control_point_number,resolved_bp_assignment,resolved_mnemonic,resolved_long_name,resolved_bit_type,misc_type,misc_type_of_device,misc_device_category,misc_secondary_text,misc_device_control,misc_control_only,misc_indicate_only,misc_flash_control,misc_flash_indicate,misc_scada_mode,misc_track_interlock_mode
control_point,direct_control_point_slot,100000,CARL,NULL,CP Carl,100000,CARL,CP Carl,2,SAN DIEGO,100,CP CARL,5,5,CDLN-5,1,CPCTL1,control,1,0;1;100000,0;1;100000,code_line_station_control_point,unresolved,,,,,,,,,,,,,,,,,,,
control_point,direct_control_point_slot,100000,CARL,NULL,CP Carl,100000,CARL,CP Carl,2,SAN DIEGO,100,CP CARL,5,5,CDLN-5,1,CPCTL10,control,10,0;0;0;0,0;0;0;0,default_zero,default_zero,,,,,,,,,,,,,,,,,,,
control_point,direct_control_point_slot,100000,CARL,NULL,CP Carl,100000,CARL,CP Carl,2,SAN DIEGO,100,CP CARL,5,5,CDLN-5,1,CPCTL11,control,11,0;0;0;0,0;0;0;0,default_zero,default_zero,,,,,,,,,,,,,,,,,,,
control_point,direct_control_point_slot,100000,CARL,NULL,CP Carl,100000,CARL,CP Carl,2,SAN DIEGO,100,CP CARL,5,5,CDLN-5,1,CPCTL12,control,12,0;0;0;0,0;0;0;0,default_zero,default_zero,,,,,,,,,,,,,,,,,,,
control_point,direct_control_point_slot,100000,CARL,NULL,CP Carl,100000,CARL,CP Carl,2,SAN DIEGO,100,CP CARL,5,5,CDLN-5,1,CPCTL13,control,13,0;0;0;0,0;0;0;0,default_zero,default_zero,,,,,,,,,,,,,,,,,,,
control_point,direct_control_point_slot,100000,CARL,NULL,CP Carl,100000,CARL,CP Carl,2,SAN DIEGO,100,CP CARL,5,5,CDLN-5,1,CPCTL2,control,2,0;1;100000,0;1;100000,code_line_station_control_point,unresolved,,,,,,,,,,,,,,,,,,,
control_point,direct_control_point_slot,100000,CARL,NULL,CP Carl,100000,CARL,CP Carl,2,SAN DIEGO,100,CP CARL,5,5,CDLN-5,1,CPCTL3,control,3,0;1;100000,0;1;100000,code_line_station_control_point,unresolved,,,,,,,,,,,,,,,,,,,
control_point,direct_control_point_slot,100000,CARL,NULL,CP Carl,100000,CARL,CP Carl,2,SAN DIEGO,100,CP CARL,5,5,CDLN-5,1,CPCTL4,control,4,0;1;100000,0;1;100000,code_line_station_control_point,unresolved,,,,,,,,,,,,,,,,,,,
control_point,direct_control_point_slot,100000,CARL,NULL,CP Carl,100000,CARL,CP Carl,2,SAN DIEGO,100,CP CARL,5,5,CDLN-5,1,CPCTL5,control,5,0;1;100000,0;1;100000,code_line_station_control_point,unresolved,,,,,,,,,,,,,,,,,,,
control_point,direct_control_point_slot,100000,CARL,NULL,CP Carl,100000,CARL,CP Carl,2,SAN DIEGO,100,CP CARL,5,5,CDLN-5,1,CPCTL6,control,6,0;0;0;0,0;0;0;0,default_zero,default_zero,,,,,,,,,,,,,,,,,,,
control_point,direct_control_point_slot,100000,CARL,NULL,CP Carl,100000,CARL,CP Carl,2,SAN DIEGO,100,CP CARL,5,5,CDLN-5,1,CPCTL7,control,7,0;0;0;0,0;0;0;0,default_zero,default_zero,,,,,,,,,,,,,,,,,,,
control_point,direct_control_point_slot,100000,CARL,NULL,CP Carl,100000,CARL,CP Carl,2,SAN DIEGO,100,CP CARL,5,5,CDLN-5,1,CPCTL8,control,8,0;0;0;0,0;0;0;0,default_zero,default_zero,,,,,,,,,,,,,,,,,,,
control_point,direct_control_point_slot,100000,CARL,NULL,CP Carl,100000,CARL,CP Carl,2,SAN DIEGO,100,CP CARL,5,5,CDLN-5,1,CPCTL9,control,9,0;0;0;0,0;0;0;0,default_zero,default_zero,,,,,,,,,,,,,,,,,,,
control_point,direct_control_point_slot,100000,CARL,NULL,CP Carl,100000,CARL,CP Carl,2,SAN DIEGO,100,CP CARL,5,5,CDLN-5,1,CPIND1,indication,1,9;1;100000,9;1;100000,code_line_station_control_point,resolved,inferred_bp_assignment_station_control_point_via_unique_cp_line,5,1,100000,9,LCK,LOCAL CONTROL INDICATION,None,,,,,,,,,,,
control_point,direct_control_point_slot,100000,CARL,NULL,CP Carl,100000,CARL,CP Carl,2,SAN DIEGO,100,CP CARL,5,5,CDLN-5,1,CPIND10,indication,10,0;1;100000,0;1;100000,code_line_station_control_point,unresolved,,,,,,,,,,,,,,,,,,,
control_point,direct_control_point_slot,100000,CARL,NULL,CP Carl,100000,CARL,CP Carl,2,SAN DIEGO,100,CP CARL,5,5,CDLN-5,1,CPIND11,indication,11,0;0;100000;5,0;0;100000;5,code_line_station_control_point_bit,unresolved,,,,,,,,,,,,,,,,,,,
control_point,direct_control_point_slot,100000,CARL,NULL,CP Carl,100000,CARL,CP Carl,2,SAN DIEGO,100,CP CARL,5,5,CDLN-5,1,CPIND12,indication,12,0;0;100000;5,0;0;100000;5,code_line_station_control_point_bit,unresolved,,,,,,,,,,,,,,,,,,,
control_point,direct_control_point_slot,100000,CARL,NULL,CP Carl,100000,CARL,CP Carl,2,SAN DIEGO,100,CP CARL,5,5,CDLN-5,1,CPIND13,indication,13,0;0;100000;5,0;0;100000;5,code_line_station_control_point_bit,unresolved,,,,,,,,,,,,,,,,,,,
control_point,direct_control_point_slot,100000,CARL,NULL,CP Carl,100000,CARL,CP Carl,2,SAN DIEGO,100,CP CARL,5,5,CDLN-5,1,CPIND2,indication,2,8;1;100000,8;1;100000,code_line_station_control_point,resolved,inferred_bp_assignment_station_control_point_via_unique_cp_line,5,1,100000,8,POK,POWER OFF INDICATION,None,,,,,,,,,,,
control_point,direct_control_point_slot,100000,CARL,NULL,CP Carl,100000,CARL,CP Carl,2,SAN DIEGO,100,CP CARL,5,5,CDLN-5,1,CPIND3,indication,3,13;1;100000,13;1;100000,code_line_station_control_point,resolved,inferred_bp_assignment_station_control_point_via_unique_cp_line,5,1,100000,13,LOK,LIGHT OUT INDICATION,None,,,,,,,,,,,
control_point,direct_control_point_slot,100000,CARL,NULL,CP Carl,100000,CARL,CP Carl,2,SAN DIEGO,100,CP CARL,5,5,CDLN-5,1,CPIND4,indication,4,11;1;100000,11;1;100000,code_line_station_control_point,resolved,inferred_bp_assignment_station_control_point_via_unique_cp_line,5,1,100000,11,DOK,ILLEGAL ENTRY INDICATION,None,,,,,,,,,,,
control_point,direct_control_point_slot,100000,CARL,NULL,CP Carl,100000,CARL,CP Carl,2,SAN DIEGO,100,CP CARL,5,5,CDLN-5,1,CPIND5,indication,5,0;1;100000,0;1;100000,code_line_station_control_point,unresolved,,,,,,,,,,,,,,,,,,,
control_point,direct_control_point_slot,100000,CARL,NULL,CP Carl,100000,CARL,CP Carl,2,SAN DIEGO,100,CP CARL,5,5,CDLN-5,1,CPIND6,indication,6,0;1;100000,0;1;100000,code_line_station_control_point,unresolved,,,,,,,,,,,,,,,,,,,
