reference_column,component_uid,component_name,parent_control_point_uid,parent_control_point_name,subdivision_name,raw_reference_value,reference_format,diagnostic_rule,local_code_line,local_code_station_number,local_bit_token,diagnostic_match_count,diagnostic_status,diagnostic_candidate_mnemonics,diagnostic_candidate_long_names,diagnostic_candidate_family_set,diagnostic_candidate_examples,cp_triplet_same_raw,cp_triplet_same_diagnostic_status,cp_triplet_same_candidate_examples
CPIND11,200000,OCEAN,200000,OCEAN,ESCONDIDO,0;0;200000;3,code_line_station_control_point_bit,parent_station_local_bit_lookup,6,1,3,1,one_candidate,EGK,EASTBOUND SIGNAL INDICATION,signal_indication,3=EGK:EASTBOUND SIGNAL INDICATION,True,True,True
CPIND12,200000,OCEAN,200000,OCEAN,ESCONDIDO,0;0;200000;3,code_line_station_control_point_bit,parent_station_local_bit_lookup,6,1,3,1,one_candidate,EGK,EASTBOUND SIGNAL INDICATION,signal_indication,3=EGK:EASTBOUND SIGNAL INDICATION,True,True,True
CPIND13,200000,OCEAN,200000,OCEAN,ESCONDIDO,0;0;200000;3,code_line_station_control_point_bit,parent_station_local_bit_lookup,6,1,3,1,one_candidate,EGK,EASTBOUND SIGNAL INDICATION,signal_indication,3=EGK:EASTBOUND SIGNAL INDICATION,True,True,True
CPIND11,200002,RAILROAD,200002,RAILROAD,ESCONDIDO,0;0;200002;3,code_line_station_control_point_bit,parent_station_local_bit_lookup,7,1,3,1,one_candidate,3NWK,RAILMOVEMENT INDICATION,railmovement_indication,3=3NWK:RAILMOVEMENT INDICATION,True,True,True
CPIND12,200002,RAILROAD,200002,RAILROAD,ESCONDIDO,0;0;200002;3,code_line_station_control_point_bit,parent_station_local_bit_lookup,7,1,3,1,one_candidate,3NWK,RAILMOVEMENT INDICATION,railmovement_indication,3=3NWK:RAILMOVEMENT INDICATION,True,True,True
CPIND13,200002,RAILROAD,200002,RAILROAD,ESCONDIDO,0;0;200002;3,code_line_station_control_point_bit,parent_station_local_bit_lookup,7,1,3,1,one_candidate,3NWK,RAILMOVEMENT INDICATION,railmovement_indication,3=3NWK:RAILMOVEMENT INDICATION,True,True,True
CPIND11,200003,TRUE,200003,TRUE,ESCONDIDO,0;0;200003;3,code_line_station_control_point_bit,parent_station_local_bit_lookup,10,1,3,1,one_candidate,EGK,EASTBOUND SIGNAL INDICATION,signal_indication,3=EGK:EASTBOUND SIGNAL INDICATION,True,True,True
CPIND12,200003,TRUE,200003,TRUE,ESCONDIDO,0;0;200003;3,code_line_station_control_point_bit,parent_station_local_bit_lookup,10,1,3,1,one_candidate,EGK,EASTBOUND SIGNAL INDICATION,signal_indication,3=EGK:EASTBOUND SIGNAL INDICATION,True,True,True
CPIND13,200003,TRUE,200003,TRUE,ESCONDIDO,0;0;200003;3,code_line_station_control_point_bit,parent_station_local_bit_lookup,10,1,3,1,one_candidate,EGK,EASTBOUND SIGNAL INDICATION,signal_indication,3=EGK:EASTBOUND SIGNAL INDICATION,True,True,True
CPIND11,200004,WYE,200004,WYE,ESCONDIDO,0;0;200004;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,8,1,1,1,one_candidate,1NWK,1 NORMAL SWITCH INDICATION,switch_indication,1=1NWK:1 NORMAL SWITCH INDICATION,True,True,True
