reference_column,subdivision_name,diagnostic_status,row_count,distinct_parent_control_point_count,local_code_lines,local_code_station_numbers,local_bit_tokens,candidate_mnemonics,candidate_long_names,candidate_examples,triplet_same_raw_count,triplet_same_status_count,triplet_same_candidate_examples_count
CPIND11,ESCONDIDO,one_candidate,22,22,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|6|7|8|9,1,1|3|26,1NWK|3NWK|BLANK|CREGK|EGK,1 NORMAL SWITCH INDICATION|BLANK|BLANK INDICATION|EASTBOUND SIGNAL INDICATION|RAILMOVEMENT INDICATION|SIGNAL CLEAR,3=EGK:EASTBOUND SIGNAL INDICATION|3=3NWK:RAILMOVEMENT INDICATION|1=1NWK:1 NORMAL SWITCH INDICATION|3=CREGK:SIGNAL CLEAR|1=BLANK:BLANK|1=BLANK:BLANK INDICATION|26=BLANK:BLANK INDICATION,22,22,22
CPIND11,ESCONDIDO,zero_candidate,1,1,28,1,28,,,,1,1,0
CPIND12,ESCONDIDO,one_candidate,22,22,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|6|7|8|9,1,1|3|26,1NWK|3NWK|BLANK|CREGK|EGK,1 NORMAL SWITCH INDICATION|BLANK|BLANK INDICATION|EASTBOUND SIGNAL INDICATION|RAILMOVEMENT INDICATION|SIGNAL CLEAR,3=EGK:EASTBOUND SIGNAL INDICATION|3=3NWK:RAILMOVEMENT INDICATION|1=1NWK:1 NORMAL SWITCH INDICATION|3=CREGK:SIGNAL CLEAR|1=BLANK:BLANK|1=BLANK:BLANK INDICATION|26=BLANK:BLANK INDICATION,22,22,22
CPIND12,ESCONDIDO,zero_candidate,1,1,28,1,28,,,,1,1,0
CPIND13,ESCONDIDO,one_candidate,22,22,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|6|7|8|9,1,1|3|26,1NWK|3NWK|BLANK|CREGK|EGK,1 NORMAL SWITCH INDICATION|BLANK|BLANK INDICATION|EASTBOUND SIGNAL INDICATION|RAILMOVEMENT INDICATION|SIGNAL CLEAR,3=EGK:EASTBOUND SIGNAL INDICATION|3=3NWK:RAILMOVEMENT INDICATION|1=1NWK:1 NORMAL SWITCH INDICATION|3=CREGK:SIGNAL CLEAR|1=BLANK:BLANK|1=BLANK:BLANK INDICATION|26=BLANK:BLANK INDICATION,22,22,22
CPIND13,ESCONDIDO,zero_candidate,1,1,28,1,28,,,,1,1,0
CPIND11,SAN DIEGO,one_candidate,17,17,5,1,5,2EGK|2EHK|5NWK|EGK|EHK|WHK,2 EASTBOUND SIGNAL INDICATION|2E SIGNAL CLEAR INDICATION|5 NORMAL SWITCH INDICATION|EASTBOUND SIGNAL INDICATION|WESTBOUND SIGNAL INDICATION,5=EGK:EASTBOUND SIGNAL INDICATION|5=2EGK:2 EASTBOUND SIGNAL INDICATION|5=2EHK:2 EASTBOUND SIGNAL INDICATION|5=2EGK:2E SIGNAL CLEAR INDICATION|5=EHK:EASTBOUND SIGNAL INDICATION|5=WHK:WESTBOUND SIGNAL INDICATION|5=5NWK:5 NORMAL SWITCH INDICATION,17,17,17
CPIND11,SAN DIEGO,zero_candidate,8,8,5,1,0,,,,8,8,0
CPIND12,SAN DIEGO,one_candidate,17,17,5,1,5,2EGK|2EHK|5NWK|EGK|EHK|WHK,2 EASTBOUND SIGNAL INDICATION|2E SIGNAL CLEAR INDICATION|5 NORMAL SWITCH INDICATION|EASTBOUND SIGNAL INDICATION|WESTBOUND SIGNAL INDICATION,5=EGK:EASTBOUND SIGNAL INDICATION|5=2EGK:2 EASTBOUND SIGNAL INDICATION|5=2EHK:2 EASTBOUND SIGNAL INDICATION|5=2EGK:2E SIGNAL CLEAR INDICATION|5=EHK:EASTBOUND SIGNAL INDICATION|5=WHK:WESTBOUND SIGNAL INDICATION|5=5NWK:5 NORMAL SWITCH INDICATION,17,17,17
CPIND12,SAN DIEGO,zero_candidate,8,8,5,1,0,,,,8,8,0
CPIND13,SAN DIEGO,one_candidate,17,17,5,1,5,2EGK|2EHK|5NWK|EGK|EHK|WHK,2 EASTBOUND SIGNAL INDICATION|2E SIGNAL CLEAR INDICATION|5 NORMAL SWITCH INDICATION|EASTBOUND SIGNAL INDICATION|WESTBOUND SIGNAL INDICATION,5=EGK:EASTBOUND SIGNAL INDICATION|5=2EGK:2 EASTBOUND SIGNAL INDICATION|5=2EHK:2 EASTBOUND SIGNAL INDICATION|5=2EGK:2E SIGNAL CLEAR INDICATION|5=EHK:EASTBOUND SIGNAL INDICATION|5=WHK:WESTBOUND SIGNAL INDICATION|5=5NWK:5 NORMAL SWITCH INDICATION,17,17,17
CPIND13,SAN DIEGO,zero_candidate,8,8,5,1,0,,,,8,8,0
