component_family,assignment_owner_type,reference_column,reference_kind,reference_format,structural_class,preferred_scope_source,subdivision_name,row_count,distinct_component_count,distinct_parent_control_point_count,scope_code_lines,scope_candidate_count_values,has_resolved_sibling_row_count,candidate_examples,resolved_sibling_examples
control_point,direct_control_point_slot,CPCTL1,control,code_line_station_control_point,scoped_zero_first_without_resolved_sibling,component_codeline,SAN DIEGO,25,25,25,5,8|16|24|28,0,1=1NWS:1 NORMAL SWITCH CONTROL|2=BLANK:BLANK CONTROL|3=1RWS:1 REVERSE SWITCH CONTROL|4=BLANK:BLANK CONTROL|5=EGHS:EASTBOUND SIGNAL CONTROL|6=BLANK:BLANK CONTROL|7=WGHS:WESTBOUND SIGNAL CONTROL|8=BLANK:BLANK CONTROL|1=1NWS:NORMAL SWITCH CONTROL|3=1RWS:REVERSE SWITCH CONTROL|6=BLANK:BLANK|2=1RWS:1 REVERSE SWITCH CONTROL|3=3NWS:3 NORMAL SWITCH CONTROL|4=3RWS:3 REVERSE SWITCH CONTROL|5=2EGHS:2 EASTBOUND SIGNAL CONTROL|6=2WGHS:2 WESTBOUND SIGNAL CONTROL|7=4EGHS:4 EASTBOUND SIGNAL CONTROL|8=4WGHS:4 WESTBOUND SIGNAL CONTROL|1=NWS:NORMAL SWITCH CONTROL|3=RWS:REVERSE SWITCH CONTROL|4=BLANK:BLANK|5=2EHS:2 EASTBOUND SIGNAL CONTROL|7=2WHS:2 WESTBOUND SIGNAL CONTROL|7=2WGHS:2 WESTBOUND SIGNAL CONTROL,
control_point,direct_control_point_slot,CPCTL2,control,code_line_station_control_point,scoped_zero_first_without_resolved_sibling,component_codeline,SAN DIEGO,25,25,25,5,8|16|24|28,0,1=1NWS:1 NORMAL SWITCH CONTROL|2=BLANK:BLANK CONTROL|3=1RWS:1 REVERSE SWITCH CONTROL|4=BLANK:BLANK CONTROL|5=EGHS:EASTBOUND SIGNAL CONTROL|6=BLANK:BLANK CONTROL|7=WGHS:WESTBOUND SIGNAL CONTROL|8=BLANK:BLANK CONTROL|1=1NWS:NORMAL SWITCH CONTROL|3=1RWS:REVERSE SWITCH CONTROL|6=BLANK:BLANK|2=1RWS:1 REVERSE SWITCH CONTROL|3=3NWS:3 NORMAL SWITCH CONTROL|4=3RWS:3 REVERSE SWITCH CONTROL|5=2EGHS:2 EASTBOUND SIGNAL CONTROL|6=2WGHS:2 WESTBOUND SIGNAL CONTROL|7=4EGHS:4 EASTBOUND SIGNAL CONTROL|8=4WGHS:4 WESTBOUND SIGNAL CONTROL|1=NWS:NORMAL SWITCH CONTROL|3=RWS:REVERSE SWITCH CONTROL|4=BLANK:BLANK|5=2EHS:2 EASTBOUND SIGNAL CONTROL|7=2WHS:2 WESTBOUND SIGNAL CONTROL|7=2WGHS:2 WESTBOUND SIGNAL CONTROL,
control_point,direct_control_point_slot,CPCTL3,control,code_line_station_control_point,scoped_zero_first_without_resolved_sibling,component_codeline,SAN DIEGO,25,25,25,5,8|16|24|28,0,1=1NWS:1 NORMAL SWITCH CONTROL|2=BLANK:BLANK CONTROL|3=1RWS:1 REVERSE SWITCH CONTROL|4=BLANK:BLANK CONTROL|5=EGHS:EASTBOUND SIGNAL CONTROL|6=BLANK:BLANK CONTROL|7=WGHS:WESTBOUND SIGNAL CONTROL|8=BLANK:BLANK CONTROL|1=1NWS:NORMAL SWITCH CONTROL|3=1RWS:REVERSE SWITCH CONTROL|6=BLANK:BLANK|2=1RWS:1 REVERSE SWITCH CONTROL|3=3NWS:3 NORMAL SWITCH CONTROL|4=3RWS:3 REVERSE SWITCH CONTROL|5=2EGHS:2 EASTBOUND SIGNAL CONTROL|6=2WGHS:2 WESTBOUND SIGNAL CONTROL|7=4EGHS:4 EASTBOUND SIGNAL CONTROL|8=4WGHS:4 WESTBOUND SIGNAL CONTROL|1=NWS:NORMAL SWITCH CONTROL|3=RWS:REVERSE SWITCH CONTROL|4=BLANK:BLANK|5=2EHS:2 EASTBOUND SIGNAL CONTROL|7=2WHS:2 WESTBOUND SIGNAL CONTROL|7=2WGHS:2 WESTBOUND SIGNAL CONTROL,
control_point,direct_control_point_slot,CPCTL4,control,code_line_station_control_point,scoped_zero_first_without_resolved_sibling,component_codeline,SAN DIEGO,25,25,25,5,8|16|24|28,0,1=1NWS:1 NORMAL SWITCH CONTROL|2=BLANK:BLANK CONTROL|3=1RWS:1 REVERSE SWITCH CONTROL|4=BLANK:BLANK CONTROL|5=EGHS:EASTBOUND SIGNAL CONTROL|6=BLANK:BLANK CONTROL|7=WGHS:WESTBOUND SIGNAL CONTROL|8=BLANK:BLANK CONTROL|1=1NWS:NORMAL SWITCH CONTROL|3=1RWS:REVERSE SWITCH CONTROL|6=BLANK:BLANK|2=1RWS:1 REVERSE SWITCH CONTROL|3=3NWS:3 NORMAL SWITCH CONTROL|4=3RWS:3 REVERSE SWITCH CONTROL|5=2EGHS:2 EASTBOUND SIGNAL CONTROL|6=2WGHS:2 WESTBOUND SIGNAL CONTROL|7=4EGHS:4 EASTBOUND SIGNAL CONTROL|8=4WGHS:4 WESTBOUND SIGNAL CONTROL|1=NWS:NORMAL SWITCH CONTROL|3=RWS:REVERSE SWITCH CONTROL|4=BLANK:BLANK|5=2EHS:2 EASTBOUND SIGNAL CONTROL|7=2WHS:2 WESTBOUND SIGNAL CONTROL|7=2WGHS:2 WESTBOUND SIGNAL CONTROL,
control_point,direct_control_point_slot,CPCTL5,control,code_line_station_control_point,scoped_zero_first_without_resolved_sibling,component_codeline,SAN DIEGO,25,25,25,5,8|16|24|28,0,1=1NWS:1 NORMAL SWITCH CONTROL|2=BLANK:BLANK CONTROL|3=1RWS:1 REVERSE SWITCH CONTROL|4=BLANK:BLANK CONTROL|5=EGHS:EASTBOUND SIGNAL CONTROL|6=BLANK:BLANK CONTROL|7=WGHS:WESTBOUND SIGNAL CONTROL|8=BLANK:BLANK CONTROL|1=1NWS:NORMAL SWITCH CONTROL|3=1RWS:REVERSE SWITCH CONTROL|6=BLANK:BLANK|2=1RWS:1 REVERSE SWITCH CONTROL|3=3NWS:3 NORMAL SWITCH CONTROL|4=3RWS:3 REVERSE SWITCH CONTROL|5=2EGHS:2 EASTBOUND SIGNAL CONTROL|6=2WGHS:2 WESTBOUND SIGNAL CONTROL|7=4EGHS:4 EASTBOUND SIGNAL CONTROL|8=4WGHS:4 WESTBOUND SIGNAL CONTROL|1=NWS:NORMAL SWITCH CONTROL|3=RWS:REVERSE SWITCH CONTROL|4=BLANK:BLANK|5=2EHS:2 EASTBOUND SIGNAL CONTROL|7=2WHS:2 WESTBOUND SIGNAL CONTROL|7=2WGHS:2 WESTBOUND SIGNAL CONTROL,
control_point,direct_control_point_slot,CPIND10,indication,code_line_station_control_point,scoped_zero_first_without_resolved_sibling,component_codeline,SAN DIEGO,25,25,25,5,16|23|24|40|48,0,1=1NWK:1 NORMAL SWITCH INDICATION|2=1TK:1 OS TRACK INDICATION|3=1RWK:1 REVERSE SWITCH INDICATION|4=EAK:EAK|5=EGK:EASTBOUND SIGNAL INDICATION|6=WAAK:WAAK|7=WGK:WESTBOUND SIGNAL INDICATION|8=POK:POWER OFF INDICATION|1=1NWK:NORMAL SWITCH INDICATION|2=TK:OS TRACK INDICATION|3=1RWK:REVERSE SWITCH INDICATION|2=1RWK:1 REVERSE SWITHC INDICATION|3=3NWK:3 NORMAL SWITCH INDICATION|4=3RWK:3 REVERSE SWITCH INDICATION|5=2EGK:2 EASTBOUND SIGNAL INDICATION|6=2WGK:2 WESTBOUND SIGNAL INDICATION|7=4EGK:4 EASTBOUND SIGNAL INDICATION|8=4WGK:4 WESTBOUND SIGNAL INDICATION|1=NWK:NORMAL SWITCH INDICATION|3=RWK:REVERSE SWITCH INDICATION|2=1RWK:1 REVERSE SWITCH INDICATION|4=2EAAK:2EAAK|5=2EHK:2 EASTBOUND SIGNAL INDICATION|6=2WAAK:2WAAK,
control_point,direct_control_point_slot,CPIND11,indication,code_line_station_control_point_bit,unscoped_zero_first_without_resolved_sibling,,SAN DIEGO,25,25,25,,,0,,
control_point,direct_control_point_slot,CPIND12,indication,code_line_station_control_point_bit,unscoped_zero_first_without_resolved_sibling,,SAN DIEGO,25,25,25,,,0,,
control_point,direct_control_point_slot,CPIND13,indication,code_line_station_control_point_bit,unscoped_zero_first_without_resolved_sibling,,SAN DIEGO,25,25,25,,,0,,
control_point,direct_control_point_slot,CPIND5,indication,code_line_station_control_point,scoped_zero_first_without_resolved_sibling,component_codeline,SAN DIEGO,25,25,25,5,16|23|24|40|48,0,1=1NWK:1 NORMAL SWITCH INDICATION|2=1TK:1 OS TRACK INDICATION|3=1RWK:1 REVERSE SWITCH INDICATION|4=EAK:EAK|5=EGK:EASTBOUND SIGNAL INDICATION|6=WAAK:WAAK|7=WGK:WESTBOUND SIGNAL INDICATION|8=POK:POWER OFF INDICATION|1=1NWK:NORMAL SWITCH INDICATION|2=TK:OS TRACK INDICATION|3=1RWK:REVERSE SWITCH INDICATION|2=1RWK:1 REVERSE SWITHC INDICATION|3=3NWK:3 NORMAL SWITCH INDICATION|4=3RWK:3 REVERSE SWITCH INDICATION|5=2EGK:2 EASTBOUND SIGNAL INDICATION|6=2WGK:2 WESTBOUND SIGNAL INDICATION|7=4EGK:4 EASTBOUND SIGNAL INDICATION|8=4WGK:4 WESTBOUND SIGNAL INDICATION|1=NWK:NORMAL SWITCH INDICATION|3=RWK:REVERSE SWITCH INDICATION|2=1RWK:1 REVERSE SWITCH INDICATION|4=2EAAK:2EAAK|5=2EHK:2 EASTBOUND SIGNAL INDICATION|6=2WAAK:2WAAK,
