component_family,assignment_owner_type,reference_column,reference_kind,row_count,resolved_count,unresolved_count,default_zero_count,distinct_component_count,distinct_parent_control_point_count,distinct_codeline_count,subdivision_names,reference_formats,resolution_methods,top_unresolved_raw_values,top_default_zero_values,top_resolved_reference_values,top_resolved_mnemonics,top_resolved_long_names
switch,switch_reference,RCPSIndicationBits,indication,495,0,495,0,99,40,14,ESCONDIDO|SAN DIEGO,code_line_station_control_point,,0;1;100013|0;1;100013|0;1;100013|0;1;100013|0;1;100013|0;1;200027|0;1;200027|0;1;200027|0;1;200027|0;1;200027|0;1;100033|0;1;100033|0;1;100033|0;1;100033|0;1;100033|0;1;100009|0;1;100009|0;1;100009|0;1;100009|0;1;100009|0;1;100017|0;1;100017|0;1;100017|0;1;100017|0;1;100017|0;1;100002|0;1;100002|0;1;100002|0;1;100002|0;1;100002|0;1;100004|0;1;100004|0;1;100004|0;1;100004|0;1;100004|0;1;100005|0;1;100005|0;1;100005|0;1;100005|0;1;100005|0;1;100006|0;1;100006|0;1;100006|0;1;100006|0;1;100006|0;1;100007|0;1;100007|0;1;100007|0;1;100007|0;1;100007|0;1;100020|0;1;100020|0;1;100020|0;1;100020|0;1;100020|0;1;100001|0;1;100001|0;1;100001|0;1;100001|0;1;100001,,,,
track,track_reference,TIND,indication,442,0,442,0,442,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit,,0;1;100006;0005|0;1;100033;0005|0;1;200027;0027|0;1;100008;0005|0;1;100017;0005|0;1;100031;0005|0;1;100002;0005|0;1;100013;0005|0;1;100007;0005|0;1;100010;0005|0;1;100005;0005|0;1;100027;0005,,,,
track,track_reference,PCTL,control,444,0,441,3,444,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit|default_zero,,0;1;100033;0005|0;1;100013;0005|0;1;200027;0027|0;1;100008;0005|0;1;100006;0005|0;1;100007;0005|0;1;100002;0005|0;1;100004;0005|0;1;100001;0005|0;1;100005;0005|0;1;100020;0005|0;1;100027;0005,0;0;0;0,,,
track,track_reference,TCTL,control,444,0,441,3,444,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit|default_zero,,0;1;100033;0005|0;1;100013;0005|0;1;200027;0027|0;1;100008;0005|0;1;100006;0005|0;1;100007;0005|0;1;100002;0005|0;1;100004;0005|0;1;100001;0005|0;1;100005;0005|0;1;100020;0005|0;1;100027;0005,0;0;0;0,,,
track,track_reference,SCTL,control,444,1,440,3,444,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit|default_zero,inferred_bp_assignment_station_control_point_with_trailing_code_line,0;1;100033;0005|0;1;100013;0005|0;1;200027;0027|0;1;100008;0005|0;1;100006;0005|0;1;100007;0005|0;1;100002;0005|0;1;100004;0005|0;1;100001;0005|0;1;100005;0005|0;1;100020;0005|0;1;100027;0005,0;0;0;0,11;1;200002;0007,3WBLZ,25 TRACK BLOCK
track,track_reference,SIND,indication,444,31,413,0,444,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit,inferred_bp_assignment_station_control_point_with_trailing_code_line,0;1;100033;0005|0;1;200027;0027|0;1;100013;0005|0;1;100008;0005|0;1;100004;0005|0;1;100007;0005|0;1;100002;0005|0;1;100006;0005|0;1;100005;0005|0;1;100027;0005|0;1;100001;0005|0;1;100020;0005,,4;1;100017;0005|20;1;100017;0005|4;1;100000;0005|14;1;100002;0005|4;1;100005;0005|20;1;100005;0005|13;1;100035;0005|4;1;100006;0005|14;1;100009;0005|6;1;100009;0005|20;1;100006;0005|14;1;100025;0005,2EAK|4EAK|EAAK|EAK|EBAK|2EAAK|2WAK|3WBLK|4EAAK|4WAK|6EAK|BLANK,4EAK|EAAK|2EAK|EAK|EBAK|2 EASTBOUND TRACK INDICATION|2EA TRACK CIRCUIT INDICATION|2EAAK|2WAK|4EA TRACK CIRCUIT INDICATION|4EAAK|4WAK
switch,switch_reference,RCPSControlBits,control,396,0,396,0,99,40,14,ESCONDIDO|SAN DIEGO,code_line_station_control_point,,0;1;100013|0;1;100013|0;1;100013|0;1;100013|0;1;200027|0;1;200027|0;1;200027|0;1;200027|0;1;100033|0;1;100033|0;1;100033|0;1;100033|0;1;100009|0;1;100009|0;1;100009|0;1;100009|0;1;100017|0;1;100017|0;1;100017|0;1;100017|0;1;100002|0;1;100002|0;1;100002|0;1;100002|0;1;100004|0;1;100004|0;1;100004|0;1;100004|0;1;100005|0;1;100005|0;1;100005|0;1;100005|0;1;100006|0;1;100006|0;1;100006|0;1;100006|0;1;100007|0;1;100007|0;1;100007|0;1;100007|0;1;100020|0;1;100020|0;1;100020|0;1;100020|0;1;100001|0;1;100001|0;1;100001|0;1;100001,,,,
signal,signal_reference,SCTL,control,330,1,329,0,165,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit,inferred_bp_assignment_station_control_point_with_trailing_code_line,0;1;100013;0005|0;1;100013;0005|0;1;100033;0005|0;1;100033;0005|0;1;200027;0027|0;1;200027;0027|0;1;100005;0005|0;1;100005;0005|0;1;100006;0005|0;1;100006;0005|0;1;100008;0005|0;1;100008;0005|0;1;200017;0022|0;1;200017;0022|0;1;100002;0005|0;1;100002;0005|0;1;100004;0005|0;1;100004;0005|0;1;100007;0005|0;1;100007;0005|0;1;100010;0005|0;1;100010;0005|0;1;100017;0005|0;1;100017;0005,,0;1;200017;0022|6;1;200017;0022,EGNS,TRAIN READY
signal,signal_reference,TCTL,control,330,12,318,0,165,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit,explicit_code_line_station_control_point_bp_assignment,0;1;100013;0005|0;1;100013;0005|0;1;100033;0005|0;1;100033;0005|0;1;200017;0022|0;1;200017;0022|0;1;200027;0027|0;1;200027;0027|0;1;100005;0005|0;1;100005;0005|0;1;100006;0005|0;1;100006;0005|0;1;100008;0005|0;1;100008;0005|0;1;100002;0005|0;1;100002;0005|0;1;100004;0005|0;1;100004;0005|0;1;100007;0005|0;1;100007;0005|0;1;100010;0005|0;1;100010;0005|0;1;100017;0005|0;1;100017;0005,,5;1;100012;0005|0;1;100012;0005|5;1;100018;0005|0;1;100018;0005|5;1;100023;0005|0;1;100023;0005|5;1;100024;0005|0;1;100024;0005,SIGSTOP,SGHS
track,track_reference,QCTL,control,312,0,309,3,312,42,16,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit|default_zero,,0;1;100033;0005|0;1;100013;0005|0;1;100008;0005|0;1;100006;0005|0;1;100007;0005|0;0;0;0000|0;1;100002;0005|0;1;100004;0005|0;1;100005;0005|0;1;100020;0005|0;1;100027;0005|0;1;100017;0005,0;0;0;0,,,
