route_guid,system_uid,control_point_uid,control_point_name,entry_signal_uid,entry_signal_name,exit_signal_uid,exit_signal_name,switch_uid,switch_name,switch_tooltip_name,required_state,switch_order,switch_list_raw
040@100,7457FFCEAF,100000,CARL,100729,W-SIGNAL,100727,E-SIGNAL,100730,1-SWITCH,1-SWITCH,TRUE,1,100730;4-SWITCH;TRUE
052@100,9CCDD218AE,100000,CARL,100974,W-SIGNAL,100727,E-SIGNAL,100730,1-SWITCH,1-SWITCH,FALSE,1,100730;4-SWITCH;FALSE
137@100,F791F2916F,100000,CARL,100727,E-SIGNAL,100974,W-SIGNAL,100730,1-SWITCH,1-SWITCH,FALSE,1,100730;4-SWITCH;FALSE
177@100,F173A5E384,100000,CARL,100727,E-SIGNAL,100729,W-SIGNAL,100730,1-SWITCH,1-SWITCH,TRUE,1,100730;4-SWITCH;TRUE
001@100,10BB8117F9,100001,SONGS,100122,W-SIGNAL,100121,E-SIGNAL,100124,1-SWITCH,1-SWITCH,FALSE,1,100124;28-SWITCH;FALSE
002@100,FF164C1EBD,100001,SONGS,100123,W-SIGNAL,100121,E-SIGNAL,100124,1-SWITCH,1-SWITCH,TRUE,1,100124;28-SWITCH;TRUE
101@100,82B3D27773,100001,SONGS,100121,E-SIGNAL,100122,W-SIGNAL,100124,1-SWITCH,1-SWITCH,FALSE,1,100124;28-SWITCH;FALSE
150@100,E49894DDF6,100001,SONGS,100121,E-SIGNAL,100123,W-SIGNAL,100124,1-SWITCH,1-SWITCH,TRUE,1,100124;28-SWITCH;TRUE
005@100,E4B5C805B9,100002,DON,100151,2W-SIGNAL,100148,2E-SIGNAL,100150,3-SWITCH,3X,FALSE,1,100150;3-SWITCH;FALSE|100149;1-SWITCH;FALSE
005@100,E4B5C805B9,100002,DON,100151,2W-SIGNAL,100148,2E-SIGNAL,100149,1-SWITCH,1X,FALSE,2,100150;3-SWITCH;FALSE|100149;1-SWITCH;FALSE
008@100,01450EB5FA,100002,DON,100170,4W-SIGNAL,100167,4E-SIGNAL,100169,3-SWITCH,3-SWITCH,FALSE,1,100169;3-SWITCH;FALSE|100168;1-SWITCH;FALSE
008@100,01450EB5FA,100002,DON,100170,4W-SIGNAL,100167,4E-SIGNAL,100168,1-SWITCH,1-SWITCH,FALSE,2,100169;3-SWITCH;FALSE|100168;1-SWITCH;FALSE
053@100,B446289AF5,100002,DON,100151,2W-SIGNAL,100167,4E-SIGNAL,100150,3-SWITCH,3X,TRUE,1,100150;3-SWITCH;TRUE|100169;3-SWITCH;TRUE|100168;1-SWITCH;FALSE
053@100,B446289AF5,100002,DON,100151,2W-SIGNAL,100167,4E-SIGNAL,100169,3-SWITCH,3-SWITCH,TRUE,2,100150;3-SWITCH;TRUE|100169;3-SWITCH;TRUE|100168;1-SWITCH;FALSE
053@100,B446289AF5,100002,DON,100151,2W-SIGNAL,100167,4E-SIGNAL,100168,1-SWITCH,1-SWITCH,FALSE,3,100150;3-SWITCH;TRUE|100169;3-SWITCH;TRUE|100168;1-SWITCH;FALSE
056@100,990C89C452,100002,DON,100170,4W-SIGNAL,100148,2E-SIGNAL,100169,3-SWITCH,3-SWITCH,FALSE,1,100169;3-SWITCH;FALSE|100168;1-SWITCH;TRUE|100149;1-SWITCH;TRUE
