signal_uid,control_point_uid,subdivision_name,codeline,signal_name,tool_tip_name,signal_type,authority_type,territory_assignment,subdivision_number,in_time_type,call_on_flag,near_side_signal_enabled,holding_signal,fleeting,stacking,blocking,allow_automatic_mode,call_on_controlled,signal_controlled,pind_raw,pctl_raw,sind_raw,sctl_raw,tind_raw,tctl_raw,fleet_control_bit_raw,in_time_bit_raw,near_side_signal_bit_control_raw,near_side_signal_bit_indication_raw,call_on_bit_raw,block_ind_bit_raw,pctl_primary_part,pctl_secondary_part,sctl_primary_part,sctl_secondary_part,tctl_primary_part,tctl_secondary_part,tctl_equals_sctl_raw,tind_equals_sind_raw,fleet_equals_tind_raw,pctl_secondary_equals_sctl_primary,pctl_secondary_equals_tctl_primary,sctl_primary_equals_tctl_primary,sctl_secondary_equals_tctl_primary,sctl_secondary_equals_tctl_secondary,near_side_ctl_equals_ind,call_on_non_default_matches_flag,entry_route_count,exit_route_count,route_total_count,pind_cp_alignment,sind_cp_alignment,tind_cp_alignment,fleet_cp_alignment,in_time_cp_alignment,near_side_ctl_cp_alignment,near_side_ind_cp_alignment,call_on_cp_alignment,pctl_primary_cp_alignment,pctl_secondary_cp_alignment,sctl_primary_cp_alignment,sctl_secondary_cp_alignment,tctl_primary_cp_alignment,tctl_secondary_cp_alignment,pind_resolved_count,pind_resolved_mnemonics,pind_resolved_long_names,pctl_resolved_count,pctl_unresolved_count,pctl_resolved_mnemonics,pctl_resolved_long_names,sind_resolved_count,sind_unresolved_count,sind_resolved_mnemonics,sind_resolved_long_names,sctl_resolved_count,sctl_unresolved_count,sctl_resolved_mnemonics,sctl_resolved_long_names,tctl_resolved_count,tctl_unresolved_count,tctl_resolved_mnemonics,tctl_resolved_long_names,tind_resolved_count,tind_unresolved_count,fleet_resolved_count,fleet_unresolved_count,in_time_resolved_count,in_time_unresolved_count,in_time_resolved_mnemonics,in_time_resolved_long_names,near_side_ctl_resolved_count,near_side_ctl_unresolved_count,near_side_ctl_default_zero_count,near_side_ctl_resolved_mnemonics,near_side_ind_resolved_count,near_side_ind_unresolved_count,near_side_ind_default_zero_count,near_side_ind_resolved_mnemonics,call_on_resolved_count,call_on_unresolved_count,call_on_default_zero_count,call_on_resolved_mnemonics,call_on_resolved_long_names,block_ind_resolved_count,block_ind_unresolved_count,block_ind_default_zero_count
200112,200000,ESCONDIDO,6,11E-SIGNAL,E-SIGNAL,R,CTC,200,1,INTIMEBIT,False,False,False,True,True,True,False,,,3;1;200000;0006,3;1;200000;0006|0;1;200000;0006,0;1;200000;0006,0;1;200000;0006|0;1;200000;0006,0;1;200000;0006,0;1;200000;0006|0;1;200000;0006,0;1;200000;0006,5;1;200000,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,3;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,True,True,True,True,True,True,True,True,True,True,1,1,2,same_cp,same_cp,same_cp,same_cp,same_cp,default_zero,default_zero,default_zero,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,1,EGK,EASTBOUND SIGNAL INDICATION,1,1,EGHS,EASTBOUND SIGNAL CONTROL,0,1,,,0,2,,,0,2,,,0,1,0,1,1,0,TEK,SIGNAL INTIME INDICATION,0,0,1,,0,0,1,,0,0,1,,,0,0,1
200113,200000,ESCONDIDO,6,11E-SIGNAL,11E-SIGNAL,R,CTC,200,1,INTIMEBIT,False,False,False,True,True,True,False,,,3;1;200000;0006,3;1;200000;0006|0;1;200000;0006,0;1;200000;0006,0;1;200000;0006|0;1;200000;0006,0;1;200000;0006,0;1;200000;0006|0;1;200000;0006,0;1;200000;0006,5;1;200000,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,3;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,True,True,True,True,True,True,True,True,True,True,1,1,2,same_cp,same_cp,same_cp,same_cp,same_cp,default_zero,default_zero,default_zero,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,1,EGK,EASTBOUND SIGNAL INDICATION,1,1,EGHS,EASTBOUND SIGNAL CONTROL,0,1,,,0,2,,,0,2,,,0,1,0,1,1,0,TEK,SIGNAL INTIME INDICATION,0,0,1,,0,0,1,,0,0,1,,,0,0,1
200119,200000,ESCONDIDO,6,12W-SIGNAL,W-SIGNAL,L,CTC,200,1,INTIMEBIT,True,False,False,True,True,True,False,,,4;1;200000;0006,4;1;200000;0006|0;1;200000;0006,0;1;200000;0006,0;1;200000;0006|0;1;200000;0006,0;1;200000;0006,0;1;200000;0006|0;1;200000;0006,0;1;200000;0006,5;1;200000,0;0;0;0,0;0;0;0,5;1;200000;0006,0;0;0;0,4;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,True,True,True,True,True,True,True,True,True,True,2,2,4,same_cp,same_cp,same_cp,same_cp,same_cp,default_zero,default_zero,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,1,WGK,WESTBOUND SIGNAL INDICATION,1,1,WGHS,WESTBOUND SIGNAL CONTROL,0,1,,,0,2,,,0,2,,,0,1,0,1,1,0,TEK,SIGNAL INTIME INDICATION,0,0,1,,0,0,1,,1,0,0,WGHCOS,SIGNAL CALL ON,0,0,1
200130,200002,ESCONDIDO,7,1E-SIGNAL,1E-SIGNAL,R,CTC,200,1,INTIMEBIT,False,False,False,True,True,True,False,,,5;1;200002;0007,5;1;200002;0007|0;1;200002;0007,0;1;200002;0007,0;1;200002;0007|0;1;200002;0007,0;1;200002;0007,0;1;200002;0007|0;1;200002;0007,0;1;200002;0007,8;1;200002,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,5;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,True,True,True,True,True,True,True,True,True,True,1,1,2,same_cp,same_cp,same_cp,same_cp,same_cp,default_zero,default_zero,default_zero,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,1,1EGK,1 EASTBOUND SIGNAL INDICATION,1,1,1EGHS,1 EASTBOUND SIGNAL CONTROL,0,1,,,0,2,,,0,2,,,0,1,0,1,1,0,1TEK,1 SIGNAL INTIME INDICATION,0,0,1,,0,0,1,,0,0,1,,,0,0,1
200141,200002,ESCONDIDO,7,2E-SIGNAL,2E-SIGNAL,R,CTC,200,1,INTIMEBIT,False,False,False,True,True,True,False,,,15;1;200002;0007,15;1;200002;0007|0;1;200002;0007,0;1;200002;0007,0;1;200002;0007|0;1;200002;0007,0;1;200002;0007,0;1;200002;0007|0;1;200002;0007,0;1;200002;0007,12;1;200002,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,15;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,True,True,True,True,True,True,True,True,True,True,2,2,4,same_cp,same_cp,same_cp,same_cp,same_cp,default_zero,default_zero,default_zero,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,1,3EGK,3 EASTBOUND SIGNAL INDICATION,1,1,3EGHS,18 SIGNAL CLEAR,0,1,,,0,2,,,0,2,,,0,1,0,1,1,0,3TEK,3 SIGNAL IN-TIME,0,0,1,,0,0,1,,0,0,1,,,0,0,1
200144,200002,ESCONDIDO,7,3W-SIGNAL,2W-SIGNAL,L,CTC,200,1,INTIMEBIT,False,False,False,True,True,True,False,,,16;1;200002;0007,16;1;200002;0007|0;1;200002;0007,0;1;200002;0007,0;1;200002;0007|0;1;200002;0007,0;1;200002;0007,0;1;200002;0007|0;1;200002;0007,0;1;200002;0007,12;1;200002,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,16;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,True,True,True,True,True,True,True,True,True,True,1,1,2,same_cp,same_cp,same_cp,same_cp,same_cp,default_zero,default_zero,default_zero,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,1,3WGK,3 WESTBOUND SIGNAL INDICATION,1,1,3WGHS,19 SIGNAL CLEAR,0,1,,,0,2,,,0,2,,,0,1,0,1,1,0,3TEK,3 SIGNAL IN-TIME,0,0,1,,0,0,1,,0,0,1,,,0,0,1
200152,200002,ESCONDIDO,7,3W-SIGNAL,W-SIGNAL,L,CTC,200,1,INTIMEBIT,False,True,False,True,True,True,False,,,6;1;200002;0007,6;1;200002;0007|0;1;200002;0007,0;1;200002;0007,0;1;200002;0007|0;1;200002;0007,0;1;200002;0007,0;1;200002;0007|0;1;200002;0007,0;1;200002;0007,8;1;200002,7;1;200002;0007,7;1;200002;0007,0;0;0;0,0;0;0;0,6;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,True,True,True,True,True,True,True,True,True,True,2,2,4,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,default_zero,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,1,1WGK,1 WESTBOUND SIGNAL INDICATION,1,1,1WGHS,1 WESTBOUND SIGNAL CONTROL,0,1,,,0,2,,,0,2,,,0,1,0,1,1,0,1TEK,1 SIGNAL INTIME INDICATION,1,0,0,1WNSSZ,1,0,0,1WNSSK,0,0,1,,,0,0,1
200168,200003,ESCONDIDO,10,1E-SIGNAL,1E-SIGNAL,R,CTC,200,1,INTIMEBIT,False,False,False,True,True,True,False,,,3;1;200003;0010,3;1;200003;0010|0;1;200003;0010,0;1;200003;0010,0;1;200003;0010|0;1;200003;0010,0;1;200003;0010,0;1;200003;0010|0;1;200003;0010,0;1;200003;0010,5;1;200003,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,3;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,True,True,True,True,True,True,True,True,True,True,2,0,2,same_cp,same_cp,same_cp,same_cp,same_cp,default_zero,default_zero,default_zero,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,1,EGK,EASTBOUND SIGNAL INDICATION,1,1,EGHS,EASTBOUND SIGNAL CONTROL,0,1,,,0,2,,,0,2,,,0,1,0,1,1,0,TEK,SIGNAL INTIME INDICATION,0,0,1,,0,0,1,,0,0,1,,,0,0,1
200184,200003,ESCONDIDO,10,1W-SIGNAL,1W-SIGNAL,L,CTC,200,1,INTIMEBIT,False,False,False,True,True,True,False,,,4;1;200003;0010,4;1;200003;0010|0;1;200003;0010,0;1;200003;0010,0;1;200003;0010|0;1;200003;0010,0;1;200003;0010,0;1;200003;0010|0;1;200003;0010,0;1;200003;0010,5;1;200003,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,4;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,True,True,True,True,True,True,True,True,True,True,1,2,3,same_cp,same_cp,same_cp,same_cp,same_cp,default_zero,default_zero,default_zero,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,1,WGK,WESTBOUND SIGNAL INDICATION,1,1,WGHS,WESTBOUND SIGNAL CONTROL,0,1,,,0,2,,,0,2,,,0,1,0,1,1,0,TEK,SIGNAL INTIME INDICATION,0,0,1,,0,0,1,,0,0,1,,,0,0,1
200185,200003,ESCONDIDO,10,1W-SIGNAL,1W-SIGNAL,L,CTC,200,1,INTIMEBIT,False,False,False,True,True,True,False,,,4;1;200003;0010,4;1;200003;0010|0;1;200003;0010,0;1;200003;0010,0;1;200003;0010|0;1;200003;0010,0;1;200003;0010,0;1;200003;0010|0;1;200003;0010,0;1;200003;0010,5;1;200003,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,4;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,True,True,True,True,True,True,True,True,True,True,1,2,3,same_cp,same_cp,same_cp,same_cp,same_cp,default_zero,default_zero,default_zero,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,1,WGK,WESTBOUND SIGNAL INDICATION,1,1,WGHS,WESTBOUND SIGNAL CONTROL,0,1,,,0,2,,,0,2,,,0,1,0,1,1,0,TEK,SIGNAL INTIME INDICATION,0,0,1,,0,0,1,,0,0,1,,,0,0,1
