subdivision_name,signal_type,in_time_type,call_on_flag,near_side_signal_enabled,tctl_raw,tind_raw,fleet_control_bit_raw,near_side_signal_bit_control_raw,call_on_bit_raw,signal_count,distinct_control_point_count,entry_route_total,exit_route_total,signal_examples,resolved_pind_mnemonics,resolved_pctl_mnemonics,resolved_sind_mnemonics,resolved_tctl_mnemonics,resolved_in_time_mnemonics,resolved_call_on_mnemonics,resolved_near_side_ctl_mnemonics
ESCONDIDO,R,INTIMEBIT,False,False,0;1;200027;0027|0;1;200027;0027,0;1;200027;0027,0;1;200027;0027,0;0;0;0,0;0;0;0,4,1,8,6,200428:E-SIGNAL|200430:E-SIGNAL|200452:1E-SIGNAL|200453:1E-SIGNAL,EGK,EGHS,,,TEK,,
SAN DIEGO,L,INTIMEBIT,False,False,0;1;100033;0005|0;1;100033;0005,0;1;100033;0005,0;1;100033;0005,0;0;0;0,0;0;0;0,4,1,10,10,100544:2WBA_B|100545:2WAA_B|100546:4WAA_B|100547:4WBA_B,2WGK|4WGK,2WGHS|4WGHS,,,2TEK|4TEK,,
SAN DIEGO,R,INTIMEBIT,False,False,0;1;100008;0005|0;1;100008;0005,0;1;100008;0005,0;1;100008;0005,0;0;0;0,0;0;0;0,4,1,4,4,100467:2ED - SIGNAL|100478:2EC-SIGNAL|100479:2EB - SIGNAL|100480:2EA-SIGNAL,EGK,EGHS,,,TEK,,
SAN DIEGO,L,INTIMEBIT,False,False,0;1;100005;0005|0;1;100005;0005,0;1;100005;0005,0;1;100005;0005,0;0;0;0,0;0;0;0,3,1,5,5,100164:4WA|100165:4WC|100889:2W,2WHK|4WHK,2WHS|4WGHS,,,2TEK|4TEK,,
SAN DIEGO,L,INTIMEBIT,False,False,0;1;100027;0005|0;1;100027;0005,0;1;100027;0005,0;1;100027;0005,0;0;0;0,0;0;0;0,3,1,3,3,100441:2WA_B|100442:4WA_B|100460:2WC_D,2-4WGK,2WGHS,,,TEK,,
SAN DIEGO,R,INTIMEBIT,False,False,0;1;100006;0005|0;1;100006;0005,0;1;100006;0005,0;1;100006;0005,0;0;0;0,0;0;0;0,3,1,5,5,100171:EB|100667:2E|100913:EA,2EGK|EGK,2EGHS|EGHS,,,2TEK|TEK,,
SAN DIEGO,R,INTIMEBIT,False,False,0;1;100013;0005|0;1;100013;0005,0;1;100013;0005,0;1;100013;0005,0;0;0;0,0;0;0;0,3,1,14,14,100257:2E-SIGNAL|100258:4E-SIGNAL|100738:6E-SIGNAL,2EGK|4EGK|6EGK,2EGHS|4EGHS|6EGHS,,,2TEK|4TEK|6TEK,,
ESCONDIDO,L,INTIMEBIT,False,False,0;1;200003;0010|0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;0;0;0,0;0;0;0,2,1,2,4,200184:1W-SIGNAL|200185:1W-SIGNAL,WGK,WGHS,,,TEK,,
ESCONDIDO,L,INTIMEBIT,False,False,0;1;200010;0015|0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;0;0;0,0;0;0;0,2,1,2,4,200244:W-SIGNAL|200245:W-SIGNAL,WGK,WGHS,,,TEK,,
ESCONDIDO,L,INTIMEBIT,False,True,0;1;200016;0020|0;1;200016;0020,0;1;200016;0020,0;1;200016;0020,7;1;200016;0020,0;0;0;0,2,1,2,2,200297:W-SIGNAL|200298:W-SIGNAL,WGK,WGHS,,,TEK,,WGNS
ESCONDIDO,L,INTIMEBIT,False,False,0;1;200017;0022|0;1;200017;0022,0;1;200017;0022,0;1;200017;0022,0;0;0;0,0;0;0;0,2,1,2,2,200317:W-SIGNAL|200318:W-SIGNAL,WGK,WGHS,,,TEK,,
ESCONDIDO,L,INTIMEBIT,False,False,0;1;200027;0027|0;1;200027;0027,0;1;200027;0027,0;1;200027;0027,0;0;0;0,0;0;0;0,2,1,8,10,200463:W-SIGNAL|200464:W-SIGNAL,WGK,WGHS,,,TEK,,
ESCONDIDO,R,INTIMEBIT,False,False,0;1;200000;0006|0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;0;0;0,0;0;0;0,2,1,2,2,200112:E-SIGNAL|200113:11E-SIGNAL,EGK,EGHS,,,TEK,,
ESCONDIDO,R,INTIMEBIT,False,False,0;1;200002;0007|0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;0;0;0,0;0;0;0,2,1,3,3,200130:1E-SIGNAL|200141:2E-SIGNAL,1EGK|3EGK,1EGHS|3EGHS,,,1TEK|3TEK,,
ESCONDIDO,R,INTIMEBIT,False,False,0;1;200004;0008|0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;0;0;0,0;0;0;0,2,1,2,2,200157:E-SIGNAL|200158:E-SIGNAL,EGK,EGHS,,,TEK,,
ESCONDIDO,R,INTIMEBIT,False,True,0;1;200007;0013|0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,7;1;200007;0013,0;0;0;0,2,1,2,0,200216:E-SIGNAL|200217:E-SIGNAL,EGK,EGHS,,,TEK,,EGNS
ESCONDIDO,R,INTIMEBIT,False,False,0;1;200013;0018|0;1;200013;0018,0;1;200013;0018,0;1;200013;0018,0;0;0;0,0;0;0;0,2,1,2,4,200250:E-SIGNAL|200251:E-SIGNAL,EGK,EGHS,,,TEK,,
ESCONDIDO,R,INTIMEBIT,False,False,0;1;200019;0024|0;1;200019;0024,0;1;200019;0024,0;1;200019;0024,0;0;0;0,0;0;0;0,2,1,2,4,200377:E-SIGNAL|200391:E-SIGNAL,EGK,EGHS,,,TEK,,
ESCONDIDO,R,INTIMEBIT,False,False,0;1;200020;0023|0;1;200020;0023,0;1;200020;0023,0;1;200020;0023,0;0;0;0,0;0;0;0,2,1,2,1,200351:E-SIGNAL|200352:E-SIGNAL,EGK,EGHS,,,TEK,,
SAN DIEGO,L,INTIMEBIT,False,False,0;1;100000;0005|0;1;100000;0005,0;1;100000;0005,0;1;100000;0005,0;0;0;0,0;0;0;0,2,1,2,2,100729:WC_D|100974:WA_B,WGK,WGHS,,,TEK,,
SAN DIEGO,L,INTIMEBIT,False,False,0;1;100001;0005|0;1;100001;0005,0;1;100001;0005,0;1;100001;0005,0;0;0;0,0;0;0;0,2,1,2,2,100122:WA|100123:WB,WGK,WGHS,,,TEK,,
SAN DIEGO,L,INTIMEBIT,False,False,0;1;100002;0005|0;1;100002;0005,0;1;100002;0005,0;1;100002;0005,0;0;0;0,0;0;0;0,2,1,5,5,100151:2WA_B|100170:4WA_B,2WGK|4WGK,2WGHS|4WGHS,,,2TEK|4TEK,,
SAN DIEGO,L,INTIMEBIT,False,False,0;1;100003;0005|0;1;100003;0005,0;1;100003;0005,0;1;100003;0005,0;0;0;0,0;0;0;0,2,1,2,2,100143:WB|100144:WA,WGK,WGHS,,,TEK,,
SAN DIEGO,L,INTIMEBIT,False,False,0;1;100004;0005|0;1;100004;0005,0;1;100004;0005,0;1;100004;0005,0;0;0;0,0;0;0;0,2,1,5,5,100300:4W|100301:2W,2WGK|4WGK,2WGHS|4WGHS,,,2TEK|4TEK,,
SAN DIEGO,L,INTIMEBIT,False,False,0;1;100006;0005|0;1;100006;0005,0;1;100006;0005,0;1;100006;0005,0;0;0;0,0;0;0;0,2,1,5,5,100882:2W|100915:WA,2WGK|WGK,2WGHS|WGHS,,,2TEK|TEK,,
SAN DIEGO,L,INTIMEBIT,False,False,0;1;100007;0005|0;1;100007;0005,0;1;100007;0005,0;1;100007;0005,0;0;0;0,0;0;0;0,2,1,5,5,100344:1W-SIGNAL|100414:2W-SIGNAL,2WGK|4WGK,2WGHS|4WGHS,,,2TEK|4TEK,,
SAN DIEGO,L,INTIMEBIT,False,False,0;1;100010;0005|0;1;100010;0005,0;1;100010;0005,0;1;100010;0005,0;0;0;0,0;0;0;0,2,1,3,3,100646:2WA_B|100648:4WA_B,2WGK|4WGK,2WGHS|4WGHS,,,2TEK|4TEK,,
SAN DIEGO,L,INTIMEBIT,False,False,0;1;100011;0005|0;1;100011;0005,0;1;100011;0005,0;1;100011;0005,0;0;0;0,0;0;0;0,2,1,2,2,100706:W-SIGNAL|100707:W-SIGNAL,WGK,WGHS,,,TEK,,
SAN DIEGO,L,INTIMEBIT,False,False,0;1;100017;0005|0;1;100017;0005,0;1;100017;0005,0;1;100017;0005,0;0;0;0,0;0;0;0,2,1,5,5,100757:2WA_B|100768:4WA_B,2WGK|4WGK,2WGHS|4WGHS,,,2TEK|4TEK,,
SAN DIEGO,L,INTIMEBIT,False,False,0;1;100019;0005|0;1;100019;0005,0;1;100019;0005,0;1;100019;0005,0;0;0;0,0;0;0;0,2,1,2,2,100351:WA|100897:WB,WGK,WGHS,,,TEK,,
SAN DIEGO,L,INTIMEBIT,False,False,0;1;100020;0005|0;1;100020;0005,0;1;100020;0005,0;1;100020;0005,0;0;0;0,0;0;0;0,2,1,5,5,100890:1W-SIGNAL|100916:2W-SIGNAL,2WGK|4WGK,2WGHS|4WGHS,,,2TEK|4TEK,,
SAN DIEGO,L,INTIMEBIT,False,False,0;1;100025;0005|0;1;100025;0005,0;1;100025;0005,0;1;100025;0005,0;0;0;0,0;0;0;0,2,1,2,2,100185:WA|100186:WC,WGK,WGHS,,,TEK,,
SAN DIEGO,L,INTIMEBIT,False,False,0;1;100035;0005|0;1;100035;0005,0;1;100035;0005,0;1;100035;0005,0;0;0;0,0;0;0;0,2,1,3,3,100627:4W|100628:2W,2WGK|4WGK,2WGHS|4WGHS,,,2TEK|4TEK,,
