signal_uid,control_point_uid,control_point_name,subdivision_name,codeline,signal_name,tool_tip_name,signal_type,pind_raw,pctl_raw,tctl_raw,in_time_bit_raw,fleet_control_bit_raw,call_on_bit_raw,pind_resolved_mnemonics,pind_resolved_long_names,pctl_resolved_mnemonics,pctl_resolved_long_names,tctl_resolved_mnemonics,tctl_resolved_long_names,in_time_resolved_mnemonics,in_time_resolved_long_names,entry_route_count,exit_route_count,route_total_count,route_guids,switch_lists,switch_uids,partner_signal_uids,partner_signal_names,partner_signal_tool_tips,tctl_is_sigstop,in_time_equals_pind_mnemonic,call_on_flag,near_side_signal_enabled
100250,100012,SHELL,SAN DIEGO,5,4-SIGNAL,EA_B,R,7;1;100012;0005,4;1;100012;0005|0;1;100012;0005,5;1;100012;0005|0;1;100012;0005,5;1;100012,0;1;100012;0005,0;0;0;0,EHK,EASTBOUND SIGNAL INDICATION,EGHS,EASTBOUND SIGNAL CONTROL,SIGSTOP,SGHS,WHK,WESTBOUND SIGNAL INDICATION,2,2,4,108@100|156@100|012@100|013@100,100253;1-SWITCH;FALSE|100253;1-SWITCH;TRUE,100253,100251|100252,5-SIGNAL,WAA_B|WBA_B,True,False,False,False
100251,100012,SHELL,SAN DIEGO,5,5-SIGNAL,WAA_B,L,5;1;100012;0005,3;1;100012;0005|0;1;100012;0005,5;1;100012;0005|0;1;100012;0005,7;1;100012,0;1;100012;0005,0;0;0;0,WHK,WESTBOUND SIGNAL INDICATION,WGHS,WESTBOUND SIGNAL CONTROL,SIGSTOP,SGHS,EHK,EASTBOUND SIGNAL INDICATION,1,1,2,108@100|012@100,100253;1-SWITCH;FALSE,100253,100250,4-SIGNAL,EA_B,True,False,False,False
100252,100012,SHELL,SAN DIEGO,5,5-SIGNAL,WBA_B,L,5;1;100012;0005,3;1;100012;0005|0;1;100012;0005,5;1;100012;0005|0;1;100012;0005,7;1;100012,0;1;100012;0005,0;0;0;0,WHK,WESTBOUND SIGNAL INDICATION,WGHS,WESTBOUND SIGNAL CONTROL,SIGSTOP,SGHS,EHK,EASTBOUND SIGNAL INDICATION,1,1,2,156@100|013@100,100253;1-SWITCH;TRUE,100253,100250,4-SIGNAL,EA_B,True,False,False,False
100327,100018,PONTO,SAN DIEGO,5,3-SIGNAL,EB,R,7;1;100018;0005,4;1;100018;0005|0;1;100018;0005,5;1;100018;0005|0;1;100018;0005,5;1;100018,0;1;100018;0005,0;0;0;0,EHKR,EASTBOUND SIGNAL INDICATION,EHSR,EASTBOUND SIGNAL CONTROL,SIGSTOP,SGHS,WHKR,WESTBOUND SIGNAL INDICATION,1,1,2,113@100|065@100,100333;5-SWITCH;TRUE,100333,100334,15-SIGNAL,WA_B,True,False,False,False
100328,100018,PONTO,SAN DIEGO,5,3-SIGNAL,EA,R,7;1;100018;0005,4;1;100018;0005|0;1;100018;0005,5;1;100018;0005|0;1;100018;0005,5;1;100018,0;1;100018;0005,0;0;0;0,EHKR,EASTBOUND SIGNAL INDICATION,EHSR,EASTBOUND SIGNAL CONTROL,SIGSTOP,SGHS,WHKR,WESTBOUND SIGNAL INDICATION,1,1,2,114@100|020@100,100333;5-SWITCH;FALSE,100333,100334,15-SIGNAL,WA_B,True,False,False,False
100334,100018,PONTO,SAN DIEGO,5,15-SIGNAL,WA_B,L,5;1;100018;0005,3;1;100018;0005|0;1;100018;0005,5;1;100018;0005|0;1;100018;0005,7;1;100018,0;1;100018;0005,0;0;0;0,WHKR,WESTBOUND SIGNAL INDICATION,WHSR,WESTBOUND SIGNAL CONTROL,SIGSTOP,SGHS,EHKR,EASTBOUND SIGNAL INDICATION,2,2,4,113@100|114@100|065@100|020@100,100333;5-SWITCH;TRUE|100333;5-SWITCH;FALSE,100333,100327|100328,3-SIGNAL,EB|EA,True,False,False,False
100394,100023,CROSBY,SAN DIEGO,5,41-SIGNAL,EA_B,R,7;1;100023;0005,4;1;100023;0005|0;1;100023;0005,5;1;100023;0005|0;1;100023;0005,5;1;100023,0;1;100023;0005,0;0;0;0,EHK,EASTBOUND SIGNAL INDICATION,EHS,EASTBOUND SIGNAL CONTROL,SIGSTOP,SGHS,WHK,WESTBOUND SIGNAL INDICATION,2,2,4,120@100|163@100|048@100|049@100,100899;18-SWITCH;FALSE|100899;18-SWITCH;TRUE,100899,100907|100911,38-SIGNAL,WAA_B|WBA_B,True,False,False,False
100907,100023,CROSBY,SAN DIEGO,5,38-SIGNAL,WAA_B,L,5;1;100023;0005,3;1;100023;0005|0;1;100023;0005,5;1;100023;0005|0;1;100023;0005,7;1;100023,0;1;100023;0005,0;0;0;0,WHK,WESTBOUND SIGNAL INDICATION,WHS,WESTBOUND SIGNAL CONTROL,SIGSTOP,SGHS,EHK,EASTBOUND SIGNAL INDICATION,1,1,2,120@100|048@100,100899;18-SWITCH;FALSE,100899,100394,41-SIGNAL,EA_B,True,False,False,False
100911,100023,CROSBY,SAN DIEGO,5,38-SIGNAL,WBA_B,L,5;1;100023;0005,3;1;100023;0005|0;1;100023;0005,5;1;100023;0005|0;1;100023;0005,7;1;100023,0;1;100023;0005,0;0;0;0,WHK,WESTBOUND SIGNAL INDICATION,WHS,WESTBOUND SIGNAL CONTROL,SIGSTOP,SGHS,EHK,EASTBOUND SIGNAL INDICATION,1,1,2,163@100|049@100,100899;18-SWITCH;TRUE,100899,100394,41-SIGNAL,EA_B,True,False,False,False
100408,100024,DEL MAR,SAN DIEGO,5,43-SIGNAL,WA_B,L,5;1;100024;0005,3;1;100024;0005|0;1;100024;0005,5;1;100024;0005|0;1;100024;0005,7;1;100024,0;1;100024;0005,0;0;0;0,WHK,WESTBOUND SIGNAL INDICATION,WGHS,WESTBOUND SIGNAL CONTROL,SIGSTOP,SGHS,EHK,EASTBOUND SIGNAL INDICATION,2,2,4,024@100|068@100|144@100|146@100,100407;19-SWITCH;FALSE|100407;19-SWITCH;TRUE,100407,100892|100909,39-SIGNAL,EA|EB,True,False,False,False
100892,100024,DEL MAR,SAN DIEGO,5,39-SIGNAL,EA,R,7;1;100024;0005,4;1;100024;0005|0;1;100024;0005,5;1;100024;0005|0;1;100024;0005,5;1;100024,0;1;100024;0005,0;0;0;0,EHK,EASTBOUND SIGNAL INDICATION,EGHS,EASTBOUND SIGNAL CONTROL,SIGSTOP,SGHS,WHK,WESTBOUND SIGNAL INDICATION,1,1,2,024@100|144@100,100407;19-SWITCH;FALSE,100407,100408,43-SIGNAL,WA_B,True,False,False,False
100909,100024,DEL MAR,SAN DIEGO,5,39-SIGNAL,EB,R,7;1;100024;0005,4;1;100024;0005|0;1;100024;0005,5;1;100024;0005|0;1;100024;0005,5;1;100024,0;1;100024;0005,0;0;0;0,EHK,EASTBOUND SIGNAL INDICATION,EGHS,EASTBOUND SIGNAL CONTROL,SIGSTOP,SGHS,WHK,WESTBOUND SIGNAL INDICATION,1,1,2,068@100|146@100,100407;19-SWITCH;TRUE,100407,100408,43-SIGNAL,WA_B,True,False,False,False
