control_point_uid,subdivision_name,codeline,shared_anchor_raw,signal_count,route_total_count,sctl_secondary_exception_count,opposing_signal_count,call_on_signal_count,near_side_signal_count,signal_examples,signal_types,pind_resolved_mnemonics,pctl_resolved_mnemonics,sctl_resolved_mnemonics,tctl_resolved_mnemonics,in_time_resolved_mnemonics,call_on_resolved_mnemonics,near_side_ctl_resolved_mnemonics
200000,ESCONDIDO,6,0;1;200000;0006,3,8,0,0,1,0,200112:E-SIGNAL|200113:11E-SIGNAL|200119:W-SIGNAL,L|R,EGK|WGK,EGHS|WGHS,,,TEK,WGHCOS,
200002,ESCONDIDO,7,0;1;200002;0007,4,12,0,0,0,1,200130:1E-SIGNAL|200141:2E-SIGNAL|200144:2W-SIGNAL|200152:W-SIGNAL,L|R,1EGK|1WGK|3EGK|3WGK,1EGHS|1WGHS|3EGHS|3WGHS,,,1TEK|3TEK,,1WNSSZ
200003,ESCONDIDO,10,0;1;200003;0010,3,8,0,0,0,0,200168:1E-SIGNAL|200184:1W-SIGNAL|200185:1W-SIGNAL,L|R,EGK|WGK,EGHS|WGHS,,,TEK,,
200004,ESCONDIDO,8,0;1;200004;0008,4,10,0,0,0,1,200150:EBNS COAST|200157:E-SIGNAL|200158:E-SIGNAL|200164:W-SIGNAL,L|R,CHEGK|EGK|WGK,CHEGHS|EGHS|WGHS,,,CHETEK|TEK,,1ENSSZ
200005,ESCONDIDO,9,0;1;200005;0009,2,6,0,0,0,2,200169:1E-SIGNAL|200173:1W-SIGNAL,L|R,CREGK|CRWGK,CREGHS|CRWGHS,,,CRETEK|CRWTEK,,1ENSSZ|1WNSSZ
200006,ESCONDIDO,12,0;1;200006;0012,2,2,0,0,0,2,200170:1E-SIGNAL|200171:1E-SIGNAL,R,R1EGK|R2EGK,R1EGHS|R2EGHS,,,R1ETEK|R2ETEK,,R1EGNS|R2EGNS
200007,ESCONDIDO,13,0;1;200007;0013,3,10,0,0,0,2,200216:E-SIGNAL|200217:E-SIGNAL|200223:W-SIGNAL,L|R,EGK|WGK,EGHS|WGHS,,,TEK,,EGNS
200008,ESCONDIDO,11,0;1;200008;0011,2,4,0,0,0,2,200167:1E-SIGNAL|200172:1E-SIGNAL,R,EC1EGK|EC2EGK,EC1EGHS|EC2EGHS,,,EC1ETEK|EC2ETEK,,EC1EGNS|EC2EGNS
200009,ESCONDIDO,14,0;1;200009;0014,1,4,0,0,0,1,200267:1E-SIGNAL,R,MEGK,MEGHS,,,METEK,,MEGNS
200010,ESCONDIDO,15,0;1;200010;0015,3,8,0,0,0,0,200243:E-SIGNAL|200244:W-SIGNAL|200245:W-SIGNAL,L|R,EGK|WGK,EGHS|WGHS,,,TEK,,
200011,ESCONDIDO,16,0;1;200011;0016,2,4,0,0,0,2,200268:E-SIGNAL|200269:1E-SIGNAL,R,V1EGK|V2EGK,V1EGHS|V2EGHS,,,V1ETEK|V2ETEK,,V1EGNS|V2EGNS
200012,ESCONDIDO,17,0;1;200012;0017,2,4,0,0,0,2,200260:WBNS ESCONDIDO AVE|200261:WBNS ESCON AVE,L,E1WGK|E2WGK,E1WGHS|E2WGHS,,,E1WTEK|E2WTEK,,E1WGNS|E2WGNS
200013,ESCONDIDO,18,0;1;200013;0018,3,8,0,0,0,0,200250:E-SIGNAL|200251:E-SIGNAL|200257:W-SIGNAL,L|R,EGK|WGK,EGHS|WGHS,,,TEK,,
200014,ESCONDIDO,19,0;1;200014;0019,1,4,0,0,0,1,200265:1W-SIGNAL,L,BWGK,BWGHS,,,BWTEK,,BWGNS
200015,ESCONDIDO,21,0;1;200015;0021,2,4,0,0,0,2,200307:1E-SIGNAL|200308:1E-SIGNAL,R,P1EGK|P2EGK,P1EGHS|P2EGHS,,,P1ETEK|P2ETEK,,P1EGNS|P2EGNS
200016,ESCONDIDO,20,0;1;200016;0020,3,8,0,0,0,2,200296:E-SIGNAL|200297:W-SIGNAL|200298:W-SIGNAL,L|R,EGK|WGK,EGHS|WGHS,,,TEK,,WGNS
200017,ESCONDIDO,22,0;1;200017;0022,6,14,1,0,0,4,200262:WBNS CIVIC|200263:WBNS CIVIC CTR|200316:E-SIGNAL|200317:W-SIGNAL|200318:W-SIGNAL|200324:EBNS CIVIC,L|R,EGK|SM1WGK|SM2EGK|SM2WGK|WGK,EGHS|SM1WGHS|SM2EGHS|SM2WGHS|WGHS,EGNS,,SM1WTEK|SM2ETEK|SM2WTEK|TEK,,EGNS|SM1WGNS|SM2EGNS|SM2WGNS
200019,ESCONDIDO,24,0;1;200019;0024,3,8,0,0,0,0,200377:E-SIGNAL|200384:W-SIGNAL|200391:E-SIGNAL,L|R,EGK|WGK,EGHS|WGHS,,,TEK,,
200020,ESCONDIDO,23,0;1;200020;0023,3,8,0,0,0,0,200330:W-SIGNAL|200351:E-SIGNAL|200352:E-SIGNAL,L|R,EGK|WGK,EGHS|WGHS,,,TEK,,
200025,ESCONDIDO,25,0;1;200025;0025,2,6,0,0,0,2,200393:W-SIGNAL|200413:E-SIGNAL,L|R,NEGK|NWGK,NEGHS|NWGHS,,,NETEK|NWTEK,,NEGNS|NWGNS
200026,ESCONDIDO,26,0;1;200026;0026,2,6,0,0,0,0,200475:1E-SIGNAL|200476:1W-SIGNAL,L|R,EGK|WGK,EGHS|WGHS,,,TEK,,
200027,ESCONDIDO,27,0;1;200027;0027,6,32,0,0,0,0,200428:E-SIGNAL|200430:E-SIGNAL|200452:1E-SIGNAL|200453:1E-SIGNAL|200463:W-SIGNAL|200464:W-SIGNAL,L|R,EGK|WGK,EGHS|WGHS,,,TEK,,
200028,ESCONDIDO,28,0;1;200028;0028,2,4,0,0,0,0,200469:E-SIGNAL|200471:1W-SIGNAL,L|R,5EGK|5WGK,5EGHS|5WGHS,,,5TEK,,
100000,SAN DIEGO,5,0;1;100000;0005,3,8,0,0,0,0,100727:EA_B|100729:WC_D|100974:WA_B,L|R,EGK|WGK,EGHS|WGHS,,,TEK,,
100001,SAN DIEGO,5,0;1;100001;0005,3,8,0,0,0,0,100121:EA_B|100122:WA|100123:WB,L|R,EGK|WGK,EGHS|WGHS,,,TEK,,
100002,SAN DIEGO,5,0;1;100002;0005,4,20,0,0,0,0,100148:2EA_B|100151:2WA_B|100167:4EA_B|100170:4WA_B,L|R,2EGK|2WGK|4EGK|4WGK,2EGHS|2WGHS|4EGHS|4WGHS,,,2TEK|4TEK,,
100003,SAN DIEGO,5,0;1;100003;0005,3,8,0,0,0,0,100142:EA_B|100143:WB|100144:WA,L|R,EGK|WGK,EGHS|WGHS,,,TEK,,
100004,SAN DIEGO,5,0;1;100004;0005,4,20,0,0,0,0,100300:4W|100301:2W|100389:2E|100433:4E,L|R,2EGK|2WGK|4EGK|4WGK,2EGHS|2WGHS|4EGHS|4WGHS,,,2TEK|4TEK,,
100005,SAN DIEGO,5,0;1;100005;0005,5,20,0,0,0,0,100164:4WA|100165:4WC|100661:4E|100689:2E|100889:2W,L|R,2EHK|2WHK|4EHK|4WHK,2EHS|2WHS|4EGHS|4WGHS,,,2TEK|4TEK,,
100006,SAN DIEGO,5,0;1;100006;0005,5,20,0,0,0,0,100171:EB|100667:2E|100882:2W|100913:EA|100915:WA,L|R,2EGK|2WGK|EGK|WGK,2EGHS|2WGHS|EGHS|WGHS,,,2TEK|TEK,,
100007,SAN DIEGO,5,0;1;100007;0005,4,20,0,0,0,0,100340:1E-SIGNAL|100344:1W-SIGNAL|100409:2E-SIGNAL|100414:2W-SIGNAL,L|R,2EGK|2WGK|4EGK|4WGK,2EGHS|2WGHS|4EGHS|4WGHS,,,2TEK|4TEK,,
100008,SAN DIEGO,5,0;1;100008;0005,5,16,0,0,1,0,100467:2ED - SIGNAL|100478:2EC-SIGNAL|100479:2EB - SIGNAL|100480:2EA-SIGNAL|100491:2W-SIGNAL,L|R,EGK|WGK,EGHS|WGHS,,,TEK,WCOGHS,
100009,SAN DIEGO,5,0;1;100009;0005,3,8,0,0,0,0,100214:EBA_B|100221:WA_B|100917:EAA_B,L|R,EHK|WHK,EHS|WHS,,,TEK,,
100010,SAN DIEGO,5,0;1;100010;0005,4,12,0,0,0,0,100635:2EA_B|100646:2WA_B|100648:4WA_B|100905:4EA_B,L|R,2EGK|2WGK|4EGK|4WGK,2EGHS|2WGHS|4EGHS|4WGHS,,,2TEK|4TEK,,
100011,SAN DIEGO,5,0;1;100011;0005,3,8,0,0,1,0,100705:E-SIGNAL|100706:W-SIGNAL|100707:W-SIGNAL,L|R,EGK|WGK,EGHS|WGHS,,,TEK,ECOGHS,
100012,SAN DIEGO,5,0;1;100012;0005,3,8,0,3,0,0,100250:EA_B|100251:WAA_B|100252:WBA_B,L|R,EHK|WHK,EGHS|WGHS,,SIGSTOP,EHK|WHK,,
100013,SAN DIEGO,5,0;1;100013;0005,6,56,0,0,3,0,100257:2E-SIGNAL|100258:4E-SIGNAL|100264:4W-SIGNAL|100277:6W-SIGNAL|100288:2W-SIGNAL|100738:6E-SIGNAL,L|R,2EGK|2WGK|4EGK|4WGK|6EGK|6WGK,2EGHS|2WGHS|4EGHS|4WGHS|6EGHS|6WGHS,,,2TEK|4TEK|6TEK,2WCOHS|4WCOGHS|6WCOGHS,
100015,SAN DIEGO,5,0;1;100015;0005,3,8,0,0,0,0,100818:EC_D|100819:EA_B|100826:WA_B,L|R,EGK|WGK,EGHS|WGHS,,,TEK,,
100016,SAN DIEGO,5,0;1;100016;0005,3,8,0,0,0,0,100306:EA_B|100307:EC_D|100313:WA_B,L|R,EGK|WGK,EGHS|WGHS,,,TEK,,
100017,SAN DIEGO,5,0;1;100017;0005,4,20,0,0,0,0,100754:2EA_B|100757:2WA_B|100765:4EA_B|100768:4WA_B,L|R,2EGK|2WGK|4EGK|4WGK,2EGHS|2WGHS|4EGHS|4WGHS,,,2TEK|4TEK,,
100018,SAN DIEGO,5,0;1;100018;0005,3,8,0,3,0,0,100327:EB|100328:EA|100334:WA_B,L|R,EHKR|WHKR,EHSR|WHSR,,SIGSTOP,EHKR|WHKR,,
100019,SAN DIEGO,5,0;1;100019;0005,3,8,0,0,0,0,100350:EA_B|100351:WA|100897:WB,L|R,EGK|WGK,EGHS|WGHS,,,TEK,,
100020,SAN DIEGO,5,0;1;100020;0005,4,20,0,0,0,0,100874:1E-SIGNAL|100890:1W-SIGNAL|100910:2E-SIGNAL|100916:2W-SIGNAL,L|R,2EGK|2WGK|4EGK|4WGK,2EGHS|2WGHS|4EGHS|4WGHS,,,2TEK|4TEK,,
100022,SAN DIEGO,5,0;1;100022;0005,3,8,0,0,0,0,100379:EAA_B|100380:EBA_B|100386:WA_B,L|R,EHK|WHK,EHZ|WHZ,,,TEK,,
100023,SAN DIEGO,5,0;1;100023;0005,3,8,0,3,0,0,100394:EA_B|100907:WAA_B|100911:WBA_B,L|R,EHK|WHK,EHS|WHS,,SIGSTOP,EHK|WHK,,
100024,SAN DIEGO,5,0;1;100024;0005,3,8,0,3,0,0,100408:WA_B|100892:EA|100909:EB,L|R,EHK|WHK,EGHS|WGHS,,SIGSTOP,EHK|WHK,,
100025,SAN DIEGO,5,0;1;100025;0005,3,8,0,0,0,0,100184:EA_B|100185:WA|100186:WC,L|R,EGK|WGK,EGHS|WGHS,,,TEK,,
100027,SAN DIEGO,5,0;1;100027;0005,4,12,0,0,0,0,100440:2EA_B|100441:2WA_B|100442:4WA_B|100460:2WC_D,L|R,2-4WGK|2EGK,2EGHS|2WGHS,,,TEK,,
100033,SAN DIEGO,5,0;1;100033;0005,6,40,0,0,2,0,100528:4EA_B|100544:2WBA_B|100545:2WAA_B|100546:4WAA_B|100547:4WBA_B|100692:2EA_B,L|R,2EGK|2WGK|4EGK|4WGK,2EGHS|2WGHS|4EGHS|4WGHS,,,2TEK|4TEK,2ECOGHS|4ECOGHS,
100035,SAN DIEGO,5,0;1;100035;0005,4,12,0,0,0,0,100625:4E|100626:2E|100627:4W|100628:2W,L|R,2EGK|2WGK|4EGK|4WGK,2EGHS|2WGHS|4EGHS|4WGHS,,,2TEK|4TEK,,
