signal_uid,control_point_uid,subdivision_name,codeline,signal_name,tool_tip_name,signal_type,in_time_type,shared_anchor_raw,fleet_control_bit_raw,pctl_secondary_part,sctl_primary_part,sctl_secondary_part,tctl_secondary_part,anchor_equals_fleet,anchor_equals_pctl_secondary,anchor_equals_sctl_primary,anchor_equals_sctl_secondary,anchor_equals_tctl_secondary,core_anchor_all_equal_excluding_sctl_secondary,sctl_secondary_exception,pind_resolved_mnemonics,pind_resolved_long_names,pctl_resolved_mnemonics,pctl_resolved_long_names,sctl_resolved_mnemonics,sctl_resolved_long_names,tctl_resolved_mnemonics,tctl_resolved_long_names,in_time_resolved_mnemonics,in_time_resolved_long_names,call_on_resolved_mnemonics,call_on_resolved_long_names,near_side_ctl_resolved_mnemonics,entry_route_count,exit_route_count,route_total_count
200112,200000,ESCONDIDO,6,11E-SIGNAL,E-SIGNAL,R,INTIMEBIT,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,True,True,True,True,True,True,False,EGK,EASTBOUND SIGNAL INDICATION,EGHS,EASTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,,,,1,1,2
200113,200000,ESCONDIDO,6,11E-SIGNAL,11E-SIGNAL,R,INTIMEBIT,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,True,True,True,True,True,True,False,EGK,EASTBOUND SIGNAL INDICATION,EGHS,EASTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,,,,1,1,2
200119,200000,ESCONDIDO,6,12W-SIGNAL,W-SIGNAL,L,INTIMEBIT,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,True,True,True,True,True,True,False,WGK,WESTBOUND SIGNAL INDICATION,WGHS,WESTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,WGHCOS,SIGNAL CALL ON,,2,2,4
200130,200002,ESCONDIDO,7,1E-SIGNAL,1E-SIGNAL,R,INTIMEBIT,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,True,True,True,True,True,True,False,1EGK,1 EASTBOUND SIGNAL INDICATION,1EGHS,1 EASTBOUND SIGNAL CONTROL,,,,,1TEK,1 SIGNAL INTIME INDICATION,,,,1,1,2
200141,200002,ESCONDIDO,7,2E-SIGNAL,2E-SIGNAL,R,INTIMEBIT,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,True,True,True,True,True,True,False,3EGK,3 EASTBOUND SIGNAL INDICATION,3EGHS,18 SIGNAL CLEAR,,,,,3TEK,3 SIGNAL IN-TIME,,,,2,2,4
200144,200002,ESCONDIDO,7,3W-SIGNAL,2W-SIGNAL,L,INTIMEBIT,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,True,True,True,True,True,True,False,3WGK,3 WESTBOUND SIGNAL INDICATION,3WGHS,19 SIGNAL CLEAR,,,,,3TEK,3 SIGNAL IN-TIME,,,,1,1,2
200152,200002,ESCONDIDO,7,3W-SIGNAL,W-SIGNAL,L,INTIMEBIT,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,True,True,True,True,True,True,False,1WGK,1 WESTBOUND SIGNAL INDICATION,1WGHS,1 WESTBOUND SIGNAL CONTROL,,,,,1TEK,1 SIGNAL INTIME INDICATION,,,1WNSSZ,2,2,4
200168,200003,ESCONDIDO,10,1E-SIGNAL,1E-SIGNAL,R,INTIMEBIT,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,True,True,True,True,True,True,False,EGK,EASTBOUND SIGNAL INDICATION,EGHS,EASTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,,,,2,0,2
200184,200003,ESCONDIDO,10,1W-SIGNAL,1W-SIGNAL,L,INTIMEBIT,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,True,True,True,True,True,True,False,WGK,WESTBOUND SIGNAL INDICATION,WGHS,WESTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,,,,1,2,3
200185,200003,ESCONDIDO,10,1W-SIGNAL,1W-SIGNAL,L,INTIMEBIT,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,True,True,True,True,True,True,False,WGK,WESTBOUND SIGNAL INDICATION,WGHS,WESTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,,,,1,2,3
200150,200004,ESCONDIDO,8,EBNS COAST,EBNS COAST,R,INTIMEBIT,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,True,True,True,True,True,True,False,CHEGK,SIGNAL CLEAR,CHEGHS,SIGNAL CLEAR,,,,,CHETEK,NEAR SIDE IN-TIME,,,1ENSSZ,1,1,2
200157,200004,ESCONDIDO,8,E-SIGNAL,E-SIGNAL,R,INTIMEBIT,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,True,True,True,True,True,True,False,EGK,EASTBOUND SIGNAL INDICATION,EGHS,EASTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,,,,1,1,2
200158,200004,ESCONDIDO,8,E-SIGNAL,E-SIGNAL,R,INTIMEBIT,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,True,True,True,True,True,True,False,EGK,EASTBOUND SIGNAL INDICATION,EGHS,EASTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,,,,1,1,2
200164,200004,ESCONDIDO,8,W-SIGNAL,W-SIGNAL,L,INTIMEBIT,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,True,True,True,True,True,True,False,WGK,WESTBOUND SIGNAL INDICATION,WGHS,WESTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,,,,2,2,4
200169,200005,ESCONDIDO,9,1E-SIGNAL,1E-SIGNAL,R,INTIMEBIT,0;1;200005;0009,0;1;200005;0009,0;1;200005;0009,0;1;200005;0009,0;1;200005;0009,0;1;200005;0009,True,True,True,True,True,True,False,CREGK,SIGNAL CLEAR,CREGHS,SIGNAL CLEAR,,,,,CRETEK,TEK,,,1ENSSZ,2,2,4
200173,200005,ESCONDIDO,9,1W-SIGNAL,1W-SIGNAL,L,INTIMEBIT,0;1;200005;0009,0;1;200005;0009,0;1;200005;0009,0;1;200005;0009,0;1;200005;0009,0;1;200005;0009,True,True,True,True,True,True,False,CRWGK,SIGNAL CLEAR,CRWGHS,SIGNAL CLEAR,,,,,CRWTEK,TEK,,,1WNSSZ,1,1,2
200170,200006,ESCONDIDO,12,1E-SIGNAL,1E-SIGNAL,R,INTIMEBIT,0;1;200006;0012,0;1;200006;0012,0;1;200006;0012,0;1;200006;0012,0;1;200006;0012,0;1;200006;0012,True,True,True,True,True,True,False,R2EGK,SIGNAL CLEAR,R2EGHS,SIGNAL CLEAR,,,,,R2ETEK,SIGNAL CLEAR,,,R2EGNS,1,0,1
