code_line_number,code_line_name,code_station_number,station_name,control_point_number,control_point_name,ptc_site_name,subdivision_uid,subdivision_name,territory_assignment,control_address,indication_address,number_of_controls,number_of_indications,signal_count,track_count,switch_count,misc_device_count,route_count,component_reference_resolved_count,component_reference_unresolved_count,component_reference_default_zero_count,cp_reference_resolved_count,cp_reference_unresolved_count,cp_reference_default_zero_count,direct_cp_resolved_count,direct_cp_unresolved_count,misc_device_cp_resolved_count,misc_device_cp_unresolved_count
5,CDLN-5,1,CP CARL,100000,CARL,CP Carl,2,SAN DIEGO,100,73405050580202,73405050580202,8,16,3,7,1,0,4,27,93,51,4,14,8,4,14,0,0
5,CDLN-5,1,CP SONGS,100001,SONGS,CP Songs,2,SAN DIEGO,100,73405050200202,73405050200202,16,16,3,9,3,1,4,24,154,59,4,20,8,3,15,1,5
5,CDLN-5,1,CP DON,100002,DON,CP Don,2,SAN DIEGO,100,73405050250202,73405050250202,24,24,4,13,4,0,10,45,185,90,4,14,8,4,14,0,0
5,CDLN-5,1,CP PULGAS,100003,PULGAS,CP Pulgas,2,SAN DIEGO,100,73405050270202,73405050270202,16,16,3,7,1,0,4,27,93,51,4,14,8,4,14,0,0
5,CDLN-5,1,CP CUDAHY,100004,CUDAHY,CP Cudahy,2,SAN DIEGO,100,73405050870202,73405050870202,24,24,4,15,4,0,10,48,199,85,4,14,8,4,14,0,0
5,CDLN-5,1,CP STUART,100005,STUART,CP Stuart,2,SAN DIEGO,100,73405050350202,73405050350202,24,24,5,12,4,0,10,46,188,83,4,14,8,4,14,0,0
5,CDLN-5,1,CP MESA,100006,MESA,CP Mesa,2,SAN DIEGO,100,73405050360202,73405050360202,24,24,5,16,4,0,10,49,213,95,3,15,8,3,15,0,0
5,CDLN-5,1,CP ROSE,100007,ROSE,CP Rose,2,SAN DIEGO,100,73405050830202,73405050830202,24,24,4,14,4,0,10,46,191,96,4,14,8,4,14,0,0
5,CDLN-5,1,CP BROADWAY,100008,BROADWAY,CP Broadway,2,SAN DIEGO,100,73405050950202,73405050950202,16,24,5,17,3,2,8,51,229,102,6,24,8,4,14,2,10
5,CDLN-5,1,CP EAST BROOK,100009,EAST BROOK,CP East Brook,2,SAN DIEGO,100,73405050480202,73405050480202,8,16,3,5,5,0,4,19,158,62,0,13,13,0,13,0,0
5,CDLN-5,1,CP SORRENTO,100010,SORRENTO,CP Sorrento,2,SAN DIEGO,100,73405050760202,73405050760202,24,24,4,9,2,0,6,34,130,65,4,14,8,4,14,0,0
5,CDLN-5,1,CP PACIFIC,100011,PACIFIC,CP Pacific,2,SAN DIEGO,100,73405050530202,73405050530202,8,16,3,4,1,1,4,23,80,40,5,16,3,4,11,1,5
