switch_uid,control_point_uid,subdivision_name,codeline,switch_name,track_name,type_of_switch,switch_point_monitor_mode,switch_lock_no_control,rcps_flag,rcps_control_token_count,rcps_control_distinct_token_count,rcps_control_distinct_tokens,rcps_control_all_tokens_same,rcps_indication_token_count,rcps_indication_distinct_token_count,rcps_indication_distinct_tokens,rcps_indication_all_tokens_same,lock_bit_raw,switch_block_bit_raw,pctl_resolved_count,pctl_unresolved_count,pctl_resolved_mnemonics,pind_resolved_count,pind_resolved_mnemonics,sctl_resolved_count,sctl_unresolved_count,sctl_resolved_mnemonics,sind_resolved_count,sind_resolved_mnemonics,tctl_unresolved_count,tind_unresolved_count,lockbit_unresolved_count,switchblk_default_zero_count
200118,200000,ESCONDIDO,6,1-SWITCH,MAIN,NORMAL,False,False,False,4,1,0;1;200000,True,5,1,0;1;200000,True,0;1;200000,0;0;0,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
200131,200002,ESCONDIDO,7,1-SWITCH,MAIN,NORMAL,False,False,False,4,1,0;1;200002,True,5,1,0;1;200002,True,0;1;200002,9;1;200002,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,0
200142,200002,ESCONDIDO,7,1-SWITCH,MAIN,NORMAL,False,False,False,4,1,0;1;200002,True,5,1,0;1;200002,True,0;1;200002,9;1;200002,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,0
200535,200002,ESCONDIDO,7,3-SWITCH,MAIN,DERAIL,False,False,False,4,1,0;1;200002,True,5,1,0;1;200002,True,0;1;200002,10;1;200002,1,1,3RWS,1,3RWK,1,1,3NWS,1,3NWK,1,1,1,0
200153,200003,ESCONDIDO,10,1-SWITCH,MAIN,NORMAL,False,False,False,4,1,0;1;200003,True,5,1,0;1;200003,True,0;1;200003,0;0;0,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
200163,200004,ESCONDIDO,8,1-SWITCH,MAIN,NORMAL,False,False,False,4,1,0;1;200004,True,5,1,0;1;200004,True,0;1;200004,9;1;200004,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,1,1,1,0
200651,200004,ESCONDIDO,8,1-SWITCH,MAIN,DERAIL,False,False,False,4,1,0;1;200004,True,5,1,0;1;200004,True,0;1;200004,9;1;200004,0,2,,1,1RWK,0,2,,1,1NWK,1,1,1,0
200222,200007,ESCONDIDO,13,1-SWITCH,MAIN,NORMAL,False,False,False,4,1,0;1;200007,True,5,1,0;1;200007,True,0;1;200007,0;0;0,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
200246,200010,ESCONDIDO,15,1-SWITCH,MAIN,NORMAL,False,False,False,4,1,0;1;200010,True,5,1,0;1;200010,True,0;1;200010,0;0;0,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
200256,200013,ESCONDIDO,18,1-SWITCH,MAIN,NORMAL,False,False,False,4,1,0;1;200013,True,5,1,0;1;200013,True,0;1;200013,0;0;0,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
200299,200016,ESCONDIDO,20,1-SWITCH,MAIN,NORMAL,False,False,False,4,1,0;1;200016,True,5,1,0;1;200016,True,0;1;200016,0;0;0,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
