subdivision_name,type_of_switch,switch_point_monitor_mode,rcps_flag,rcps_control_token_count,rcps_indication_token_count,rcps_control_distinct_tokens,rcps_indication_distinct_tokens,switch_count,distinct_control_point_count,switch_examples,resolved_pctl_mnemonics,resolved_sctl_mnemonics
SAN DIEGO,NORMAL,False,False,4,5,0;1;100013,0;1;100013,8,1,100275:3-SWITCH|100286:3-SWITCH|100732:7-SWITCH|100735:7-SWITCH|100756:5-SWITCH|100773:5-SWITCH|100779:1-SWITCH|100782:1-SWITCH,1NWS|3NWS|5NWS|7NWS,1RWS|3RWS|5RWS|7RWS
SAN DIEGO,NORMAL,False,False,4,5,0;1;100033,0;1;100033,6,1,100518:1-SWITCH|100519:3-SWITCH|100529:1-SWITCH|100530:3-SWITCH|100533:5-SWITCH|100535:7-SWITCH,1NWS|3NWS|5NWS|7NWS,1RWS|3RWS|5RWS|7RWS
ESCONDIDO,NORMAL,False,False,4,5,0;1;200027,0;1;200027,4,1,200427:5-SWITCH|200438:3-SWITCH|200457:13-SWITCH|200465:1-SWITCH,13NWS|1NWS|3NWS|5NWS,13RWS|1RWS|3RWZ|5RWS
SAN DIEGO,NORMAL,False,False,4,5,0;1;100002,0;1;100002,4,1,100149:1-SWITCH|100150:3-SWITCH|100168:1-SWITCH|100169:3-SWITCH,1NWS|3NWS,1RWS|3RWS
SAN DIEGO,NORMAL,False,False,4,5,0;1;100004,0;1;100004,4,1,100276:1-SWITCH|100282:1-SWITCH|100285:3-SWITCH|100295:3-SWITCH,1NWS|3NWS,1RWS|3RWS
SAN DIEGO,NORMAL,False,False,4,5,0;1;100007,0;1;100007,4,1,100341:1-SWITCH|100343:3-SWITCH|100412:1-SWITCH|100413:3-SWITCH,1NWS|3NWS,1RWS|3RWS
SAN DIEGO,NORMAL,False,False,4,5,0;1;100017,0;1;100017,4,1,100767:3-SWITCH|100901:1-SWITCH|100902:1-SWITCH|100903:3-SWITCH,3NWS|NWS,1RWS|3RWS
SAN DIEGO,NORMAL,False,False,4,5,0;1;100020,0;1;100020,4,1,100881:1-SWITCH|100888:3-SWITCH|100912:1-SWITCH|100914:3-SWITCH,1NWS|3NWS,1RWS|3RWS
SAN DIEGO,SPM ONLY,True,False,4,5,0;1;100009,0;1;100009,4,1,100592:EAST LEG FALLBROOK YARD|100597:WEST LEG FALLBROOK YARD|100598:WEST LEG LEMON GROVE WYE|100599:EAST LEG LEMON GROVE WYE,,
ESCONDIDO,DERAIL,False,False,4,5,0;1;200027,0;1;200027,3,1,200449:DERAIL|200450:9-SWITCH|200451:11-SWITCH,11RWS|9RWS,11NWS|9NWS
SAN DIEGO,NORMAL,False,False,4,5,0;1;100005,0;1;100005,3,1,100166:3-SWITCH|100679:1-SWITCH|100684:1-SWITCH,3NWS|NWS,3RWS|RWS
SAN DIEGO,NORMAL,False,False,4,5,0;1;100008,0;1;100008,3,1,100469:5-SWITCH|100472:1-SWITCH|100477:3-SWITCH,1NWS|3NWS|5NWS,1RWS|3RWS|5RWS
SAN DIEGO,NORMAL,False,False,4,5,0;1;100006,0;1;100006,3,1,100665:1-SWITCH|100674:3-SWITCH|100675:3-SWITCH,3NWS|NWS,1RWS|3RWS
ESCONDIDO,NORMAL,False,False,4,5,0;1;200002,0;1;200002,2,1,200131:1-SWITCH|200142:1-SWITCH,1NWS,1RWS
ESCONDIDO,SPM ONLY,False,False,4,5,0;1;200027,0;1;200027,2,1,200538:1205-EL|200539:1207-EL,FNWZ,1205WRZ|1207WRZ
SAN DIEGO,NORMAL,False,False,4,5,0;1;100027,0;1;100027,2,1,100443:1-SWITCH|100459:3-SWITCH,1NWS|3NWS,1RWS|3RWS
