control_point_uid,subdivision_name,codeline,shared_anchor_raw,switch_count,type_of_switch_values,switch_point_monitor_mode_values,tctl_non_anchor_switch_count,switch_blk_nondefault_switch_count,switch_block_control_nondefault_switch_count,switch_block_control_resolved_switch_count,switch_block_control_unresolved_switch_count,switch_examples,tctl_non_anchor_examples,switch_block_control_resolved_mnemonics,pctl_resolved_mnemonics,sctl_resolved_mnemonics,pind_resolved_mnemonics,sind_resolved_mnemonics
200000,ESCONDIDO,6,0;1;200000,1,NORMAL,False,0,0,0,0,0,200118:1-SWITCH,,,1NWS,1RWS,1NWK,1RWK
200002,ESCONDIDO,7,0;1;200002,3,DERAIL|NORMAL,False,1,3,3,2,1,200131:1-SWITCH|200142:1-SWITCH|200535:3-SWITCH,200535:3-SWITCH:10;1;200002,1BLZ|3BCAN|3BLZ|3SWBLKZ,1NWS|3RWS,1RWS|3NWS,1NWK|3RWK,1RWK|3NWK
200003,ESCONDIDO,10,0;1;200003,1,NORMAL,False,0,0,0,0,0,200153:1-SWITCH,,,1NWS,1RWS,1NWK,1RWK
200004,ESCONDIDO,8,0;1;200004,2,DERAIL|NORMAL,False,2,2,1,1,0,200163:1-SWITCH|200651:1-SWITCH,200163:1-SWITCH:9;1;200004|200651:1-SWITCH:10;1;200004,1BCAN|1BLZ,1NWS,1RWS,1NWK|1RWK,1NWK|1RWK
200007,ESCONDIDO,13,0;1;200007,1,NORMAL,False,0,0,0,0,0,200222:1-SWITCH,,,1NWS,1RWS,1NWK,1RWK
200010,ESCONDIDO,15,0;1;200010,1,NORMAL,False,0,0,0,0,0,200246:1-SWITCH,,,1NWS,1RWS,1NWK,1RWK
200013,ESCONDIDO,18,0;1;200013,1,NORMAL,False,0,0,0,0,0,200256:1-SWITCH,,,1NWS,1RWS,1NWK,1RWK
200016,ESCONDIDO,20,0;1;200016,1,NORMAL,False,0,0,0,0,0,200299:1-SWITCH,,,1NWS,1RWS,1NWK,1RWK
200017,ESCONDIDO,22,0;1;200017,1,NORMAL,False,0,0,0,0,0,200319:1-SWITCH,,,1NWS,1RWS,1NWK,1RWK
200019,ESCONDIDO,24,0;1;200019,1,NORMAL,False,0,0,0,0,0,200383:1-SWITCH,,,1NWS,1RWS,1NWK,1RWK
200020,ESCONDIDO,23,0;1;200020,1,NORMAL,False,0,0,0,0,0,200357:1-SWITCH,,,1NWS,1RWS,1NWK,1RWK
