switch_uid,control_point_uid,subdivision_name,codeline,switch_name,track_name,type_of_switch,switch_point_monitor_mode,rcps_flag,shared_anchor_raw,rcps_control_distinct_tokens,rcps_indication_distinct_tokens,anchor_equals_rcps_indication,lockbit_raw,tind_raw,anchor_equals_lockbit,anchor_equals_tind,tctl_parts,anchor_present_in_tctl,tctl_all_parts_anchor,tctl_non_anchor_sibling_count,tctl_non_anchor_siblings,switch_blk_bit_raw,switch_blk_bit_is_default_zero,switch_blk_bit_is_nondefault,switch_block_control_parts,switch_block_control_part_count,switch_block_control_nondefault_part_count,switch_block_control_resolved_count,switch_block_control_unresolved_count,switch_block_control_default_zero_count,switch_block_control_resolved_mnemonics,pctl_resolved_mnemonics,pind_resolved_mnemonics,sctl_resolved_mnemonics,sind_resolved_mnemonics
200118,200000,ESCONDIDO,6,1-SWITCH,MAIN,NORMAL,False,False,0;1;200000,0;1;200000,0;1;200000,True,0;1;200000,0;1;200000,True,True,0;1;200000|0;1;200000,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,1NWS,1NWK,1RWS,1RWK
200131,200002,ESCONDIDO,7,1-SWITCH,MAIN,NORMAL,False,False,0;1;200002,0;1;200002,0;1;200002,True,0;1;200002,0;1;200002,True,True,0;1;200002|0;1;200002,True,True,0,,9;1;200002,False,True,0;1;0;1|0;1;0;1,2,2,0,2,0,,1NWS,1NWK,1RWS,1RWK
200142,200002,ESCONDIDO,7,1-SWITCH,MAIN,NORMAL,False,False,0;1;200002,0;1;200002,0;1;200002,True,0;1;200002,0;1;200002,True,True,0;1;200002|0;1;200002,True,True,0,,9;1;200002,False,True,9;1;200002;7|12;1;200002;7,2,2,2,0,0,1BLZ|3SWBLKZ,1NWS,1NWK,1RWS,1RWK
200535,200002,ESCONDIDO,7,3-SWITCH,MAIN,DERAIL,False,False,0;1;200002,0;1;200002,0;1;200002,True,0;1;200002,0;1;200002,True,True,10;1;200002|0;1;200002,True,False,1,10;1;200002,10;1;200002,False,True,10;1;200002;7|13;1;200002;7,2,2,2,0,0,3BLZ|3BCAN,3RWS,3RWK,3NWS,3NWK
200153,200003,ESCONDIDO,10,1-SWITCH,MAIN,NORMAL,False,False,0;1;200003,0;1;200003,0;1;200003,True,0;1;200003,0;1;200003,True,True,0;1;200003|0;1;200003,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,1NWS,1NWK,1RWS,1RWK
200163,200004,ESCONDIDO,8,1-SWITCH,MAIN,NORMAL,False,False,0;1;200004,0;1;200004,0;1;200004,True,0;1;200004,0;1;200004,True,True,9;1;200004|0;1;200004,True,False,1,9;1;200004,9;1;200004,False,True,9;1;200004;8|10;1;200004;8,2,2,2,0,0,1BLZ|1BCAN,1NWS,1NWK,1RWS,1RWK
200651,200004,ESCONDIDO,8,1-SWITCH,MAIN,DERAIL,False,False,0;1;200004,0;1;200004,0;1;200004,True,0;1;200004,0;1;200004,True,True,10;1;200004|0;1;200004,True,False,1,10;1;200004,9;1;200004,False,True,,0,0,0,0,0,,,1RWK,,1NWK
200222,200007,ESCONDIDO,13,1-SWITCH,MAIN,NORMAL,False,False,0;1;200007,0;1;200007,0;1;200007,True,0;1;200007,0;1;200007,True,True,0;1;200007|0;1;200007,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,1NWS,1NWK,1RWS,1RWK
200246,200010,ESCONDIDO,15,1-SWITCH,MAIN,NORMAL,False,False,0;1;200010,0;1;200010,0;1;200010,True,0;1;200010,0;1;200010,True,True,0;1;200010|0;1;200010,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,1NWS,1NWK,1RWS,1RWK
200256,200013,ESCONDIDO,18,1-SWITCH,MAIN,NORMAL,False,False,0;1;200013,0;1;200013,0;1;200013,True,0;1;200013,0;1;200013,True,True,0;1;200013|0;1;200013,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,1NWS,1NWK,1RWS,1RWK
200299,200016,ESCONDIDO,20,1-SWITCH,MAIN,NORMAL,False,False,0;1;200016,0;1;200016,0;1;200016,True,0;1;200016,0;1;200016,True,True,0;1;200016|0;1;200016,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,1NWS,1NWK,1RWS,1RWK
200319,200017,ESCONDIDO,22,1-SWITCH,MT1,NORMAL,False,False,0;1;200017,0;1;200017,0;1;200017,True,0;1;200017,0;1;200017,True,True,0;1;200017|0;1;200017,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,1NWS,1NWK,1RWS,1RWK
200383,200019,ESCONDIDO,24,1-SWITCH,MAIN,NORMAL,False,False,0;1;200019,0;1;200019,0;1;200019,True,0;1;200019,0;1;200019,True,True,0;1;200019|0;1;200019,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,1NWS,1NWK,1RWS,1RWK
200357,200020,ESCONDIDO,23,1-SWITCH,MAIN,NORMAL,False,False,0;1;200020,0;1;200020,0;1;200020,True,0;1;200020,0;1;200020,True,True,0;1;200020|0;1;200020,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,1NWS,1NWK,1RWS,1RWK
200427,200027,ESCONDIDO,27,5-SWITCH,MAIN,NORMAL,False,False,0;1;200027,0;1;200027,0;1;200027,True,0;1;200027,0;1;200027,True,True,17;1;200027|0;1;200027,True,False,1,17;1;200027,17;1;200027,False,True,17;1;200027;27|25;1;200027;27,2,2,2,0,0,5BLZ|5BCAN,5NWS,5NWK,5RWS,5RWK
200438,200027,ESCONDIDO,27,3-SWITCH,MAIN,NORMAL,False,False,0;1;200027,0;1;200027,0;1;200027,True,0;1;200027,0;1;200027,True,True,0;1;200027|0;1;200027,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,3NWS,3NWK,3RWZ,3RWK
200449,200027,ESCONDIDO,27,DERAIL,MAIN,DERAIL,False,False,0;1;200027,0;1;200027,0;1;200027,True,0;1;200027,0;1;200027,True,True,17;1;200027|0;1;200027,True,False,1,17;1;200027,17;1;200027,False,True,17;1;200027;27|25;1;200027;27,2,2,2,0,0,5BLZ|5BCAN,,5RWK,,5NWK
200450,200027,ESCONDIDO,27,9-SWITCH,MAIN,DERAIL,False,False,0;1;200027,0;1;200027,0;1;200027,True,0;1;200027,0;1;200027,True,True,19;1;200027|0;1;200027,True,False,1,19;1;200027,19;1;200027,False,True,19;1;200027;27|27;1;200027;27,2,2,2,0,0,9BLZ|9BCAN,9RWS,9RWK,9NWS,9NWK
200451,200027,ESCONDIDO,27,11-SWITCH,MAIN,DERAIL,False,False,0;1;200027,0;1;200027,0;1;200027,True,0;1;200027,0;1;200027,True,True,20;1;200027|0;1;200027,True,False,1,20;1;200027,20;1;200027,False,True,20;1;200027;27|28;1;200027;27,2,2,2,0,0,11BLZ|11BCAN,11RWS,11RWK,11NWS,11NWK
200457,200027,ESCONDIDO,27,13-SWITCH,MAIN,NORMAL,False,False,0;1;200027,0;1;200027,0;1;200027,True,0;1;200027,0;1;200027,True,True,0;1;200027|0;1;200027,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,13NWS,13NWK,13RWS,13RWK
200465,200027,ESCONDIDO,27,1-SWITCH,MAIN,NORMAL,False,False,0;1;200027,0;1;200027,0;1;200027,True,0;1;200027,0;1;200027,True,True,0;1;200027|0;1;200027,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,1NWS,1NWK,1RWS,1RWK
200538,200027,ESCONDIDO,27,1205-EL,MAIN,SPM ONLY,False,False,0;1;200027,0;1;200027,0;1;200027,True,0;1;200027,0;1;200027,True,True,0;1;200027|0;1;200027,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,FNWZ,1205NWK,1205WRZ,
200539,200027,ESCONDIDO,27,1207-EL,MAIN,SPM ONLY,False,False,0;1;200027,0;1;200027,0;1;200027,True,0;1;200027,0;1;200027,True,True,0;1;200027|0;1;200027,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,FNWZ,1207NWK,1207WRZ,
200472,200028,ESCONDIDO,28,7-SWITCH,MAIN,DERAIL,False,False,0;1;200028,0;1;200028,0;1;200028,True,0;1;200028,0;1;200028,True,True,0;1;200028|0;1;200028,True,True,0,,8;1;200028,False,True,6;1;200028;28|14;1;200028;28,2,2,2,0,0,7BLZ|7BCAN,7RWS,7RWK,7NWS,7NWK
100730,100000,SAN DIEGO,5,1-SWITCH,MAIN,NORMAL,False,False,0;1;100000,0;1;100000,0;1;100000,True,0;1;100000,0;1;100000,True,True,0;1;100000|0;1;100000,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,1NWS,1NWK,1RWS,1RWK
100124,100001,SAN DIEGO,5,1-SWITCH,MAIN,NORMAL,False,False,0;1;100001,0;1;100001,0;1;100001,True,0;1;100001,0;1;100001,True,True,0;1;100001|0;1;100001,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,1NWS,1NWK,1RWS,1RWK
100238,100001,SAN DIEGO,5,EDISON POWER PLANT,MAIN2,SPM ONLY,True,False,0;1;100001,0;1;100001,0;1;100001,True,0;1;100001,0;1;100001,True,True,0;1;100001|0;1;100001,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,,,,
100600,100001,SAN DIEGO,5,CP STUART LEAD,MAIN2,SPM ONLY,True,False,0;1;100001,0;1;100001,0;1;100001,True,0;1;100001,0;1;100001,True,True,0;1;100001|0;1;100001,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,,,,
100149,100002,SAN DIEGO,5,1-SWITCH,MT1,NORMAL,False,False,0;1;100002,0;1;100002,0;1;100002,True,0;1;100002,0;1;100002,True,True,0;1;100002|0;1;100002,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,1NWS,1NWK,1RWS,1RWK
100150,100002,SAN DIEGO,5,3-SWITCH,MT1,NORMAL,False,False,0;1;100002,0;1;100002,0;1;100002,True,0;1;100002,0;1;100002,True,True,0;1;100002|0;1;100002,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,3NWS,3NWK,3RWS,3RWK
100168,100002,SAN DIEGO,5,1-SWITCH,MT2,NORMAL,False,False,0;1;100002,0;1;100002,0;1;100002,True,0;1;100002,0;1;100002,True,True,0;1;100002|0;1;100002,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,1NWS,1NWK,1RWS,1RWK
100169,100002,SAN DIEGO,5,3-SWITCH,MT2,NORMAL,False,False,0;1;100002,0;1;100002,0;1;100002,True,0;1;100002,0;1;100002,True,True,0;1;100002|0;1;100002,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,3NWS,3NWK,3RWS,3RWK
100145,100003,SAN DIEGO,5,1-SWITCH,MAIN,NORMAL,False,False,0;1;100003,0;1;100003,0;1;100003,True,0;1;100003,0;1;100003,True,True,0;1;100003|0;1;100003,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,NWS,NWK,RWS,RWK
100276,100004,SAN DIEGO,5,1-SWITCH,MT2,NORMAL,False,False,0;1;100004,0;1;100004,0;1;100004,True,0;1;100004,0;1;100004,True,True,0;1;100004|0;1;100004,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,1NWS,1NWK,1RWS,1RWK
100282,100004,SAN DIEGO,5,1-SWITCH,MT1,NORMAL,False,False,0;1;100004,0;1;100004,0;1;100004,True,0;1;100004,0;1;100004,True,True,0;1;100004|0;1;100004,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,1NWS,1NWK,1RWS,1RWK
100285,100004,SAN DIEGO,5,3-SWITCH,MT1,NORMAL,False,False,0;1;100004,0;1;100004,0;1;100004,True,0;1;100004,0;1;100004,True,True,0;1;100004|0;1;100004,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,3NWS,3NWK,3RWS,3RWK
100295,100004,SAN DIEGO,5,3-SWITCH,MT2,NORMAL,False,False,0;1;100004,0;1;100004,0;1;100004,True,0;1;100004,0;1;100004,True,True,0;1;100004|0;1;100004,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,3NWS,3NWK,3RWS,3RWK
100166,100005,SAN DIEGO,5,3-SWITCH,MT2,NORMAL,False,False,0;1;100005,0;1;100005,0;1;100005,True,0;1;100005,0;1;100005,True,True,0;1;100005|0;1;100005,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,3NWS,3NWK,3RWS,3RWK
100679,100005,SAN DIEGO,5,1-SWITCH,MT2,NORMAL,False,False,0;1;100005,0;1;100005,0;1;100005,True,0;1;100005,0;1;100005,True,True,0;1;100005|0;1;100005,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,NWS,NWK,RWS,1RWK
100684,100005,SAN DIEGO,5,1-SWITCH,MT1,NORMAL,False,False,0;1;100005,0;1;100005,0;1;100005,True,0;1;100005,0;1;100005,True,True,0;1;100005|0;1;100005,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,NWS,NWK,RWS,1RWK
100695,100005,SAN DIEGO,5,3-SWITCH,MT2,DERAIL,False,False,0;1;100005,0;1;100005,0;1;100005,True,0;1;100005,0;1;100005,True,True,0;1;100005|0;1;100005,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,,3RWK,,3NWK
100647,100006,SAN DIEGO,5,1-SWITCH,MT2,DERAIL,False,False,0;1;100006,0;1;100006,0;1;100006,True,0;1;100006,0;1;100006,True,True,0;1;100006|0;1;100006,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,,1RWK,,1NWK
100665,100006,SAN DIEGO,5,1-SWITCH,MT2,NORMAL,False,False,0;1;100006,0;1;100006,0;1;100006,True,0;1;100006,0;1;100006,True,True,0;1;100006|0;1;100006,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,NWS,1NWK,1RWS,1RWK
100674,100006,SAN DIEGO,5,3-SWITCH,MT1,NORMAL,False,False,0;1;100006,0;1;100006,0;1;100006,True,0;1;100006,0;1;100006,True,True,0;1;100006|0;1;100006,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,3NWS,3NWK,3RWS,3RWK
100675,100006,SAN DIEGO,5,3-SWITCH,MT2,NORMAL,False,False,0;1;100006,0;1;100006,0;1;100006,True,0;1;100006,0;1;100006,True,True,0;1;100006|0;1;100006,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,3NWS,3NWK,3RWS,3RWK
100341,100007,SAN DIEGO,5,1-SWITCH,MT1,NORMAL,False,False,0;1;100007,0;1;100007,0;1;100007,True,0;1;100007,0;1;100007,True,True,0;1;100007|0;1;100007,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,1NWS,1NWK,1RWS,1RWK
100343,100007,SAN DIEGO,5,3-SWITCH,MT1,NORMAL,False,False,0;1;100007,0;1;100007,0;1;100007,True,0;1;100007,0;1;100007,True,True,0;1;100007|0;1;100007,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,3NWS,3NWK,3RWS,3RWK
100412,100007,SAN DIEGO,5,1-SWITCH,MT2,NORMAL,False,False,0;1;100007,0;1;100007,0;1;100007,True,0;1;100007,0;1;100007,True,True,0;1;100007|0;1;100007,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,1NWS,1NWK,1RWS,1RWK
100413,100007,SAN DIEGO,5,3-SWITCH,MT2,NORMAL,False,False,0;1;100007,0;1;100007,0;1;100007,True,0;1;100007,0;1;100007,True,True,0;1;100007|0;1;100007,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,3NWS,3NWK,3RWS,3RWK
