database_name,table_name,column_name,ordinal_position,data_type,row_count,non_empty_count,empty_count,distinct_non_empty_count,max_length,sample_values,profile_source_csv
tmdsDatabaseDynamic,MdmTrainObjectData,Id,1,,5933,5933,0,5933,5,29137|29920|18292|19193|22606|26410|20122|25863,exports\raw\sql_foundation\tmdsDatabaseDynamic.mdm_train_object_detail_full.csv
tmdsDatabaseDynamic,MdmTrainObjectData,LocomotiveId,2,,5933,5933,0,5933,10,BNSF 3650|NCTC 2308|BNSF 3851|BNSF 5847|NCTC 5001|BNSF 4165|BNSF 7778|BNSF 6857,exports\raw\sql_foundation\tmdsDatabaseDynamic.mdm_train_object_detail_full.csv
tmdsDatabaseDynamic,MdmTrainObjectData,Last2100,3,,5933,5933,0,4843,22,2026-03-24 오전 9:05:51|2026-03-24 오전 9:05:50|2026-03-24 오전 9:05:49|2026-03-24 오전 9:05:48|2026-03-24 오전 9:05:45|2026-03-24 오전 9:05:44|2026-03-24 오전 9:05:42|2026-03-24 오전 9:05:41,exports\raw\sql_foundation\tmdsDatabaseDynamic.mdm_train_object_detail_full.csv
tmdsDatabaseDynamic,MdmTrainObjectData,IcdInterfaceVersion,4,,5933,5933,0,2,11,ICD_4_0|BOS_ICD_3_0,exports\raw\sql_foundation\tmdsDatabaseDynamic.mdm_train_object_detail_full.csv
tmdsDatabaseDynamic,tblAuthoritiesActive,AuthorityNumber,1,,4,4,0,4,4,5419|5420|5423|5429,exports\raw\sql_foundation\tmdsDatabaseDynamic.authority_detail_full.csv
tmdsDatabaseDynamic,tblAuthoritiesActive,RailRoadName,2,,4,4,0,1,9,SAN DIEGO,exports\raw\sql_foundation\tmdsDatabaseDynamic.authority_detail_full.csv
tmdsDatabaseDynamic,tblAuthoritiesActive,DispatcherName,3,,4,4,0,2,22,"FLORES, MARIANNA {MLF}|ANDROVICH, ERINA {EAA}",exports\raw\sql_foundation\tmdsDatabaseDynamic.authority_detail_full.csv
tmdsDatabaseDynamic,tblAuthoritiesActive,CreateDate,4,,4,4,0,4,22,2026-03-23 오후 10:00:10|2026-03-23 오후 10:22:10|2026-03-23 오후 10:39:42|2026-03-24 오전 1:49:11,exports\raw\sql_foundation\tmdsDatabaseDynamic.authority_detail_full.csv
tmdsDatabaseDynamic,tblAuthoritiesActive,Direction,5,,4,4,0,2,5,RIGHT|LEFT,exports\raw\sql_foundation\tmdsDatabaseDynamic.authority_detail_full.csv
tmdsDatabaseDynamic,tblAuthoritiesActive,AuthorityDate,6,,4,4,0,4,22,2026-03-23 오후 10:00:00|2026-03-23 오후 10:22:00|2026-03-23 오후 10:39:00|2026-03-24 오전 1:49:00,exports\raw\sql_foundation\tmdsDatabaseDynamic.authority_detail_full.csv
tmdsDatabaseDynamic,tblAuthoritiesActive,AuthorityType,7,,4,4,0,1,2,TT,exports\raw\sql_foundation\tmdsDatabaseDynamic.authority_detail_full.csv
tmdsDatabaseDynamic,tblAuthoritiesActive,IssueTo,8,,4,4,0,2,17,"PANGELINAN, JAMIE|NCTC DUFFY",exports\raw\sql_foundation\tmdsDatabaseDynamic.authority_detail_full.csv
tmdsDatabaseDynamic,tblAuthoritiesActive,AuthorityLimits,9,,4,4,0,4,132,GRANTED ON MT1 TRACK|BETWEEN CP SORRENTO|AND CP SCRIPPS||GRANTED ON MAIN TRACK|BETWEEN CP TORREY|AND CP DEL MAR||GRANTED ON MAIN TRACK|BETWEEN WEST LIMITS CP SCRIPPS|AND EAST LIMITS CP MIRAMAR|GRANTED ON MT1 TRACK|BETWEEN CP MIRAMAR|AND CP ROSE||GRANTED ON MT2 TRACK|BETWEEN CP MIRAMAR|AND CP ROSE|,exports\raw\sql_foundation\tmdsDatabaseDynamic.authority_detail_full.csv
tmdsDatabaseDynamic,tblAuthoritiesActive,OKTime,10,,4,4,0,4,22,2026-03-23 오후 10:00:00|2026-03-23 오후 10:22:00|2026-03-23 오후 10:39:00|2026-03-24 오전 1:49:00,exports\raw\sql_foundation\tmdsDatabaseDynamic.authority_detail_full.csv
tmdsDatabaseDynamic,tblAuthoritiesActive,UntilTime,11,,4,4,0,4,22,2026-03-24 오전 12:30:00|2026-03-23 오전 5:00:00|2026-03-23 오전 3:45:00|2026-03-24 오전 3:45:00,exports\raw\sql_foundation\tmdsDatabaseDynamic.authority_detail_full.csv
tmdsDatabaseDynamic,tblAuthoritiesActive,MobileID,12,,4,4,0,1,1,0,exports\raw\sql_foundation\tmdsDatabaseDynamic.authority_detail_full.csv
