database_name,table_name,row_count,column_count,profile_source_csv
tmdsDatabaseDynamic,MdmTrainObjectData,5933,4,exports\raw\sql_foundation\tmdsDatabaseDynamic.mdm_train_object_detail_full.csv
tmdsDatabaseDynamic,tblAuthoritiesActive,4,91,exports\raw\sql_foundation\tmdsDatabaseDynamic.authority_detail_full.csv
tmdsDatabaseDynamic,tblBosDepartureTestData,14,22,exports\raw\sql_foundation\tmdsDatabaseDynamic.bos_departure_test_detail_full.csv
tmdsDatabaseDynamic,tblLocomotivePositionReport,2301,34,exports\raw\sql_foundation\tmdsDatabaseDynamic.locomotive_position_detail_full.csv
tmdsDatabaseDynamic,tblSystemBulletins,19,137,exports\raw\sql_foundation\tmdsDatabaseDynamic.bulletin_detail_full.csv
tmdsDatabaseDynamic,tblTrainOsEventsActive,130,9,exports\raw\sql_foundation\tmdsDatabaseDynamic.os_event_detail_full.csv
tmdsDatabaseDynamic,tblTrainsActive,310,161,exports\raw\sql_foundation\tmdsDatabaseDynamic.active_train_detail_full.csv
tmdsDatabaseStatic,tblCodeLines,27,25,exports\raw\sql_foundation\tmdsDatabaseStatic.code_line_detail_full.csv
tmdsDatabaseStatic,tblCodeStations,50,32,exports\raw\sql_foundation\tmdsDatabaseStatic.code_station_detail_full.csv
tmdsDatabaseStatic,tblCompControlPoints,50,106,exports\raw\sql_foundation\tmdsDatabaseStatic.control_point_detail_full.csv
tmdsDatabaseStatic,tblCompMiscDevices,119,51,exports\raw\sql_foundation\tmdsDatabaseStatic.misc_device_detail_full.csv
tmdsDatabaseStatic,tblCompSignals,165,107,exports\raw\sql_foundation\tmdsDatabaseStatic.signal_detail_full.csv
tmdsDatabaseStatic,tblCompSwitches,99,79,exports\raw\sql_foundation\tmdsDatabaseStatic.switch_detail_full.csv
tmdsDatabaseStatic,tblCompTracks,444,145,exports\raw\sql_foundation\tmdsDatabaseStatic.track_detail_full.csv
