metric,value
component_reference_total,11433
component_reference_resolved,1684
component_reference_resolved_explicit,94
component_reference_resolved_inferred_bp_assignment,687
component_reference_resolved_inferred_trailing_code_line,903
component_reference_unresolved,6749
component_reference_default_zero,3000
scope_reference_total,3074
scope_reference_with_candidates,14
scope_reference_without_candidates,3060
zero_first_reference_total,6736
zero_first_reference_scoped_with_resolved_sibling,355
zero_first_reference_scoped_without_resolved_sibling,5998
zero_first_reference_unscoped_with_resolved_sibling,0
zero_first_reference_unscoped_without_resolved_sibling,284
cp_reference_total,2001
cp_reference_resolved,286
cp_reference_unresolved,1312
cp_reference_default_zero,403
cp_control_point_resolved,162
cp_control_point_unresolved,722
cp_control_point_default_zero,403
cp_misc_device_resolved,124
cp_misc_device_unresolved,590
cp_misc_device_default_zero,0
bos_emp_source_message_total,225
bos_emp_candidate_row_total,450
bos_emp_source_messages_with_catalog_match,225
bos_emp_source_messages_without_catalog_match,0
bos_emp_source_messages_without_message_id,0
