subdivision_name,track_name_group,control_cluster_raw,tind_relation_to_control_cluster,tind_raw,sind_relation_to_control_cluster,sind_raw,qctl_relation_to_control_cluster,qctl_raw,qind_relation_to_control_cluster,qind_raw,track_count,control_cluster_split_count,distinct_control_point_count,track_examples,resolved_pind_mnemonics,resolved_sind_mnemonics,resolved_sctl_mnemonics
ESCONDIDO,MAIN,0;1;200027;0027,same_as_control_cluster,0;1;200027;0027,same_as_control_cluster,0;1;200027;0027,blank,,blank,,16,0,1,200425:TK|200426:TK|200429:TK|200431:TK|200435:TK|200437:TK|200441:TK|200444:TK|200445:TK|200447:TK,TK,,
SAN DIEGO,MT,0;1;100008;0005,same_as_control_cluster,0;1;100008;0005,same_as_control_cluster,0;1;100008;0005,same_as_control_cluster,0;1;100008;0005,different_from_control_cluster,0;0;100008;5,13,0,1,100461:TK|100462:TK|100464:TK|100466:TK|100468:TK|100470:TK|100476:TK|100482:TK|100483:WAK|100487:TK,1TK|WAK,,
SAN DIEGO,MAIN,0;1;100027;0005,same_as_control_cluster,0;1;100027;0005,same_as_control_cluster,0;1;100027;0005,same_as_control_cluster,0;1;100027;0005,blank,,8,0,1,100436:1TK|100437:1TK|100438:1TK|100439:1TK|100456:1TK|100457:1TK|100458:1TK|100852:1TK,TK,,
SAN DIEGO,MT2,0;1;100033;0005,same_as_control_cluster,0;1;100033;0005,same_as_control_cluster,0;1;100033;0005,same_as_control_cluster,0;1;100033;0005,blank,,8,0,1,100522:3TK|100523:3TK|100526:3TK|100527:3TK|100536:3TK|100537:3TK|100539:3TK|100541:2WAAK,2WAAK|3TK,,
SAN DIEGO,MT1,0;1;100007;0005,same_as_control_cluster,0;1;100007;0005,same_as_control_cluster,0;1;100007;0005,same_as_control_cluster,0;1;100007;0005,default_zero,0;0;0;0,7,0,1,100319:2EAK|100320:1TK|100321:1TK|100322:1TK|100323:1TK|100324:1TK|100337:2WAK,1TK|2EAK|2WAK,,
SAN DIEGO,MT2,0;1;100007;0005,same_as_control_cluster,0;1;100007;0005,same_as_control_cluster,0;1;100007;0005,same_as_control_cluster,0;1;100007;0005,default_zero,0;0;0;0,7,0,1,100352:4EAK|100367:2TK|100395:2TK|100396:2TK|100397:2TK|100401:2TK|100402:4WAK,3TK|4EAK|4WAK,,
ESCONDIDO,MT1,0;1;200017;0022,same_as_control_cluster,0;1;200017;0022,same_as_control_cluster,0;1;200017;0022,blank,,blank,,6,0,1,200305:1152BK|200309:1SMSTK|200312:TK|200313:TK|200314:TK|200315:TK,1152BK|1SMSTK|TK,,
SAN DIEGO,MAIN,0;1;100015;0005,same_as_control_cluster,0;1;100015;0005,same_as_control_cluster,0;1;100015;0005,same_as_control_cluster,0;1;100015;0005,default_zero,0;0;0;0,6,0,2,100820:TK|100821:TK|100823:TK|100824:TK|100827:EBK|100864:2EAK,2EAK|TK|WAK,,
SAN DIEGO,MT1,0;1;100013;0005,different_from_control_cluster,0;1;100006;0005,same_as_control_cluster,0;1;100013;0005,same_as_control_cluster,0;1;100013;0005,blank,,6,0,1,100269:1TK|100289:1TK|100733:1TK|100778:1TK|100783:1ATK|100856:1TK,1ATK|1TK,,
SAN DIEGO,MT1,0;1;100033;0005,same_as_control_cluster,0;1;100033;0005,same_as_control_cluster,0;1;100033;0005,same_as_control_cluster,0;1;100033;0005,blank,,6,0,1,100511:1TK|100516:1TK|100532:1TK|100534:1TK|100538:1TK|100540:2WBAK,1TK|2WBAK,,
