track_uid,control_point_uid,subdivision_name,codeline,track_name,track_name_group,route_name,control_cluster_raw,control_cluster_split,control_cluster_distinct_count,pctl_raw,sctl_raw,tctl_raw,tind_raw,sind_raw,qctl_raw,qind_raw,tind_relation_to_control_cluster,sind_relation_to_control_cluster,qctl_relation_to_control_cluster,qind_relation_to_control_cluster,tind_cp_alignment,sind_cp_alignment,qctl_cp_alignment,qind_cp_alignment,tind_trailing_alignment,sind_trailing_alignment,qctl_trailing_alignment,qind_trailing_alignment,pind_resolved_mnemonics,sind_resolved_mnemonics,sctl_resolved_mnemonics,pind_resolved_count,sind_resolved_count,sctl_resolved_count
200109,200000,ESCONDIDO,6,10STK,MAIN,ROUTE NAME,0;1;200000;0006,False,1,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,10STK,,,1,0,0
200110,200000,ESCONDIDO,6,POCKET TRACK,SIDING,ROUTE NAME,0;1;200000;0006,False,1,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,20STK,,,1,0,0
200114,200000,ESCONDIDO,6,TK,MAIN,ROUTE NAME,0;1;200000;0006,False,1,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,TK,,,1,0,0
200115,200000,ESCONDIDO,6,TK,MAIN,ROUTE NAME,0;1;200000;0006,False,1,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,TK,,,1,0,0
200116,200000,ESCONDIDO,6,TK,MAIN,ROUTE NAME,0;1;200000;0006,False,1,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,TK,,,1,0,0
200117,200000,ESCONDIDO,6,TK,MAIN,ROUTE NAME,0;1;200000;0006,False,1,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,TK,,,1,0,0
200120,200000,ESCONDIDO,6,WABK,MAIN,ROUTE NAME,0;1;200000;6,False,1,0;1;200000;6,0;1;200000;6,0;1;200000;6,0;1;200000;6,0;1;200000;6,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,WABK,,,1,0,0
200577,200000,ESCONDIDO,6,SHELF 2,MAIN,NONE,0;1;200000;6,False,1,0;1;200000;6,0;1;200000;6,0;1;200000;6,0;1;200000;6,0;1;200000;6,0;0;0;0,,same_as_control_cluster,same_as_control_cluster,default_zero,blank,same_cp,same_cp,default_zero,blank,matches_codeline,matches_codeline,default_zero,blank,,,,0,0,0
200858,200000,ESCONDIDO,6,SHELF 1,MAIN,ROUTE NAME,0;1;200000;6,False,1,0;1;200000;6,0;1;200000;6,0;1;200000;6,0;1;200000;6,0;1;200000;6,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,,,,0,0,0
200859,200000,ESCONDIDO,6,SHELF 2,MAIN,ROUTE NAME,0;1;200000;6,False,1,0;1;200000;6,0;1;200000;6,0;1;200000;6,0;1;200000;6,0;1;200000;6,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,,,,0,0,0
200121,200002,ESCONDIDO,7,1EABK,MAIN,ROUTE NAME,0;1;200002;7,False,1,0;1;200002;7,0;1;200002;7,0;1;200002;7,0;1;200002;7,0;1;200002;7,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,1EABK,,,1,0,0
200122,200002,ESCONDIDO,7,1TK,MAIN,ROUTE NAME,0;1;200002;0007,False,1,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,1TK,,,1,0,0
200125,200002,ESCONDIDO,7,1TK,MAIN,ROUTE NAME,0;1;200002;0007,False,1,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,1TK,,,1,0,0
200134,200002,ESCONDIDO,7,3EABK,ESCON CON TRACK,ROUTE NAME,0;1;200002;0007|11;1;200002;0007,True,2,0;1;200002;0007,11;1;200002;0007,0;1;200002;0007,0;1;200002;0007,11;1;200002;0007,0;1;0;0000,,different_from_control_cluster,different_from_control_cluster,different_from_control_cluster,blank,same_cp,same_cp,zero_cp,blank,matches_codeline,matches_codeline,differs_from_codeline,blank,3EABK,3WBLK,3WBLZ,1,1,1
200135,200002,ESCONDIDO,7,3TK,ESCON CON,ROUTE NAME,0;1;200002;0007,False,1,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,3TK,,,1,0,0
200136,200002,ESCONDIDO,7,3TK,ESCON CON,ROUTE NAME,0;1;200002;0007,False,1,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,3TK,,,1,0,0
200137,200002,ESCONDIDO,7,3TK,ESCON CON,ROUTE NAME,0;1;200002;0007,False,1,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,3TK,,,1,0,0
200140,200002,ESCONDIDO,7,VERSAFORM TRACK,ESCON CON TRACK,ROUTE NAME,0;1;200002;0007,False,1,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,3WATK,,,1,0,0
200510,200002,ESCONDIDO,7,1TK,MAIN,ROUTE NAME,0;1;200002;0007,False,1,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;0;0000,,same_as_control_cluster,same_as_control_cluster,different_from_control_cluster,blank,same_cp,same_cp,zero_cp,blank,matches_codeline,matches_codeline,differs_from_codeline,blank,1TK,,,1,0,0
200534,200002,ESCONDIDO,7,1TK,MAIN,ROUTE NAME,0;1;200002;0007,False,1,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,1TK,,,1,0,0
200123,200003,ESCONDIDO,10,1021BK,MAIN,ROUTE NAME,0;1;200003;0010,False,1,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,1021BK,,,1,0,0
200146,200003,ESCONDIDO,10,TK,MAIN,ROUTE NAME,0;1;200003;0010,False,1,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,,same_as_control_cluster,same_as_control_cluster,same_as_control_cluster,blank,same_cp,same_cp,same_cp,blank,matches_codeline,matches_codeline,matches_codeline,blank,TK,,,1,0,0
200147,200003,ESCONDIDO,10,TK,MAIN,ROUTE NAME,0;1;200003;0010,False,1,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;0;0;0000,,same_as_control_cluster,same_as_control_cluster,different_from_control_cluster,blank,same_cp,same_cp,zero_cp,blank,matches_codeline,matches_codeline,differs_from_codeline,blank,TK,,,1,0,0
200148,200003,ESCONDIDO,10,TK,MAIN,ROUTE NAME,0;1;200003;0010,False,1,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,TK,,,1,0,0
200149,200003,ESCONDIDO,10,TK,MAIN,ROUTE NAME,0;1;200003;0010,False,1,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;0;0;0000,,same_as_control_cluster,same_as_control_cluster,different_from_control_cluster,blank,same_cp,same_cp,zero_cp,blank,matches_codeline,matches_codeline,differs_from_codeline,blank,TK,,,1,0,0
200174,200003,ESCONDIDO,10,1EABK,MAIN,ROUTE NAME,0;1;200003;0010,False,1,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;0;0000,,same_as_control_cluster,same_as_control_cluster,different_from_control_cluster,blank,same_cp,same_cp,zero_cp,blank,matches_codeline,matches_codeline,differs_from_codeline,blank,1EABK,,,1,0,0
