track_uid,control_point_uid,subdivision_name,codeline,track_name,track_type,track_name_group,territory_assignment,authority_type,route_name,turn_out_track,os_reporting,track_uid_raw,pind_raw,sind_raw,tind_raw,pctl_raw,sctl_raw,tctl_raw,qind_raw,qctl_raw,track_lock_bit_raw,track_blocking_references_raw,control_cluster_raw,control_cluster_distinct_count,control_cluster_all_equal,pctl_equals_tctl,pctl_equals_sctl,sctl_equals_tctl,sind_equals_tind,qctl_equals_control_cluster,qind_equals_tind,pind_cp_alignment,sind_cp_alignment,tind_cp_alignment,pctl_cp_alignment,sctl_cp_alignment,tctl_cp_alignment,qind_cp_alignment,qctl_cp_alignment,pind_trailing_alignment,sind_trailing_alignment,tind_trailing_alignment,pctl_trailing_alignment,sctl_trailing_alignment,tctl_trailing_alignment,qind_trailing_alignment,qctl_trailing_alignment,pind_resolved_count,pind_unresolved_count,pind_resolved_mnemonics,pind_resolved_long_names,sind_resolved_count,sind_unresolved_count,sind_resolved_mnemonics,sind_resolved_long_names,tind_resolved_count,tind_unresolved_count,pctl_resolved_count,pctl_unresolved_count,sctl_resolved_count,sctl_unresolved_count,sctl_resolved_mnemonics,sctl_resolved_long_names,tctl_resolved_count,tctl_unresolved_count,qind_resolved_count,qind_unresolved_count,qind_default_zero_count,qctl_resolved_count,qctl_unresolved_count,qctl_default_zero_count,trackblocking_unresolved_count,trackblocking_default_zero_count
200109,200000,ESCONDIDO,6,10STK,T,MAIN,200,CTC-OTHER,ROUTE NAME,False,False,0,7;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,,,0;0;0;0,,0;1;200000;0006,1,True,True,True,True,True,False,False,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,blank,blank,1,0,10STK,10STK,0,1,,,0,1,0,1,0,1,,,0,1,0,0,0,0,0,0,0,0
200110,200000,ESCONDIDO,6,POCKET TRACK,T,SIDING,200,CTC-OTHER,ROUTE NAME,False,False,0,8;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,,,0;0;0;0,,0;1;200000;0006,1,True,True,True,True,True,False,False,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,blank,blank,1,0,20STK,20STK,0,1,,,0,1,0,1,0,1,,,0,1,0,0,0,0,0,0,0,0
200114,200000,ESCONDIDO,6,TK,T,MAIN,200,CTC,ROUTE NAME,False,True,0,6;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,,,0;0;0;0,,0;1;200000;0006,1,True,True,True,True,True,False,False,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,blank,blank,1,0,TK,OS TRACK INDICATION,0,1,,,0,1,0,1,0,1,,,0,1,0,0,0,0,0,0,0,0
200115,200000,ESCONDIDO,6,TK,T,MAIN,200,CTC,ROUTE NAME,False,True,0,6;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,,,0;0;0;0,,0;1;200000;0006,1,True,True,True,True,True,False,False,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,blank,blank,1,0,TK,OS TRACK INDICATION,0,1,,,0,1,0,1,0,1,,,0,1,0,0,0,0,0,0,0,0
200116,200000,ESCONDIDO,6,TK,T,MAIN,200,CTC,ROUTE NAME,False,True,0,6;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,,,0;0;0;0,,0;1;200000;0006,1,True,True,True,True,True,False,False,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,blank,blank,1,0,TK,OS TRACK INDICATION,0,1,,,0,1,0,1,0,1,,,0,1,0,0,0,0,0,0,0,0
200117,200000,ESCONDIDO,6,TK,T,MAIN,200,CTC,ROUTE NAME,False,True,0,6;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,,,0;0;0;0,,0;1;200000;0006,1,True,True,True,True,True,False,False,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,blank,blank,1,0,TK,OS TRACK INDICATION,0,1,,,0,1,0,1,0,1,,,0,1,0,0,0,0,0,0,0,0
200120,200000,ESCONDIDO,6,WABK,T,MAIN,200,CTC,ROUTE NAME,False,False,0,9;1;200000;6,0;1;200000;6,0;1;200000;6,0;1;200000;6,0;1;200000;6,0;1;200000;6,,,0;0;0;0,,0;1;200000;6,1,True,True,True,True,True,False,False,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,blank,blank,1,0,WABK,"MAIN TRACK, WEST TRACK INDICATION",0,1,,,0,1,0,1,0,1,,,0,1,0,0,0,0,0,0,0,0
200577,200000,ESCONDIDO,6,SHELF 2,T,MAIN,200,SHELF,NONE,False,False,0,0;1;200000;6,0;1;200000;6,0;1;200000;6,0;1;200000;6,0;1;200000;6,0;1;200000;6,,0;0;0;0,0;0;0;0,,0;1;200000;6,1,True,True,True,True,True,False,False,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,blank,default_zero,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,blank,default_zero,0,1,,,0,1,,,0,1,0,1,0,1,,,0,1,0,0,0,0,0,1,0,0
200858,200000,ESCONDIDO,6,SHELF 1,T,MAIN,200,SHELF,ROUTE NAME,False,False,0,0;1;200000;6,0;1;200000;6,0;1;200000;6,0;1;200000;6,0;1;200000;6,0;1;200000;6,,,0;0;0;0,,0;1;200000;6,1,True,True,True,True,True,False,False,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,blank,blank,0,1,,,0,1,,,0,1,0,1,0,1,,,0,1,0,0,0,0,0,0,0,0
200859,200000,ESCONDIDO,6,SHELF 2,T,MAIN,200,SHELF,ROUTE NAME,False,False,0,0;1;200000;6,0;1;200000;6,0;1;200000;6,0;1;200000;6,0;1;200000;6,0;1;200000;6,,,0;0;0;0,,0;1;200000;6,1,True,True,True,True,True,False,False,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,blank,blank,0,1,,,0,1,,,0,1,0,1,0,1,,,0,1,0,0,0,0,0,0,0,0
