symbol,train_guid,engine_id,direction,train_type,origin,dest,subdivision,track_guid,track_component_name,track_name,track_alias,track_route_name,control_point_name,schedule_status,ptc_status,bulletin_route_code,authority_designation,ctc_authority_designation,home_road_code,active_sub_train_sheet,authority_count_by_symbol,runtime_join_status,runtime_loco_id,runtime_train_symbol,runtime_last_updated,runtime_icd_interface_version,runtime_departure_test_status,runtime_onboard_software_version,runtime_head_end_track_name,runtime_departure_track_name,runtime_departure_location_name
A1562,3b566cc0-3c57-443d-adc5-638fb70b2a57,,WEST,COMMUTER,LOS ANGELES,SAN DIEGO,NONE,0,,,,,,NONE,,SANDIE,,,AMTK,19762813-9435-4360-882F-211D8FA2C1C2,0,no_engine_id,,,,,,,,,
A1591,58cf8215-e7ae-4ade-b62c-54256889d173,,WEST,COMMUTER,SAN DIEGO,LOS ANGELES,NONE,0,,,,,,NONE,,SANDIE,,,AMTK,5FFB59ED-874D-4F19-876F-E8B9D0A433E5,0,no_engine_id,,,,,,,,,
A1765,ec1441cd-e222-402f-a564-2f5aec8c1f41,,WEST,COMMUTER,SAN DIEGO,LOS ANGELES,NONE,0,,,,,,NONE,,SANDIE,,,AMTK,622AC4BA-7DE9-4C63-888E-9A6714F771DC,0,no_engine_id,,,,,,,,,
A1769,138a6e91-1eba-4460-95c8-5719d931c0fb,,WEST,COMMUTER,SAN DIEGO,LOS ANGELES,NONE,0,,,,,,NONE,,SANDIE,,,AMTK,B449A393-1978-4930-BE67-9A155BE884A1,0,no_engine_id,,,,,,,,,
A1770,e7a99ab5-f41c-4049-b9c3-15da813132fd,,WEST,COMMUTER,LOS ANGELES,SAN DIEGO,NONE,0,,,,,,NONE,,SANDIE,,,AMTK,24847DAF-BC12-4A6C-A141-029CD9516703,0,no_engine_id,,,,,,,,,
A1774,cac9eb6d-d08d-4058-88ac-795faccf539f,,WEST,COMMUTER,LOS ANGELES,SAN DIEGO,NONE,0,,,,,,NONE,,SANDIE,,,AMTK,50D3BDAC-5998-40DC-8E70-B7447C1F6C9A,0,no_engine_id,,,,,,,,,
A1777,5edd5427-9eaf-4a74-b2c3-e5528d09cc3f,,WEST,COMMUTER,SAN DIEGO,LOS ANGELES,NONE,0,,,,,,NONE,,SANDIE,,,AMTK,C03B4C47-4C8E-408D-B794-9455C65AC3FA,0,no_engine_id,,,,,,,,,
A1784,1abd45a8-0864-4d2c-9fba-2f706479b2d4,,WEST,COMMUTER,LOS ANGELES,SAN DIEGO,NONE,0,,,,,,NONE,,SANDIE,,,AMTK,CB4C47C1-2A53-4452-AF8C-8BBE9FB86FC4,0,no_engine_id,,,,,,,,,
A1785,3c0ea8de-831f-408c-ae5f-75d080bc321e,,WEST,COMMUTER,SAN DIEGO,LOS ANGELES,NONE,0,,,,,,NONE,,SANDIE,,,AMTK,3920BF98-566B-4B53-8910-2A9852C099C6,0,no_engine_id,,,,,,,,,
A1790,9dc13fa7-3655-4836-84e1-d514ca301cc2,,WEST,COMMUTER,LOS ANGELES,SAN DIEGO,NONE,0,,,,,,NONE,,SANDIE,,,AMTK,926AD0B0-76B8-41DF-8589-546C3CECC2EB,0,no_engine_id,,,,,,,,,
A562,08f54e79-8b96-4a04-ba45-7d89cc7b00c8,X,EAST,COMMUTER,LOS ANGELES,SAN DIEGO,2,100921,SHELF,MT1,MT1,ROUTE NAME,SONGS,NONE,,SANDIE,,,AMTK,83BB4C47-118C-4886-A082-C5686D643B22,0,engine_id_without_runtime_match,,,,,,,,,
A564,ae87c378-767a-4cb2-bfa1-90d63c3de714,X,EAST,COMMUTER,LOS ANGELES,SAN DIEGO,2,100921,SHELF,MT1,MT1,ROUTE NAME,SONGS,NONE,,SANDIE,,,AMTK,04DE45FD-9059-459F-8D21-E19186576FE3,0,engine_id_without_runtime_match,,,,,,,,,
A566,ff36e4a3-2aaf-4cbf-96a6-82c667058477,X,EAST,COMMUTER,LOS ANGELES,SAN DIEGO,2,100921,SHELF,MT1,MT1,ROUTE NAME,SONGS,NONE,,SANDIE,,,AMTK,2F10B45A-A89A-4DFC-BEF7-1B229D31F8D3,0,engine_id_without_runtime_match,,,,,,,,,
A567,8A840FE3-AE95-4105-BD61-C7CA964C0B33,X,WEST,COMMUTER,,,2,100156,SHELF,MT1,MT1,ROUTE NAME,ASH,,,,,,AMTK,19BD3C51-A364-4066-A882-0DB3C313E892,0,engine_id_without_runtime_match,,,,,,,,,
A568,96314066-479e-4b67-8595-882d71b223e5,,EAST,COMMUTER,LOS ANGELES,SAN DIEGO,NONE,0,,,,,,NONE,,SANDIE,,,AMTK,988A62CE-C6DC-4442-9051-B6D7B72EDB48,0,no_engine_id,,,,,,,,,
A572,e4b1b3a2-1e30-45a3-9731-b31794552a03,X,EAST,COMMUTER,LOS ANGELES,SAN DIEGO,2,100921,SHELF,MT1,MT1,ROUTE NAME,SONGS,NONE,,SANDIE,,,AMTK,F67E7427-B546-4F01-8257-659E2EBF41F7,0,engine_id_without_runtime_match,,,,,,,,,
A573,9f3fd574-dcfa-4b40-abe1-46e81edab032,X,WEST,COMMUTER,SAN DIEGO,LOS ANGELES,2,100156,SHELF,MT1,MT1,ROUTE NAME,ASH,NONE,,SANDIE,,,AMTK,E84F0A2A-3EF6-4D44-A640-2F1BCA911BCE,0,engine_id_without_runtime_match,,,,,,,,,
