structural_class,component_family,reference_column,reference_format,scope_source_key,has_resolved_sibling_in_same_field,row_count
scoped_zero_first_with_resolved_sibling,signal,PCTL,code_line_station_control_point_bit,component_codeline+unique_cp_line,true,165
scoped_zero_first_with_resolved_sibling,signal,SCTL,code_line_station_control_point_bit,component_codeline+unique_cp_line,true,1
scoped_zero_first_with_resolved_sibling,signal,TCTL,code_line_station_control_point_bit,component_codeline+unique_cp_line,true,12
scoped_zero_first_with_resolved_sibling,switch,PCTL,code_line_station_control_point,component_codeline+unique_cp_line,true,85
scoped_zero_first_with_resolved_sibling,switch,SCTL,code_line_station_control_point,component_codeline+unique_cp_line,true,85
scoped_zero_first_with_resolved_sibling,switch,TCTL,code_line_station_control_point,component_codeline+unique_cp_line,true,7
scoped_zero_first_without_resolved_sibling,control_point,CPCTL1,code_line_station_control_point,component_codeline+unique_cp_line,false,48
scoped_zero_first_without_resolved_sibling,control_point,CPCTL2,code_line_station_control_point,component_codeline+unique_cp_line,false,48
scoped_zero_first_without_resolved_sibling,control_point,CPCTL3,code_line_station_control_point,component_codeline+unique_cp_line,false,48
scoped_zero_first_without_resolved_sibling,control_point,CPCTL4,code_line_station_control_point,component_codeline+unique_cp_line,false,48
scoped_zero_first_without_resolved_sibling,control_point,CPCTL5,code_line_station_control_point,component_codeline+unique_cp_line,false,48
scoped_zero_first_without_resolved_sibling,control_point,CPIND1,code_line_station_control_point,component_codeline+unique_cp_line,false,8
scoped_zero_first_without_resolved_sibling,control_point,CPIND10,code_line_station_control_point,component_codeline+unique_cp_line,false,48
scoped_zero_first_without_resolved_sibling,control_point,CPIND2,code_line_station_control_point,component_codeline+unique_cp_line,false,3
scoped_zero_first_without_resolved_sibling,control_point,CPIND3,code_line_station_control_point,component_codeline+unique_cp_line,false,9
scoped_zero_first_without_resolved_sibling,control_point,CPIND4,code_line_station_control_point,component_codeline+unique_cp_line,false,10
scoped_zero_first_without_resolved_sibling,control_point,CPIND5,code_line_station_control_point,component_codeline+unique_cp_line,false,48
scoped_zero_first_without_resolved_sibling,control_point,CPIND6,code_line_station_control_point,component_codeline+unique_cp_line,false,48
scoped_zero_first_without_resolved_sibling,control_point,CPIND7,code_line_station_control_point,component_codeline+unique_cp_line,false,48
scoped_zero_first_without_resolved_sibling,control_point,CPIND8,code_line_station_control_point,component_codeline+unique_cp_line,false,48
scoped_zero_first_without_resolved_sibling,control_point,CPIND9,code_line_station_control_point,component_codeline+unique_cp_line,false,48
scoped_zero_first_without_resolved_sibling,control_point,ScadaAlarmReportingIndicationBit,code_line_station_control_point,component_codeline+unique_cp_line,false,50
scoped_zero_first_without_resolved_sibling,misc_device,CPCTL1,code_line_station_control_point,component_codeline+unique_cp_line,false,114
scoped_zero_first_without_resolved_sibling,misc_device,CPCTL2,code_line_station_control_point,component_codeline+unique_cp_line,false,117
scoped_zero_first_without_resolved_sibling,misc_device,CPCTL3,code_line_station_control_point,component_codeline+unique_cp_line,false,119
scoped_zero_first_without_resolved_sibling,misc_device,CPIND1,code_line_station_control_point_bit,component_codeline+unique_cp_line,false,2
scoped_zero_first_without_resolved_sibling,misc_device,CPIND2,code_line_station_control_point_bit,component_codeline+unique_cp_line,false,75
scoped_zero_first_without_resolved_sibling,misc_device,CPIND2,code_line_station_control_point_bit,trailing_token4+component_codeline+unique_cp_line,false,44
scoped_zero_first_without_resolved_sibling,misc_device,CPIND3,code_line_station_control_point_bit,component_codeline+unique_cp_line,false,75
scoped_zero_first_without_resolved_sibling,misc_device,CPIND3,code_line_station_control_point_bit,trailing_token4+component_codeline+unique_cp_line,false,44
scoped_zero_first_without_resolved_sibling,signal,FleetControlBit,code_line_station_control_point_bit,component_codeline+unique_cp_line,false,165
scoped_zero_first_without_resolved_sibling,signal,SCTL,code_line_station_control_point_bit,component_codeline+unique_cp_line,false,328
scoped_zero_first_without_resolved_sibling,signal,SIND,code_line_station_control_point_bit,component_codeline+unique_cp_line,false,163
scoped_zero_first_without_resolved_sibling,signal,TCTL,code_line_station_control_point_bit,component_codeline+unique_cp_line,false,306
scoped_zero_first_without_resolved_sibling,signal,TIND,code_line_station_control_point_bit,component_codeline+unique_cp_line,false,165
scoped_zero_first_without_resolved_sibling,switch,PCTL,code_line_station_control_point,component_codeline+unique_cp_line,false,28
scoped_zero_first_without_resolved_sibling,switch,PIND,code_line_station_control_point,component_codeline+unique_cp_line,false,10
scoped_zero_first_without_resolved_sibling,switch,RCPSControlBits,code_line_station_control_point,component_codeline+unique_cp_line,false,396
scoped_zero_first_without_resolved_sibling,switch,RCPSIndicationBits,code_line_station_control_point,component_codeline+unique_cp_line,false,495
scoped_zero_first_without_resolved_sibling,switch,SCTL,code_line_station_control_point,component_codeline+unique_cp_line,false,28
scoped_zero_first_without_resolved_sibling,switch,SIND,code_line_station_control_point,component_codeline+unique_cp_line,false,12
scoped_zero_first_without_resolved_sibling,switch,TCTL,code_line_station_control_point,component_codeline+unique_cp_line,false,184
scoped_zero_first_without_resolved_sibling,switch,TIND,code_line_station_control_point,component_codeline+unique_cp_line,false,99
scoped_zero_first_without_resolved_sibling,track,PCTL,code_line_station_control_point_bit,component_codeline+unique_cp_line,false,397
scoped_zero_first_without_resolved_sibling,track,PCTL,code_line_station_control_point_bit,trailing_token4+component_codeline+unique_cp_line,false,36
scoped_zero_first_without_resolved_sibling,track,PCTL,code_line_station_control_point_bit,unique_cp_line,false,2
scoped_zero_first_without_resolved_sibling,track,PIND,code_line_station_control_point_bit,component_codeline+unique_cp_line,false,11
scoped_zero_first_without_resolved_sibling,track,PIND,code_line_station_control_point_bit,trailing_token4+component_codeline+unique_cp_line,false,3
scoped_zero_first_without_resolved_sibling,track,QCTL,code_line_station_control_point_bit,component_codeline+unique_cp_line,false,279
scoped_zero_first_without_resolved_sibling,track,QCTL,code_line_station_control_point_bit,trailing_token4+component_codeline+unique_cp_line,false,2
scoped_zero_first_without_resolved_sibling,track,SCTL,code_line_station_control_point_bit,component_codeline+unique_cp_line,false,396
scoped_zero_first_without_resolved_sibling,track,SCTL,code_line_station_control_point_bit,trailing_token4+component_codeline+unique_cp_line,false,36
scoped_zero_first_without_resolved_sibling,track,SCTL,code_line_station_control_point_bit,unique_cp_line,false,2
scoped_zero_first_without_resolved_sibling,track,SIND,code_line_station_control_point_bit,component_codeline+unique_cp_line,false,370
scoped_zero_first_without_resolved_sibling,track,SIND,code_line_station_control_point_bit,trailing_token4+component_codeline+unique_cp_line,false,36
scoped_zero_first_without_resolved_sibling,track,SIND,code_line_station_control_point_bit,unique_cp_line,false,2
scoped_zero_first_without_resolved_sibling,track,TCTL,code_line_station_control_point_bit,component_codeline+unique_cp_line,false,397
scoped_zero_first_without_resolved_sibling,track,TCTL,code_line_station_control_point_bit,trailing_token4+component_codeline+unique_cp_line,false,36
scoped_zero_first_without_resolved_sibling,track,TCTL,code_line_station_control_point_bit,unique_cp_line,false,2
scoped_zero_first_without_resolved_sibling,track,TIND,code_line_station_control_point_bit,component_codeline+unique_cp_line,false,376
scoped_zero_first_without_resolved_sibling,track,TIND,code_line_station_control_point_bit,trailing_token4+component_codeline+unique_cp_line,false,36
scoped_zero_first_without_resolved_sibling,track,TIND,code_line_station_control_point_bit,unique_cp_line,false,2
unknown_word_type_zero_first,switch,LockBit,code_line_station_control_point,unknown_word_type,false,99
unscoped_zero_first_without_resolved_sibling,control_point,CPIND1,code_line_station_control_point_bit,none,false,2
unscoped_zero_first_without_resolved_sibling,control_point,CPIND10,code_line_station_control_point_bit,none,false,2
unscoped_zero_first_without_resolved_sibling,control_point,CPIND11,code_line_station_control_point_bit,none,false,48
unscoped_zero_first_without_resolved_sibling,control_point,CPIND12,code_line_station_control_point_bit,none,false,48
unscoped_zero_first_without_resolved_sibling,control_point,CPIND13,code_line_station_control_point_bit,none,false,48
unscoped_zero_first_without_resolved_sibling,control_point,CPIND2,code_line_station_control_point_bit,none,false,2
unscoped_zero_first_without_resolved_sibling,control_point,CPIND3,code_line_station_control_point_bit,none,false,2
unscoped_zero_first_without_resolved_sibling,control_point,CPIND4,code_line_station_control_point_bit,none,false,2
unscoped_zero_first_without_resolved_sibling,control_point,CPIND5,code_line_station_control_point_bit,none,false,2
unscoped_zero_first_without_resolved_sibling,control_point,CPIND6,code_line_station_control_point_bit,none,false,2
unscoped_zero_first_without_resolved_sibling,control_point,CPIND7,code_line_station_control_point_bit,none,false,2
unscoped_zero_first_without_resolved_sibling,control_point,CPIND8,code_line_station_control_point_bit,none,false,2
unscoped_zero_first_without_resolved_sibling,control_point,CPIND9,code_line_station_control_point_bit,none,false,2
unscoped_zero_first_without_resolved_sibling,switch,SwitchBlockControlBit,code_line_station_control_point_bit,none,false,2
unscoped_zero_first_without_resolved_sibling,track,PCTL,code_line_station_control_point_bit,none,false,6
unscoped_zero_first_without_resolved_sibling,track,PIND,code_line_station_control_point_bit,none,false,3
unscoped_zero_first_without_resolved_sibling,track,QCTL,code_line_station_control_point_bit,none,false,28
unscoped_zero_first_without_resolved_sibling,track,QIND,code_line_station_control_point_bit,none,false,36
unscoped_zero_first_without_resolved_sibling,track,SCTL,code_line_station_control_point_bit,none,false,6
unscoped_zero_first_without_resolved_sibling,track,SIND,code_line_station_control_point_bit,none,false,5
unscoped_zero_first_without_resolved_sibling,track,TCTL,code_line_station_control_point_bit,none,false,6
