"Id","LocomotiveId","Last2100","IcdInterfaceVersion"
"29137","BNSF  3650","2026-03-24 오전 9:05:51","ICD_4_0"
"29920","NCTC  2308","2026-03-24 오전 9:05:50","BOS_ICD_3_0"
"18292","BNSF  3851","2026-03-24 오전 9:05:49","ICD_4_0"
"19193","BNSF  5847","2026-03-24 오전 9:05:49","ICD_4_0"
"22606","NCTC  5001","2026-03-24 오전 9:05:49","BOS_ICD_3_0"
"26410","BNSF  4165","2026-03-24 오전 9:05:48","ICD_4_0"
"20122","BNSF  7778","2026-03-24 오전 9:05:45","ICD_4_0"
"25863","BNSF  6857","2026-03-24 오전 9:05:45","ICD_4_0"
"20024","BNSF  6657","2026-03-24 오전 9:05:44","BOS_ICD_3_0"
"23348","BNSF  7552","2026-03-24 오전 9:05:44","BOS_ICD_3_0"
"19829","BNSF  6390","2026-03-24 오전 9:05:42","BOS_ICD_3_0"
"25555","BNSF  3974","2026-03-24 오전 9:05:41","BOS_ICD_3_0"
"23628","BNSF  2093","2026-03-24 오전 9:05:41","BOS_ICD_3_0"
"57","NCTC  2306","2026-03-24 오전 9:05:41","BOS_ICD_3_0"
"28053","BNSF  8232","2026-03-24 오전 9:05:39","BOS_ICD_3_0"
"29169","BNSF  6666","2026-03-24 오전 9:05:38","ICD_4_0"
"23663","BNSF  7382","2026-03-24 오전 9:05:34","BOS_ICD_3_0"
"24740","BNSF  7799","2026-03-24 오전 9:05:34","ICD_4_0"
"28635","BNSF  3361","2026-03-24 오전 9:05:29","BOS_ICD_3_0"
"22551","NCTC  5006","2026-03-24 오전 9:05:28","BOS_ICD_3_0"
"28466","NCTC  2303","2026-03-24 오전 9:05:27","BOS_ICD_3_0"
"8327","NCTC  2307","2026-03-24 오전 9:05:26","BOS_ICD_3_0"
"29341","NCTC  2309","2026-03-24 오전 9:05:25","BOS_ICD_3_0"
"26261","BNSF  6626","2026-03-24 오전 9:05:24","ICD_4_0"
"22520","METX   197","2026-03-24 오전 9:05:21","BOS_ICD_3_0"
"22562","BNSF  6200","2026-03-24 오전 9:05:21","BOS_ICD_3_0"
"30257","BNSF  4432","2026-03-24 오전 9:05:20","ICD_4_0"
"10888","NCTC  5005","2026-03-24 오전 9:05:19","BOS_ICD_3_0"
"22752","NCTC   423","2026-03-24 오전 9:05:19","BOS_ICD_3_0"
"22312","NCTC  5008","2026-03-24 오전 9:05:12","BOS_ICD_3_0"
"23581","BNSF  3647","2026-03-24 오전 9:05:12","ICD_4_0"
"20244","BNSF  8063","2026-03-24 오전 9:05:10","BOS_ICD_3_0"
"24379","BNSF  3681","2026-03-24 오전 9:05:06","ICD_4_0"
"12610","SCAX   657","2026-03-24 오전 9:05:03","BOS_ICD_3_0"
"29206","SCAX   660","2026-03-24 오전 9:05:01","BOS_ICD_3_0"
"29454","BNSF  6193","2026-03-24 오전 9:04:52","BOS_ICD_3_0"
"29810","NCTC  5004","2026-03-24 오전 9:04:49","BOS_ICD_3_0"
"28983","BNSF  9081","2026-03-24 오전 9:04:49","BOS_ICD_3_0"
"25340","BNSF  1786","2026-03-24 오전 9:04:47","BOS_ICD_3_0"
"23478","BNSF  6283","2026-03-24 오전 9:04:44","BOS_ICD_3_0"
"24087","BNSF  6049","2026-03-24 오전 9:04:40","BOS_ICD_3_0"
"26435","BNSF  6165","2026-03-24 오전 9:04:33","BOS_ICD_3_0"
"24219","BNSF  1746","2026-03-24 오전 9:04:20","ICD_4_0"
"12299","AMTK   146","2026-03-24 오전 9:04:16","BOS_ICD_3_0"
"24592","BNSF  3102","2026-03-24 오전 9:04:15","ICD_4_0"
"30221","BNSF  4702","2026-03-24 오전 9:04:14","ICD_4_0"
"20860","BNSF  7030","2026-03-24 오전 9:04:09","BOS_ICD_3_0"
"25850","BNSF  2797","2026-03-24 오전 9:04:08","ICD_4_0"
"26963","BNSF  6895","2026-03-24 오전 9:04:05","ICD_4_0"
"29344","BNSF  5262","2026-03-24 오전 9:04:03","BOS_ICD_3_0"
"28757","BNSF  4995","2026-03-24 오전 9:04:02","ICD_4_0"
"20920","BNSF  6176","2026-03-24 오전 9:03:56","BOS_ICD_3_0"
"25113","BNSF  7300","2026-03-24 오전 9:03:56","BOS_ICD_3_0"
"23313","BNSF  6686","2026-03-24 오전 9:03:55","ICD_4_0"
"23733","BNSF  6239","2026-03-24 오전 9:03:54","ICD_4_0"
"27526","BNSF  8467","2026-03-24 오전 9:03:52","BOS_ICD_3_0"
"23897","BNSF  9030","2026-03-24 오전 9:03:45","ICD_4_0"
"24484","BNSF  5149","2026-03-24 오전 9:03:45","ICD_4_0"
"29615","BNSF  8352","2026-03-24 오전 9:03:42","ICD_4_0"
"17566","BNSF  7520","2026-03-24 오전 9:03:40","ICD_4_0"
"26991","BNSF  6662","2026-03-24 오전 9:03:30","ICD_4_0"
"26343","BNSF  1105","2026-03-24 오전 9:03:19","BOS_ICD_3_0"
"19103","BNSF  5700","2026-03-24 오전 9:03:16","ICD_4_0"
"22066","SCAX   688","2026-03-24 오전 9:03:14","BOS_ICD_3_0"
"13888","BNSF  7703","2026-03-24 오전 9:03:10","BOS_ICD_3_0"
"23653","BNSF  6120","2026-03-24 오전 9:03:09","BOS_ICD_3_0"
"30058","BNSF  4757","2026-03-24 오전 9:03:08","ICD_4_0"
"29252","BNSF  1633","2026-03-24 오전 9:03:05","ICD_4_0"
"25632","BNSF   773","2026-03-24 오전 9:03:01","BOS_ICD_3_0"
"23220","BNSF  5616","2026-03-24 오전 9:02:59","ICD_4_0"
"18434","BNSF  3251","2026-03-24 오전 9:02:52","ICD_4_0"
"23744","BNSF  6296","2026-03-24 오전 9:02:51","BOS_ICD_3_0"
"18392","BNSF  1844","2026-03-24 오전 9:02:50","ICD_4_0"
"23772","BNSF  6832","2026-03-24 오전 9:02:48","BOS_ICD_3_0"
"29324","BNSF  1006","2026-03-24 오전 9:02:45","BOS_ICD_3_0"
"24158","BNSF  2092","2026-03-24 오전 9:02:41","ICD_4_0"
"29749","BNSF  7397","2026-03-24 오전 9:02:40","ICD_4_0"
"27921","BNSF  6408","2026-03-24 오전 9:02:35","BOS_ICD_3_0"
"20553","BNSF  7489","2026-03-24 오전 9:02:35","BOS_ICD_3_0"
"24295","BNSF  7965","2026-03-24 오전 9:02:33","ICD_4_0"
"22478","BNSF  2531","2026-03-24 오전 9:02:32","BOS_ICD_3_0"
"25617","BNSF  1967","2026-03-24 오전 9:02:29","ICD_4_0"
"29421","BNSF  4157","2026-03-24 오전 9:02:26","BOS_ICD_3_0"
"24257","BNSF  2816","2026-03-24 오전 9:02:19","ICD_4_0"
"23951","BNSF  3003","2026-03-24 오전 9:02:17","BOS_ICD_3_0"
"21146","BNSF   138","2026-03-24 오전 9:02:16","BOS_ICD_3_0"
"26487","BNSF  7537","2026-03-24 오전 9:02:08","ICD_4_0"
"24400","BNSF  7294","2026-03-24 오전 9:02:07","BOS_ICD_3_0"
"18403","BNSF  2291","2026-03-24 오전 9:02:02","BOS_ICD_3_0"
"23430","BNSF  8174","2026-03-24 오전 9:02:02","BOS_ICD_3_0"
"25061","BNSF  6354","2026-03-24 오전 9:01:56","BOS_ICD_3_0"
"24225","BNSF  7710","2026-03-24 오전 9:01:54","BOS_ICD_3_0"
"30009","BNSF  9153","2026-03-24 오전 9:01:52","ICD_4_0"
"26787","BNSF  3147","2026-03-24 오전 9:01:50","ICD_4_0"
"28756","BNSF  5316","2026-03-24 오전 9:01:46","BOS_ICD_3_0"
"15011","BNSF  3288","2026-03-24 오전 9:01:45","ICD_4_0"
"22380","BNSF  2680","2026-03-24 오전 9:01:42","ICD_4_0"
"27471","CDTX  8312","2026-03-24 오전 9:01:39","BOS_ICD_3_0"
"23749","BNSF  1636","2026-03-24 오전 9:01:38","ICD_4_0"
"23432","BNSF  1755","2026-03-24 오전 9:01:33","BOS_ICD_3_0"
"18116","BNSF  7343","2026-03-24 오전 9:01:32","ICD_4_0"
"29818","BNSF  8376","2026-03-24 오전 9:01:30","ICD_4_0"
"26218","BNSF  7065","2026-03-24 오전 9:01:26","BOS_ICD_3_0"
"28532","BNSF  7200","2026-03-24 오전 9:01:14","BOS_ICD_3_0"
"29893","BNSF   179","2026-03-24 오전 9:01:12","ICD_4_0"
"24955","AMTK   512","2026-03-24 오전 9:01:11","BOS_ICD_3_0"
"26443","BNSF  7231","2026-03-24 오전 9:01:05","BOS_ICD_3_0"
"29366","BNSF  1080","2026-03-24 오전 9:00:57","BOS_ICD_3_0"
"10792","BNSF   183","2026-03-24 오전 9:00:53","ICD_4_0"
"27724","BNSF  5816","2026-03-24 오전 9:00:50","BOS_ICD_3_0"
"30253","SCAX   644","2026-03-24 오전 9:00:49","BOS_ICD_3_0"
"26730","BNSF  3758","2026-03-24 오전 9:00:36","ICD_4_0"
"22209","BNSF  4329","2026-03-24 오전 9:00:23","ICD_4_0"
"29315","BNSF  4723","2026-03-24 오전 9:00:18","ICD_4_0"
"28228","BNSF  2526","2026-03-24 오전 9:00:17","ICD_4_0"
"27239","BNSF  7469","2026-03-24 오전 9:00:13","ICD_4_0"
"24041","BNSF   559","2026-03-24 오전 9:00:13","ICD_4_0"
"24490","BNSF  5077","2026-03-24 오전 9:00:10","BOS_ICD_3_0"
"26859","BNSF   197","2026-03-24 오전 8:59:59","BOS_ICD_3_0"
"25565","BNSF  7988","2026-03-24 오전 8:59:55","ICD_4_0"
