"TrainSheetGUID","OsPoint","OsTime","TrackGUID","SubName","ReportData","RecordGUID","Direction","EventCreator"
"04D05968-BFE2-4675-8D05-3C9F8798FF3A","LOOP EAST","2026-03-24 오전 2:04:13","200380","ESCONDIDO","RCAL0253 23|3/24/2026 02:04:13|0|7|215|505||BNSF   171;|LOOP EAST|200019||NONE|0|BNSF   154|NONE|","CA07F57F-1071-4BB9-B6A9-A727C8AE2A01",,"CANADA, GLORIA {GC}"
"04D05968-BFE2-4675-8D05-3C9F8798FF3A","HOLDOUT","2026-03-24 오전 1:32:25","200100","ESCONDIDO","RCAL0253 23|3/24/2026 01:32:25|0|7|215|505||BNSF   171;|HOLDOUT|200026||NONE|0|BNSF   154|NONE|","AEA2CE6E-0968-4E67-AD52-83F9519545D7",,"CANADA, GLORIA {GC}"
"04D05968-BFE2-4675-8D05-3C9F8798FF3A","YARD","2026-03-24 오전 1:31:10","200426","ESCONDIDO","RCAL0253 23|3/24/2026 01:31:10|0|7|215|505||BNSF   171;|YARD|200027||NONE|0|BNSF   154|NONE|","5EE26B7E-F06D-489F-B9D7-E21013B149C3",,"CANADA, GLORIA {GC}"
"04D05968-BFE2-4675-8D05-3C9F8798FF3A","YARD","2026-03-23 오후 11:41:37","200426","ESCONDIDO","RCAL0253 23|3/23/2026 23:41:37|4|0|530|358||BNSF   154;|YARD|200027||NONE|0|BNSF   171|NONE|","1CA31C4B-E798-4E8C-9840-BC134BFCBF11",,"CANADA, GLORIA {GC}"
"04D05968-BFE2-4675-8D05-3C9F8798FF3A","HOLDOUT","2026-03-23 오후 11:39:48","200100","ESCONDIDO","RCAL0253 23|3/23/2026 23:39:48|4|0|530|358||BNSF   154;|HOLDOUT|200026||NONE|0|BNSF   171|NONE|","44A3353D-E531-4AEF-9566-ADDD7199CD71",,"CANADA, GLORIA {GC}"
"04D05968-BFE2-4675-8D05-3C9F8798FF3A","LOOP EAST","2026-03-23 오후 11:35:19","200380","ESCONDIDO","RCAL0253 23|3/23/2026 23:35:19|4|0|530|358||BNSF   154;|LOOP EAST|200019||NONE|0|BNSF   171|NONE|","21169C20-B0E7-4D8E-AEE6-1525210D3FFC",,"CANADA, GLORIA {GC}"
"04D05968-BFE2-4675-8D05-3C9F8798FF3A","LOOP WEST","2026-03-23 오후 11:31:57","200312","ESCONDIDO","RCAL0253 23|3/23/2026 23:31:57|4|0|530|358||BNSF   154;|LOOP WEST|200017||NONE|0|BNSF   171|NONE|","5D5434D0-938B-4849-B18C-A49B1ED1F04A",,"CANADA, GLORIA {GC}"
"BA89992B-4F97-45B7-ABAD-198609FF62CB","SWAMI","2026-03-23 오후 11:28:50","100346","SAN DIEGO","VSBDSDG4 23|3/23/2026 23:28:50|0|56|2878|5400||BNSF  6142;|SWAMI|100019||NONE|0|BNSF  8368|NONE|","E9B8C840-1EA5-4574-9913-CB69020DE1E7",,"ANDROVICH, ERINA {EAA}"
"04D05968-BFE2-4675-8D05-3C9F8798FF3A","MISSY","2026-03-23 오후 11:28:01","200292","ESCONDIDO","RCAL0253 23|3/23/2026 23:28:01|4|0|530|358||BNSF   154;|MISSY|200016||NONE|0|BNSF   171|NONE|","9A4FC179-CA6F-4D1F-8E42-E4A73FC29E49",,"CANADA, GLORIA {GC}"
"BA89992B-4F97-45B7-ABAD-198609FF62CB","PONTO","2026-03-23 오후 11:23:52","100330","SAN DIEGO","VSBDSDG4 23|3/23/2026 23:23:52|0|56|2878|5400||BNSF  6142;|PONTO|100018||NONE|0|BNSF  8368|NONE|","7913A296-6474-44AB-B2FB-8469EC0B091F",,"ANDROVICH, ERINA {EAA}"
"BA89992B-4F97-45B7-ABAD-198609FF62CB","FARR","2026-03-23 오후 11:20:37","100760","SAN DIEGO","VSBDSDG4 23|3/23/2026 23:20:37|0|56|2878|5400||BNSF  6142;|FARR|100017||NONE|0|BNSF  8368|NONE|","F1C337C2-53E6-4694-9CEE-87D528ED885C",,"ANDROVICH, ERINA {EAA}"
"04D05968-BFE2-4675-8D05-3C9F8798FF3A","AVENUE","2026-03-23 오후 11:20:27","200253","ESCONDIDO","RCAL0253 23|3/23/2026 23:20:27|4|0|530|358||BNSF   154;|AVENUE|200013||NONE|0|BNSF   171|NONE|","B21964F2-DF4C-4A44-A9D6-448341697781",,"CANADA, GLORIA {GC}"
"BA89992B-4F97-45B7-ABAD-198609FF62CB","CARL","2026-03-23 오후 11:18:15","100723","SAN DIEGO","VSBDSDG4 23|3/23/2026 23:18:15|0|56|2878|5400||BNSF  6142;|CARL|100000||NONE|0|BNSF  8368|NONE|","94A090F7-8134-4EEE-AF29-9D778C18B35E",,"ANDROVICH, ERINA {EAA}"
"BA89992B-4F97-45B7-ABAD-198609FF62CB","LONGBOARD","2026-03-23 오후 11:17:00","100309","SAN DIEGO","VSBDSDG4 23|3/23/2026 23:17:00|0|56|2878|5400||BNSF  6142;|LONGBOARD|100016||NONE|0|BNSF  8368|NONE|","C36065E9-5D4F-4642-B075-656429BDE50A",,"ANDROVICH, ERINA {EAA}"
"04D05968-BFE2-4675-8D05-3C9F8798FF3A","VISTA","2026-03-23 오후 11:14:49","200247","ESCONDIDO","RCAL0253 23|3/23/2026 23:14:49|4|0|530|358||BNSF   154;|VISTA|200011||NONE|0|BNSF   171|NONE|","A0644A14-A300-4FF0-A3CB-27A3499811EB",,"CANADA, GLORIA {GC}"
"BA89992B-4F97-45B7-ABAD-198609FF62CB","ESCONDIDO JCT","2026-03-23 오후 11:14:39","100289","SAN DIEGO","VSBDSDG4 23|3/23/2026 23:14:39|0|56|2878|5400||BNSF  6142;|ESCONDIDO JCT|100013||NONE|0|BNSF  8368|NONE|","E1F148A0-CD82-49B0-AE82-3E771F371390",,"ANDROVICH, ERINA {EAA}"
