"WordType","CDLNNumber","CSNumber","CPNumber","BPAssignment","Mnemonic","LongName","BitType","UID","CodeLineName","CodeLineLimits","LegacyType","SessionProtocol","NormalCodeserverName","StandbyCodeserverName","PacketSwitchPName","PacketSwitchSName","StationName","ControlAddress","IndicationAddress","NumberOfControls","NumberOfIndications","WaysideATCSAddress","WaysideEMPAddress","ControlPointName","PTCSiteName","SubdivisionUID","SubdivisionName","TerritoryAssignment"
"C","5","1","100000","1","1NWS","1 NORMAL SWITCH CONTROL","None","E678F605-1C6D-455C-8528-3C8898C82469","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP CARL","73405050580202","73405050580202","8","16",,,"CARL","CP Carl","2","SAN DIEGO","100"
"C","5","1","100000","2","BLANK","BLANK CONTROL","None","647797A5-E930-4F37-924E-50AAB2C52AAD","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP CARL","73405050580202","73405050580202","8","16",,,"CARL","CP Carl","2","SAN DIEGO","100"
"C","5","1","100000","3","1RWS","1 REVERSE SWITCH CONTROL","None","ACEEE6B1-6F59-4E7E-9AF3-86C48B39A767","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP CARL","73405050580202","73405050580202","8","16",,,"CARL","CP Carl","2","SAN DIEGO","100"
"C","5","1","100000","4","BLANK","BLANK CONTROL","None","BE130EA7-D338-49D6-868C-8DF2F9928FDA","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP CARL","73405050580202","73405050580202","8","16",,,"CARL","CP Carl","2","SAN DIEGO","100"
"C","5","1","100000","5","EGHS","EASTBOUND SIGNAL CONTROL","None","A3DFC2A8-BD4F-4227-ACB3-3A7B9DEEC778","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP CARL","73405050580202","73405050580202","8","16",,,"CARL","CP Carl","2","SAN DIEGO","100"
"C","5","1","100000","6","BLANK","BLANK CONTROL","None","77AF8AE3-105C-469D-A1B9-E2A2435A46B9","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP CARL","73405050580202","73405050580202","8","16",,,"CARL","CP Carl","2","SAN DIEGO","100"
"C","5","1","100000","7","WGHS","WESTBOUND SIGNAL CONTROL","None","B148866C-53EC-422D-B6EB-CB835C21B426","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP CARL","73405050580202","73405050580202","8","16",,,"CARL","CP Carl","2","SAN DIEGO","100"
"C","5","1","100000","8","BLANK","BLANK CONTROL","None","E967364E-D341-48C4-B0EC-0536DC282713","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP CARL","73405050580202","73405050580202","8","16",,,"CARL","CP Carl","2","SAN DIEGO","100"
"I","5","1","100000","1","1NWK","1 NORMAL SWITCH INDICATION","None","7C532416-8CF5-4B7A-A2C9-F6B749A9475D","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP CARL","73405050580202","73405050580202","8","16",,,"CARL","CP Carl","2","SAN DIEGO","100"
"I","5","1","100000","2","1TK","1 OS TRACK INDICATION","None","AB39ECC8-AFBB-40AA-B1CC-2010A2144627","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP CARL","73405050580202","73405050580202","8","16",,,"CARL","CP Carl","2","SAN DIEGO","100"
"I","5","1","100000","3","1RWK","1 REVERSE SWITCH INDICATION","None","6AAE69BD-9BCE-40B6-AF23-49275F8E9A00","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP CARL","73405050580202","73405050580202","8","16",,,"CARL","CP Carl","2","SAN DIEGO","100"
"I","5","1","100000","4","EAK","EAK","None","C538F6F1-16E7-4FA4-BA92-AD05BFC25213","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP CARL","73405050580202","73405050580202","8","16",,,"CARL","CP Carl","2","SAN DIEGO","100"
"I","5","1","100000","5","EGK","EASTBOUND SIGNAL INDICATION","None","637B2B67-CC61-4AA3-92FE-A54F0E3D1AFC","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP CARL","73405050580202","73405050580202","8","16",,,"CARL","CP Carl","2","SAN DIEGO","100"
"I","5","1","100000","6","WAAK","WAAK","None","F5D9B49A-3234-4F0D-BE46-D19AAE46B51A","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP CARL","73405050580202","73405050580202","8","16",,,"CARL","CP Carl","2","SAN DIEGO","100"
"I","5","1","100000","7","WGK","WESTBOUND SIGNAL INDICATION","None","9A5A1D51-BF56-4082-868C-167235642A9A","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP CARL","73405050580202","73405050580202","8","16",,,"CARL","CP Carl","2","SAN DIEGO","100"
"I","5","1","100000","8","POK","POWER OFF INDICATION","None","0715BFEC-42D4-4D92-AD49-4E5DA8CB128A","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP CARL","73405050580202","73405050580202","8","16",,,"CARL","CP Carl","2","SAN DIEGO","100"
