"WordType","CDLNNumber","CPNumber","CSNumber","BPAssignment","Mnemonic","LongName","BitType","UID"
"C","5","100000","1","1","1NWS","1 NORMAL SWITCH CONTROL","None","E678F605-1C6D-455C-8528-3C8898C82469"
"I","5","100000","1","1","1NWK","1 NORMAL SWITCH INDICATION","None","7C532416-8CF5-4B7A-A2C9-F6B749A9475D"
"C","5","100000","1","2","BLANK","BLANK CONTROL","None","647797A5-E930-4F37-924E-50AAB2C52AAD"
"I","5","100000","1","2","1TK","1 OS TRACK INDICATION","None","AB39ECC8-AFBB-40AA-B1CC-2010A2144627"
"C","5","100000","1","3","1RWS","1 REVERSE SWITCH CONTROL","None","ACEEE6B1-6F59-4E7E-9AF3-86C48B39A767"
"I","5","100000","1","3","1RWK","1 REVERSE SWITCH INDICATION","None","6AAE69BD-9BCE-40B6-AF23-49275F8E9A00"
"C","5","100000","1","4","BLANK","BLANK CONTROL","None","BE130EA7-D338-49D6-868C-8DF2F9928FDA"
"I","5","100000","1","4","EAK","EAK","None","C538F6F1-16E7-4FA4-BA92-AD05BFC25213"
"C","5","100000","1","5","EGHS","EASTBOUND SIGNAL CONTROL","None","A3DFC2A8-BD4F-4227-ACB3-3A7B9DEEC778"
"I","5","100000","1","5","EGK","EASTBOUND SIGNAL INDICATION","None","637B2B67-CC61-4AA3-92FE-A54F0E3D1AFC"
"C","5","100000","1","6","BLANK","BLANK CONTROL","None","77AF8AE3-105C-469D-A1B9-E2A2435A46B9"
"I","5","100000","1","6","WAAK","WAAK","None","F5D9B49A-3234-4F0D-BE46-D19AAE46B51A"
"C","5","100000","1","7","WGHS","WESTBOUND SIGNAL CONTROL","None","B148866C-53EC-422D-B6EB-CB835C21B426"
"I","5","100000","1","7","WGK","WESTBOUND SIGNAL INDICATION","None","9A5A1D51-BF56-4082-868C-167235642A9A"
"C","5","100000","1","8","BLANK","BLANK CONTROL","None","E967364E-D341-48C4-B0EC-0536DC282713"
"I","5","100000","1","8","POK","POWER OFF INDICATION","None","0715BFEC-42D4-4D92-AD49-4E5DA8CB128A"
"I","5","100000","1","9","LCK","LOCAL CONTROL INDICATION","None","F26E6A09-26E8-4211-88DD-D9C554B33C94"
"I","5","100000","1","10","TEK","SIGNAL INTIME INDICATION","None","0B5C6014-3EB0-469E-B15D-3DEC822EF1B9"
"I","5","100000","1","11","DOK","ILLEGAL ENTRY INDICATION","None","DF957250-33DF-44D9-B659-D06E9594DC36"
"I","5","100000","1","12","BLANK","BLANK INDICATION","None","7DA29E06-9641-4BB6-807B-9F667E98CF91"
"I","5","100000","1","13","LOK","LIGHT OUT INDICATION","None","49F46233-1DD5-43F1-A49F-E15D8199DFA7"
"I","5","100000","1","14","WCAK","WCAK","None","C2841D79-83AD-4173-B5CC-8791F557AD2B"
"I","5","100000","1","15","BLANK","BLANK INDICATION","None","30F14F0D-CAD2-47EA-A13B-81AE93276113"
"I","5","100000","1","16","BLANK","BLANK INDICATION","None","79FF27EC-9E7B-4E62-B624-38A5E06E2F11"
"C","5","100001","1","1","1NWS","NORMAL SWITCH CONTROL","None","26006234-0801-4CFE-9382-E33348BD50ED"
"I","5","100001","1","1","1NWK","NORMAL SWITCH INDICATION","None","718D0CB3-192A-4AC6-BBFD-D894B3B87F11"
"C","5","100001","1","2","BLANK","BLANK CONTROL","None","1B7B6F29-D66D-41DC-957E-3233A5711792"
"I","5","100001","1","2","TK","OS TRACK INDICATION","None","45BDF29E-4208-48A2-906D-F78FFBCE47B7"
"C","5","100001","1","3","1RWS","REVERSE SWITCH CONTROL","None","5ED9A280-65CD-4D3B-BF98-8C39660758CC"
"I","5","100001","1","3","1RWK","REVERSE SWITCH INDICATION","None","87A45C32-D947-49DA-94FE-E8294EB4E02B"
"C","5","100001","1","4","BLANK","BLANK CONTROL","None","FF90AD59-A581-4F9B-AB5A-EF7C481444BF"
"I","5","100001","1","4","EAK","EAK","None","C97D3651-CE5E-4869-BB79-4F991243A8FD"
"C","5","100001","1","5","EGHS","EASTBOUND SIGNAL CONTROL","None","685382FD-B724-4F32-8E85-18B71FA92C09"
"I","5","100001","1","5","EGK","EASTBOUND SIGNAL INDICATION","None","B4A7C139-52EA-4CF7-A831-EB1B50C99B79"
"C","5","100001","1","6","BLANK","BLANK","None","C4F490F8-E791-4844-B4CC-A71523D49046"
"I","5","100001","1","6","WAAK","WAAK","None","001E2198-F82C-4E39-A543-D4B298810D05"
"C","5","100001","1","7","WGHS","WESTBOUND SIGNAL CONTROL","None","1B942159-845C-4AFD-A336-65AF173F53DF"
"I","5","100001","1","7","WGK","WESTBOUND SIGNAL INDICATION","None","C48AC2AF-E51E-48B2-9818-69CC3A6F9A92"
"C","5","100001","1","8","BLANK","BLANK CONTROL","None","78E30982-2E29-429B-B17F-570365539362"
"I","5","100001","1","8","POK","POWER OFF INDICATION","None","3DF098F1-ED65-4632-BD3B-088DDAA2AED9"
"C","5","100001","1","9","BLANK","BLANK CONTROL","NONE","12747571-9A9A-4BB1-AD6D-13132750B3D3"
"I","5","100001","1","9","LCK","LOCAL CONTROL","None","BF20230D-33F8-4772-9B54-6080EEF28E4C"
"C","5","100001","1","10","BLANK","BLANK CONTROL","NONE","055A0BD6-E9E6-4126-BBBE-726373573461"
"I","5","100001","1","10","TEK","SIGNAL INTIME INDICATION","None","E18F1AEE-6BDA-47F8-AFEB-94A4297C2881"
"C","5","100001","1","11","BLANK","BLANK CONTROL","NONE","20EDECB2-331A-4084-8F3E-2C171AA68404"
"I","5","100001","1","11","ERQK","ERQK","None","5DD89DEF-3CE3-4149-8AD6-5A7DBC7AB7B1"
"C","5","100001","1","12","BLANK","BLANK CONTROL","NONE","28337A49-D5BF-4608-8BBA-E7E6A8ACE902"
"I","5","100001","1","12","BLANK","BLANK INDICATION","None","EE3DEAE0-77CC-4C5A-8EB2-E2F5A0942AE6"
"C","5","100001","1","13","BLANK","BLANK CONTROL","NONE","97B1C9B4-5B11-43C5-BD16-BCFD5AA4809D"
"I","5","100001","1","13","LOK","LIGHT OUT INDICATION","None","A44CF443-D968-44DF-8266-343E0F1C5859"
"C","5","100001","1","14","BLANK","BLANK CONTROL","NONE","EC95914A-9D17-4DF3-859D-86132EA44D22"
"I","5","100001","1","14","WBAK","WBAK","None","7CD54CB0-4258-449D-A7C6-80D0D7166F1D"
"C","5","100001","1","15","BLANK","BLANK CONTROL","NONE","4F984B58-4E34-4674-A5F0-5F461240849B"
"I","5","100001","1","15","BLANK","BLANK INDICATION","None","A036F660-B6E0-4C55-A3AB-B115667864B8"
"C","5","100001","1","16","BLANK","BLANK CONTROL","NONE","8901F670-D315-4204-9EE8-9E86608EC988"
"I","5","100001","1","16","BLANK","BLANK INDICATION","None","738E4557-85AE-49BE-981C-FAB0B99879C2"
"C","5","100002","1","1","1NWS","1 NORMAL SWITCH CONTROL","None","244E42C8-2C4F-431B-ADD2-52319CDB088B"
"I","5","100002","1","1","1NWK","1 NORMAL SWITCH INDICATION","None","BAD87FEE-2702-435A-A840-2EAD19AA85AF"
"C","5","100002","1","2","1RWS","1 REVERSE SWITCH CONTROL","None","F2E03AD4-0C89-4542-86BB-7225ACE0E628"
"I","5","100002","1","2","1RWK","1 REVERSE SWITHC INDICATION","None","75C48F9D-B577-40F0-A4DE-BFADB9342FFD"
