"CodelineNumber","CodeLineName","CodeLineLimits","LegacyType","SessionProtocol","NormalCodeserverName","StandbyCodeserverName","PacketSwitchPName","PacketSwitchSName","PacketSwitchPIP","PacketSwitchSIP","PacketSwitchPPort","PacketSwitchSPort","SetupParameterString"
"1","CDLN-1","OCEAN TO SCHOOL","GENESYS","GENESYS","TEST","TEST","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5"
"2","CDLN-2","MELROSE TO PALOMAR","GENESYS","GENESYS","TEST","TEST","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5"
"3","CDLN-3","LOOP WEST TO AVO","GENESYS","GENESYS","TEST","TEST","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5"
"5","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","172.20.20.218","172.20.20.219","5505","5505","5;28;28;28;3;3;3;5;"
"6","CDLN-6","CP OCEAN","GENESYS","GENESYS","CODE-01A","CODE-01B","CP OCEAN","CP OCEAN","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5"
"7","CDLN-7","CP RAILROAD","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5"
"8","CDLN-8","CP WYE","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5"
"9","CDLN-9","CROUCH STATION","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5"
"10","CDLN-10","CP TRUE","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5"
"11","CDLN-11","EL CAMINO STATION","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5"
"12","CDLN-12","RANCHO STATION","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5"
"13","CDLN-13","CP SCHOOL","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5"
"14","CDLN-14","MELROSE STATION","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5"
"15","CDLN-15","CP ANGEL","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5"
"16","CDLN-16","VISTA STATION","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5"
"17","CDLN-17","ESCONDIDO AVE","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5"
"18","CDLN-18","CP AVENUE","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5"
"19","CDLN-19","BUENA CREEK","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5"
"20","CDLN-20","CP MISSY","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5"
"21","CDLN-21","PALOMAR STATION","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5"
"22","CDLN-22","CP LOOP WEST","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5"
"23","CDLN-23","CP SHELLY","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5"
"24","CDLN-24","CP LOOP EAST","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5"
"25","CDLN-25","NORDAHL STATION","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5"
"26","CDLN-26","CP HOLDOUT","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5"
"27","CDLN-27","CP YARD","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5"
"28","CDLN-28","AVO","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5"
