"CodeLineNumber","CodeStationNumber","ControlPointNumber","StationName","ControlAddress","IndicationAddress","NumberOfControls","NumberOfIndications","WaysideATCSAddress","WaysideEMPAddress","NetworkPortalPrimary","NetworkPortalSecondary","NetworkPortalAddress","StationSetupParameterString","CodeLineName","CodeLineLimits","LegacyType","SessionProtocol","NormalCodeserverName","StandbyCodeserverName","PacketSwitchPName","PacketSwitchSName","PacketSwitchPIP","PacketSwitchSIP","PacketSwitchPPort","PacketSwitchSPort","CodeLineSetupParameterString","ControlPointName","PTCSiteName","SubdivisionUID","SubdivisionName","TerritoryAssignment"
"5","1","100000","CP CARL","73405050580202","73405050580202","8","16",,,"","","","","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","172.20.20.218","172.20.20.219","5505","5505","5;28;28;28;3;3;3;5;","CARL","CP Carl","2","SAN DIEGO","100"
"5","1","100001","CP SONGS","73405050200202","73405050200202","16","16",,,"","","","","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","172.20.20.218","172.20.20.219","5505","5505","5;28;28;28;3;3;3;5;","SONGS","CP Songs","2","SAN DIEGO","100"
"5","1","100002","CP DON","73405050250202","73405050250202","24","24",,,"","","","","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","172.20.20.218","172.20.20.219","5505","5505","5;28;28;28;3;3;3;5;","DON","CP Don","2","SAN DIEGO","100"
"5","1","100003","CP PULGAS","73405050270202","73405050270202","16","16",,,"","","","","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","172.20.20.218","172.20.20.219","5505","5505","5;28;28;28;3;3;3;5;","PULGAS","CP Pulgas","2","SAN DIEGO","100"
"5","1","100004","CP CUDAHY","73405050870202","73405050870202","24","24",,,"","","","","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","172.20.20.218","172.20.20.219","5505","5505","5;28;28;28;3;3;3;5;","CUDAHY","CP Cudahy","2","SAN DIEGO","100"
"5","1","100005","CP STUART","73405050350202","73405050350202","24","24",,,"","","","","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","172.20.20.218","172.20.20.219","5505","5505","5;28;28;28;3;3;3;5;","STUART","CP Stuart","2","SAN DIEGO","100"
"5","1","100006","CP MESA","73405050360202","73405050360202","24","24",,,"","","","","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","172.20.20.218","172.20.20.219","5505","5505","5;28;28;28;3;3;3;5;","MESA","CP Mesa","2","SAN DIEGO","100"
"5","1","100007","CP ROSE","73405050830202","73405050830202","24","24",,,"","","","","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","172.20.20.218","172.20.20.219","5505","5505","5;28;28;28;3;3;3;5;","ROSE","CP Rose","2","SAN DIEGO","100"
"5","1","100008","CP BROADWAY","73405050950202","73405050950202","16","24",,,"","","","","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","172.20.20.218","172.20.20.219","5505","5505","5;28;28;28;3;3;3;5;","BROADWAY","CP Broadway","2","SAN DIEGO","100"
"5","1","100009","CP EAST BROOK","73405050480202","73405050480202","8","16",,,"","","","","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","172.20.20.218","172.20.20.219","5505","5505","5;28;28;28;3;3;3;5;","EAST BROOK","CP East Brook","2","SAN DIEGO","100"
"5","1","100010","CP SORRENTO","73405050760202","73405050760202","24","24",,,"","","","","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","172.20.20.218","172.20.20.219","5505","5505","5;28;28;28;3;3;3;5;","SORRENTO","CP Sorrento","2","SAN DIEGO","100"
"5","1","100011","CP PACIFIC","73405050530202","73405050530202","8","16",,,"","","","","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","172.20.20.218","172.20.20.219","5505","5505","5;28;28;28;3;3;3;5;","PACIFIC","CP Pacific","2","SAN DIEGO","100"
"5","1","100012","CP SHELL","73405050520202","73405050520202","8","16",,,"","","","","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","172.20.20.218","172.20.20.219","5505","5505","5;28;28;28;3;3;3;5;","SHELL","CP Shell","2","SAN DIEGO","100"
"5","1","100013","CP ESCONDIDO JCT","73405050540202","73405050540202","24","40",,,"","","","","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","172.20.20.218","172.20.20.219","5505","5505","5;28;28;28;3;3;3;5;","ESCONDIDO JCT","CP Escondido Jct","2","SAN DIEGO","100"
"5","1","100015","CP SCRIPPS","73405050800202","73405050800202","24","24",,,"","","","","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","172.20.20.218","172.20.20.219","5505","5505","5;28;28;28;3;3;3;5;","SCRIPPS","CP Scripps","2","SAN DIEGO","100"
"5","1","100016","CP LONGBOARD","73405050560202","73405050560202","8","16",,,"","","","","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","172.20.20.218","172.20.20.219","5505","5505","5;28;28;28;3;3;3;5;","LONGBOARD","CP Longboard","2","SAN DIEGO","100"
"5","1","100017","CP FARR","73405050600202","73405050600202","24","24",,,"","","","","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","172.20.20.218","172.20.20.219","5505","5505","5;28;28;28;3;3;3;5;","FARR","CP Farr","2","SAN DIEGO","100"
"5","1","100018","CP PONTO","73405050610202","73405050610202","8","16",,,"","","","","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","172.20.20.218","172.20.20.219","5505","5505","5;28;28;28;3;3;3;5;","PONTO","CP Ponto","2","SAN DIEGO","100"
"5","1","100019","CP SWAMI","73405050620202","73405050620202","8","16",,,"","","","","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","172.20.20.218","172.20.20.219","5505","5505","5;28;28;28;3;3;3;5;","SWAMI","CP Swami","2","SAN DIEGO","100"
"5","1","100020","CP CARDIFF","73405050630202","73405050630202","24","24",,,"","","","","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","172.20.20.218","172.20.20.219","5505","5505","5;28;28;28;3;3;3;5;","CARDIFF","CP Cardiff","2","SAN DIEGO","100"
"5","1","100022","CP VALLEY","73405050650202","73405050650202","8","16",,,"","","","","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","172.20.20.218","172.20.20.219","5505","5505","5;28;28;28;3;3;3;5;","VALLEY","CP Valley","2","SAN DIEGO","100"
"5","1","100023","CP CROSBY","73405050670202","73405050670202","8","16",,,"","","","","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","172.20.20.218","172.20.20.219","5505","5505","5;28;28;28;3;3;3;5;","CROSBY","CP Crosby","2","SAN DIEGO","100"
"5","1","100024","CP DEL MAR","73405050700202","73405050700202","8","16",,,"","","","","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","172.20.20.218","172.20.20.219","5505","5505","5;28;28;28;3;3;3;5;","DEL MAR","CP Del Mar","2","SAN DIEGO","100"
"5","1","100025","CP TORREY","73405050740202","73405050740202","24","24",,,"","","","","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","172.20.20.218","172.20.20.219","5505","5505","5;28;28;28;3;3;3;5;","TORREY","CP Torrey","2","SAN DIEGO","100"
