"CodeLineNumber","ControlPointNumber","CodeStationNumber","LineOrder","StationName","ControlAddress","IndicationAddress","NumberOfControls","NumberOfIndications","SetupParameterString","NetworkPortalPrimary","NetworkPortalSecondary","NetworkPortalTertiary","NetworkPortalAddress","PrivateKey","NetworkPrimaryID","NetworkSecondaryID","SBDMode","UID","LayerFourAckProcessingEnable","ControlPointStatusProcessingEnabled","ManualDisableStation","EnableCRCCalculationPriorToMask","WaysideATCSAddress","WaysideEMPAddress","WaysideConfigurationCRC","WaysideSecurityKey","WaysideBeaconFlag","WebPollIntervalSeconds","NMSEnabled","WebPollTabName","StationFailed"
"5","100000","1","55","CP CARL","73405050580202","73405050580202","8","16","","","","","","","","","False","1BF3E9AB-2AB2-49C7-A800-33FA79CB3331","False","False","False","False",,,,,,"0","False",,"False"
"5","100001","1","5","CP SONGS","73405050200202","73405050200202","16","16","","","","","","","","","False","423EF1C3-695E-4D68-A6B5-6C90F5C01CE3","False","False","False","False",,,,,,"0","False",,"False"
"5","100002","1","10","CP DON","73405050250202","73405050250202","24","24","","","","","","","","","False","2C79ADD4-7922-4056-B52B-A978F50805E1","False","False","False","False",,,,,,"0","False",,"False"
"5","100003","1","15","CP PULGAS","73405050270202","73405050270202","16","16","","","","","","","","","False","60FA44F1-7CD3-4558-82E4-4A29C95FFB4F","False","False","False","False",,,,,,"0","False",,"False"
"5","100004","1","130","CP CUDAHY","73405050870202","73405050870202","24","24","","","","","","","","","False","74ED128F-524D-4C4F-849F-BDB5AB99C24C","False","False","False","False",,,,,,"0","False",,"False"
"5","100005","1","20","CP STUART","73405050350202","73405050350202","24","24","","","","","","","","","False","E8F0F55A-70CF-4D94-9CF9-B9B661379677","False","False","False","False",,,,,,"0","False",,"False"
"5","100006","1","25","CP MESA","73405050360202","73405050360202","24","24","","","","","","","","","False","2CFCC3D7-BC23-4F7C-8F4D-C4C5A31EC623","False","False","False","False",,,,,,"0","False",,"False"
"5","100007","1","120","CP ROSE","73405050830202","73405050830202","24","24","","","","","","","","","False","A1D4CC0D-8197-4D5E-AEC8-3C8EE4234ACA","False","False","False","False",,,,,,"0","False",,"False"
"5","100008","1","125","CP BROADWAY","73405050950202","73405050950202","16","24","","","","","","","","","False","987654","False","False","False","False",,,,,,"0","False",,"False"
"5","100009","1","30","CP EAST BROOK","73405050480202","73405050480202","8","16","","","","","","","","","False","79DE1006-2ACF-4026-BB36-FDD0F1403B4B","False","False","False","False",,,,,,"0","False",,"False"
"5","100010","1","105","CP SORRENTO","73405050760202","73405050760202","24","24","","","","","","","","","False","0C3F1311-BD99-4862-B385-5AF7CA9ED799","False","False","False","False",,,,,,"0","False",,"False"
"5","100011","1","40","CP PACIFIC","73405050530202","73405050530202","8","16","","","","","","","","","False","E6AB7F69-2473-40AF-A160-78B3C01476C7","False","False","False","False",,,,,,"0","False",,"False"
"5","100012","1","35","CP SHELL","73405050520202","73405050520202","8","16","","","","","","","","","False","6DFF15CF-BF2F-4A67-8BF2-4A4F4EEAF792","False","False","False","False",,,,,,"0","False",,"False"
"5","100013","1","45","CP ESCONDIDO JCT","73405050540202","73405050540202","24","40","","","","","","","","","False","C87AB0DF-1E8E-4B9D-AA96-DA07F628D6B8","False","False","False","False",,,,,,"0","False",,"False"
"5","100015","1","110","CP SCRIPPS","73405050800202","73405050800202","24","24","","","","","","","","","False","CB8F4405-66D1-4AE5-88EB-4FC45CAB7A3E","False","False","False","False",,,,,,"0","False",,"False"
"5","100016","1","50","CP LONGBOARD","73405050560202","73405050560202","8","16","","","","","","","","","False","55B0BC64-2174-4E8D-AB6E-0313ED10B5E0","False","False","False","False",,,,,,"0","False",,"False"
"5","100017","1","60","CP FARR","73405050600202","73405050600202","24","24","","","","","","","","","False","E4616209-809D-401C-90A1-5E5BD7DF9D3A","False","False","False","False",,,,,,"0","False",,"False"
"5","100018","1","65","CP PONTO","73405050610202","73405050610202","8","16","","","","","","","","","False","5B81534F-9667-42BE-AD0B-492C9A85D33C","False","False","False","False",,,,,,"0","False",,"False"
"5","100019","1","70","CP SWAMI","73405050620202","73405050620202","8","16","","","","","","","","","False","ACBF223E-E6C6-4F06-BC4E-B874FE4B7761","False","False","False","False",,,,,,"0","False",,"False"
"5","100020","1","75","CP CARDIFF","73405050630202","73405050630202","24","24","","","","","","","","","False","D7CFEF66-D733-4B61-B5A6-8FA8DEF9E37B","False","False","False","False",,,,,,"0","False",,"False"
"5","100022","1","85","CP VALLEY","73405050650202","73405050650202","8","16","","","","","","","","","False","12B7B544-2A76-4E73-AEA7-076AD4FAD0CF","False","False","False","False",,,,,,"0","False",,"False"
"5","100023","1","90","CP CROSBY","73405050670202","73405050670202","8","16","","","","","","","","","False","5609D473-970A-41A8-AE92-9242BC8C6837","False","False","False","False",,,,,,"0","False",,"False"
